person_id,age_2024,n_observations_2022,n_sources_2022,evidence_sources_2022,evidence_source_rows_2022,level_min_2022,level_max_2022,same_year_status_2022,same_year_decision_reason_2022,n_observations_2024,n_sources_2024,evidence_sources_2024,evidence_source_rows_2024,level_min_2024,level_max_2024,same_year_status_2024,same_year_decision_reason_2024,has_2022_evidence,has_2024_evidence,same_year_conflict_2024,attainment_status,attainment_level_min,attainment_level_max,decision_reason
P000041,36,1,1,zensus_like_2022,zensus_like_2022:1591,2,2,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:19,2,3,accepted,single_observation,TRUE,TRUE,FALSE,accepted,2,2,compatible_retained
P000042,31,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000043,54,1,1,zensus_like_2022,zensus_like_2022:743,4,4,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,4,4,carry_forward
P000045,50,,,,,,,,,1,1,ba_like_2024,ba_like_2024:20,1,1,accepted,single_observation,FALSE,TRUE,FALSE,accepted,1,1,initial_observation
P000046,34,,,,,,,,,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:21|mikrozensus_like_2024:2388,3,3,accepted,same_year_compatible,FALSE,TRUE,FALSE,accepted,3,3,initial_observation
P000047,49,,,,,,,,,1,1,ba_like_2024,ba_like_2024:22,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000048,62,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000049,76,,,,,,,,,1,1,ba_like_2024,ba_like_2024:23,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000050,29,,,,,,,,,1,1,ba_like_2024,ba_like_2024:24,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000051,63,1,1,zensus_like_2022,zensus_like_2022:3017,6,6,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:25,4,6,accepted,single_observation,TRUE,TRUE,FALSE,accepted,6,6,compatible_retained
P000052,55,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000053,52,1,1,zensus_like_2022,zensus_like_2022:2426,1,1,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,1,1,carry_forward
P000054,41,,,,,,,,,1,1,ba_like_2024,ba_like_2024:26,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000055,42,,,,,,,,,1,1,ba_like_2024,ba_like_2024:27,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000056,56,,,,,,,,,1,1,ba_like_2024,ba_like_2024:28,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000057,54,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000059,44,,,,,,,,,1,1,ba_like_2024,ba_like_2024:30,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000060,17,,,,,,,,,1,1,ba_like_2024,ba_like_2024:31,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000061,35,,,,,,,,,1,1,ba_like_2024,ba_like_2024:32,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000062,35,,,,,,,,,1,1,ba_like_2024,ba_like_2024:33,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000064,20,,,,,,,,,1,1,ba_like_2024,ba_like_2024:34,1,1,accepted,single_observation,FALSE,TRUE,FALSE,accepted,1,1,initial_observation
P000065,29,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000066,46,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000067,23,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000068,50,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000070,69,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000073,66,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000074,60,,,,,,,,,1,1,ba_like_2024,ba_like_2024:35,1,1,accepted,single_observation,FALSE,TRUE,FALSE,accepted,1,1,initial_observation
P000075,16,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000076,34,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000078,26,,,,,,,,,1,1,ba_like_2024,ba_like_2024:37,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000079,65,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000080,22,1,1,zensus_like_2022,zensus_like_2022:4530,3,3,accepted,single_observation,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:38|mikrozensus_like_2024:2916,3,3,accepted,same_year_compatible,TRUE,TRUE,FALSE,accepted,3,3,compatible_retained
P000081,78,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000083,62,,,,,,,,,1,1,ba_like_2024,ba_like_2024:39,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000084,48,,,,,,,,,1,1,ba_like_2024,ba_like_2024:40,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000085,21,,,,,,,,,1,1,ba_like_2024,ba_like_2024:41,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000087,67,,,,,,,,,1,1,ba_like_2024,ba_like_2024:42,1,1,accepted,single_observation,FALSE,TRUE,FALSE,accepted,1,1,initial_observation
P000088,30,,,,,,,,,1,1,ba_like_2024,ba_like_2024:43,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000089,15,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000092,19,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000093,40,,,,,,,,,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:45|mikrozensus_like_2024:2138,3,3,accepted,same_year_compatible,FALSE,TRUE,FALSE,accepted,3,3,initial_observation
P000094,78,,,,,,,,,1,1,mikrozensus_like_2024,mikrozensus_like_2024:1426,1,1,accepted,single_observation,FALSE,TRUE,FALSE,accepted,1,1,initial_observation
P000095,66,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000096,22,,,,,,,,,1,1,ba_like_2024,ba_like_2024:46,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000097,66,1,1,zensus_like_2022,zensus_like_2022:1115,4,4,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,4,4,carry_forward
P000098,73,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000099,47,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000100,53,,,,,,,,,1,1,ba_like_2024,ba_like_2024:47,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000101,52,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000102,42,,,,,,,,,1,1,ba_like_2024,ba_like_2024:48,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000104,27,1,1,zensus_like_2022,zensus_like_2022:5852,2,2,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,2,2,carry_forward
P000105,41,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000106,34,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000107,53,1,1,zensus_like_2022,zensus_like_2022:5836,2,2,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,2,2,carry_forward
P000108,54,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000109,24,,,,,,,,,1,1,ba_like_2024,ba_like_2024:49,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000110,27,,,,,,,,,1,1,ba_like_2024,ba_like_2024:50,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000111,26,,,,,,,,,1,1,ba_like_2024,ba_like_2024:51,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000112,27,1,1,zensus_like_2022,zensus_like_2022:515,4,4,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:52,4,6,accepted,single_observation,TRUE,TRUE,FALSE,accepted,4,4,compatible_retained
P000113,53,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000114,20,,,,,,,,,1,1,ba_like_2024,ba_like_2024:53,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000116,85,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000117,91,,,,,,,,,1,1,ba_like_2024,ba_like_2024:54,1,1,accepted,single_observation,FALSE,TRUE,FALSE,accepted,1,1,initial_observation
P000118,88,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000119,36,1,1,zensus_like_2022,zensus_like_2022:5553,6,6,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:55,4,6,accepted,single_observation,TRUE,TRUE,FALSE,accepted,6,6,compatible_retained
P000120,74,,,,,,,,,1,1,ba_like_2024,ba_like_2024:56,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000121,50,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000122,63,,,,,,,,,1,1,ba_like_2024,ba_like_2024:57,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000123,31,1,1,zensus_like_2022,zensus_like_2022:3283,2,2,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:58,2,3,accepted,single_observation,TRUE,TRUE,FALSE,accepted,2,2,compatible_retained
P000124,32,,,,,,,,,1,1,ba_like_2024,ba_like_2024:59,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000125,87,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000126,35,,,,,,,,,1,1,ba_like_2024,ba_like_2024:60,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000127,56,,,,,,,,,1,1,ba_like_2024,ba_like_2024:61,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000130,60,1,1,zensus_like_2022,zensus_like_2022:3623,4,4,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,4,4,carry_forward
P000131,37,1,1,zensus_like_2022,zensus_like_2022:6910,3,3,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:62,2,3,accepted,single_observation,TRUE,TRUE,FALSE,accepted,3,3,compatible_retained
P000132,70,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000133,55,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000134,17,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000135,68,1,1,zensus_like_2022,zensus_like_2022:4968,2,2,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:63,2,3,accepted,single_observation,TRUE,TRUE,FALSE,accepted,2,2,compatible_retained
P000136,62,,,,,,,,,1,1,ba_like_2024,ba_like_2024:64,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000137,72,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000139,20,1,1,zensus_like_2022,zensus_like_2022:4784,2,2,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:65,2,3,accepted,single_observation,TRUE,TRUE,FALSE,accepted,2,2,compatible_retained
P000140,51,1,1,zensus_like_2022,zensus_like_2022:4359,3,3,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,3,3,carry_forward
P000141,58,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000142,49,,,,,,,,,1,1,ba_like_2024,ba_like_2024:66,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000144,19,,,,,,,,,1,1,ba_like_2024,ba_like_2024:67,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000146,54,,,,,,,,,1,1,ba_like_2024,ba_like_2024:68,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000147,37,,,,,,,,,1,1,mikrozensus_like_2024,mikrozensus_like_2024:2087,5,5,accepted,single_observation,FALSE,TRUE,FALSE,accepted,5,5,initial_observation
P000148,23,1,1,zensus_like_2022,zensus_like_2022:2557,2,2,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:69,2,3,accepted,single_observation,TRUE,TRUE,FALSE,accepted,2,2,compatible_retained
P000149,36,1,1,zensus_like_2022,zensus_like_2022:1482,2,2,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,2,2,carry_forward
P000150,53,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000152,34,1,1,zensus_like_2022,zensus_like_2022:3077,3,3,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:70,2,3,accepted,single_observation,TRUE,TRUE,FALSE,accepted,3,3,compatible_retained
P000153,63,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000155,66,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000156,29,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000157,47,,,,,,,,,1,1,ba_like_2024,ba_like_2024:71,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000158,15,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000159,68,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000160,25,1,1,zensus_like_2022,zensus_like_2022:6454,2,2,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,2,2,carry_forward
P000161,55,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000164,70,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000167,27,,,,,,,,,1,1,ba_like_2024,ba_like_2024:74,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000168,51,1,1,zensus_like_2022,zensus_like_2022:3115,4,4,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:75,4,6,accepted,single_observation,TRUE,TRUE,FALSE,accepted,4,4,compatible_retained
P000169,73,1,1,zensus_like_2022,zensus_like_2022:23,1,1,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,1,1,carry_forward
P000170,45,,,,,,,,,1,1,ba_like_2024,ba_like_2024:76,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000171,34,,,,,,,,,1,1,ba_like_2024,ba_like_2024:77,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000172,54,1,1,zensus_like_2022,zensus_like_2022:2717,3,3,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,3,3,carry_forward
P000174,20,1,1,zensus_like_2022,zensus_like_2022:6732,1,1,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:79,2,3,accepted,single_observation,TRUE,TRUE,FALSE,accepted,2,3,upward_progression
P000175,32,,,,,,,,,1,1,ba_like_2024,ba_like_2024:80,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000176,21,1,1,zensus_like_2022,zensus_like_2022:4117,2,2,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:81,2,3,accepted,single_observation,TRUE,TRUE,FALSE,accepted,2,2,compatible_retained
P000177,19,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000178,73,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000180,17,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000181,55,,,,,,,,,1,1,ba_like_2024,ba_like_2024:82,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000182,84,1,1,zensus_like_2022,zensus_like_2022:3041,4,4,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,4,4,carry_forward
P000183,21,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000184,26,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000186,44,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000187,37,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000188,63,,,,,,,,,1,1,ba_like_2024,ba_like_2024:83,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000190,37,1,1,zensus_like_2022,zensus_like_2022:2968,4,4,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,4,4,carry_forward
P000191,63,1,1,zensus_like_2022,zensus_like_2022:1776,3,3,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,3,3,carry_forward
P000192,87,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000193,46,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000194,48,,,,,,,,,1,1,ba_like_2024,ba_like_2024:84,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000195,64,,,,,,,,,1,1,ba_like_2024,ba_like_2024:85,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000196,67,1,1,zensus_like_2022,zensus_like_2022:7082,3,3,accepted,single_observation,1,1,mikrozensus_like_2024,mikrozensus_like_2024:369,3,3,accepted,single_observation,TRUE,TRUE,FALSE,accepted,3,3,compatible_retained
P000198,27,,,,,,,,,1,1,ba_like_2024,ba_like_2024:86,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000199,52,,,,,,,,,1,1,ba_like_2024,ba_like_2024:87,1,1,accepted,single_observation,FALSE,TRUE,FALSE,accepted,1,1,initial_observation
P000200,17,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000204,29,1,1,zensus_like_2022,zensus_like_2022:6142,3,3,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,3,3,carry_forward
P000205,49,,,,,,,,,1,1,ba_like_2024,ba_like_2024:88,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000206,36,1,1,zensus_like_2022,zensus_like_2022:5134,2,2,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,2,2,carry_forward
P000208,60,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000209,21,,,,,,,,,1,1,ba_like_2024,ba_like_2024:90,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000210,63,,,,,,,,,1,1,ba_like_2024,ba_like_2024:91,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000211,70,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000213,38,1,1,zensus_like_2022,zensus_like_2022:2564,2,2,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:92,2,3,accepted,single_observation,TRUE,TRUE,FALSE,accepted,2,2,compatible_retained
P000214,28,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000215,72,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000216,56,1,1,zensus_like_2022,zensus_like_2022:4121,3,3,accepted,single_observation,1,1,ba_like_2024,ba_like_2024:94,2,3,accepted,single_observation,TRUE,TRUE,FALSE,accepted,3,3,compatible_retained
P000217,54,,,,,,,,,1,1,ba_like_2024,ba_like_2024:95,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000218,55,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000219,16,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000220,33,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000221,33,,,,,,,,,1,1,ba_like_2024,ba_like_2024:96,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000222,34,1,1,zensus_like_2022,zensus_like_2022:7676,1,1,accepted,single_observation,,,,,,,,,TRUE,FALSE,FALSE,accepted,1,1,carry_forward
P000223,63,,,,,,,,,1,1,ba_like_2024,ba_like_2024:97,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000224,37,,,,,,,,,1,1,ba_like_2024,ba_like_2024:98,4,6,accepted,single_observation,FALSE,TRUE,FALSE,accepted,4,6,initial_observation
P000226,53,,,,,,,,,1,1,ba_like_2024,ba_like_2024:99,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000229,48,,,,,,,,,1,1,ba_like_2024,ba_like_2024:100,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
P000230,26,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,not_reported,,,no_usable_evidence
P000231,23,,,,,,,,,1,1,ba_like_2024,ba_like_2024:101,2,3,accepted,single_observation,FALSE,TRUE,FALSE,accepted,2,3,initial_observation
