person_id,reference_year,n_observations,n_sources,evidence_sources,evidence_source_rows,level_min,level_max,same_year_status,same_year_decision_reason,age_2024
P000169,2024,1,1,ba_like_2024,ba_like_2024:71,2,3,accepted,single_observation,63
P000171,2024,1,1,ba_like_2024,ba_like_2024:72,2,3,accepted,single_observation,59
P000172,2024,1,1,ba_like_2024,ba_like_2024:73,1,1,accepted,single_observation,51
P000173,2024,1,1,ba_like_2024,ba_like_2024:74,4,6,accepted,single_observation,61
P000175,2022,1,1,zensus_like_2022,zensus_like_2022:6453,2,2,accepted,single_observation,75
P000177,2022,1,1,zensus_like_2022,zensus_like_2022:2098,1,1,accepted,single_observation,79
P000178,2022,1,1,zensus_like_2022,zensus_like_2022:1678,3,3,accepted,single_observation,57
P000179,2024,1,1,ba_like_2024,ba_like_2024:75,1,1,accepted,single_observation,44
P000180,2022,1,1,zensus_like_2022,zensus_like_2022:6039,3,3,accepted,single_observation,33
P000182,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:1695,4,4,accepted,single_observation,42
P000184,2024,1,1,ba_like_2024,ba_like_2024:76,2,3,accepted,single_observation,36
P000185,2022,1,1,zensus_like_2022,zensus_like_2022:286,3,3,accepted,single_observation,30
P000186,2024,1,1,ba_like_2024,ba_like_2024:77,2,3,accepted,single_observation,25
P000188,2022,1,1,zensus_like_2022,zensus_like_2022:6758,6,6,accepted,single_observation,39
P000189,2024,1,1,ba_like_2024,ba_like_2024:78,2,3,accepted,single_observation,29
P000191,2024,1,1,ba_like_2024,ba_like_2024:79,2,3,accepted,single_observation,57
P000193,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:1682,3,3,accepted,single_observation,26
P000196,2024,1,1,ba_like_2024,ba_like_2024:80,2,3,accepted,single_observation,24
P000197,2024,1,1,ba_like_2024,ba_like_2024:81,2,3,accepted,single_observation,29
P000198,2024,1,1,ba_like_2024,ba_like_2024:82,2,3,accepted,single_observation,42
P000199,2024,1,1,ba_like_2024,ba_like_2024:83,2,3,accepted,single_observation,22
P000200,2024,1,1,ba_like_2024,ba_like_2024:84,4,6,accepted,single_observation,37
P000204,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:1462,4,4,accepted,single_observation,39
P000205,2024,1,1,ba_like_2024,ba_like_2024:85,2,3,accepted,single_observation,25
P000208,2024,1,1,ba_like_2024,ba_like_2024:86,1,1,accepted,single_observation,47
P000210,2024,1,1,ba_like_2024,ba_like_2024:87,2,3,accepted,single_observation,35
P000211,2022,1,1,zensus_like_2022,zensus_like_2022:6568,4,4,accepted,single_observation,69
P000213,2024,1,1,ba_like_2024,ba_like_2024:88,2,3,accepted,single_observation,25
P000215,2024,1,1,ba_like_2024,ba_like_2024:89,2,3,accepted,single_observation,19
P000220,2024,1,1,ba_like_2024,ba_like_2024:90,2,3,accepted,single_observation,55
P000221,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:91|mikrozensus_like_2024:2087,2,2,accepted,same_year_compatible,41
P000223,2024,1,1,ba_like_2024,ba_like_2024:92,4,6,accepted,single_observation,63
P000225,2024,1,1,ba_like_2024,ba_like_2024:93,4,6,accepted,single_observation,51
P000228,2022,1,1,zensus_like_2022,zensus_like_2022:6510,2,2,accepted,single_observation,19
P000228,2024,1,1,ba_like_2024,ba_like_2024:94,2,3,accepted,single_observation,19
P000229,2024,1,1,ba_like_2024,ba_like_2024:95,2,3,accepted,single_observation,55
P000230,2022,1,1,zensus_like_2022,zensus_like_2022:6550,2,2,accepted,single_observation,56
P000231,2022,1,1,zensus_like_2022,zensus_like_2022:1440,4,4,accepted,single_observation,55
P000231,2024,1,1,ba_like_2024,ba_like_2024:96,4,6,accepted,single_observation,55
P000232,2022,1,1,zensus_like_2022,zensus_like_2022:1897,2,2,accepted,single_observation,69
P000235,2022,1,1,zensus_like_2022,zensus_like_2022:5048,3,3,accepted,single_observation,55
P000237,2024,1,1,ba_like_2024,ba_like_2024:97,4,6,accepted,single_observation,44
P000240,2024,1,1,ba_like_2024,ba_like_2024:98,2,3,accepted,single_observation,43
P000241,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:1924,1,1,accepted,single_observation,92
P000243,2022,1,1,zensus_like_2022,zensus_like_2022:7744,4,4,accepted,single_observation,63
P000243,2024,1,1,ba_like_2024,ba_like_2024:99,4,6,accepted,single_observation,63
P000244,2024,1,1,ba_like_2024,ba_like_2024:100,2,3,accepted,single_observation,31
P000249,2022,1,1,zensus_like_2022,zensus_like_2022:6565,1,1,accepted,single_observation,61
P000249,2024,1,1,ba_like_2024,ba_like_2024:101,1,1,accepted,single_observation,61
P000250,2022,1,1,zensus_like_2022,zensus_like_2022:3324,3,3,accepted,single_observation,22
P000252,2024,1,1,ba_like_2024,ba_like_2024:102,4,6,accepted,single_observation,42
P000255,2024,1,1,ba_like_2024,ba_like_2024:103,2,3,accepted,single_observation,74
P000257,2024,1,1,ba_like_2024,ba_like_2024:104,2,3,accepted,single_observation,22
P000262,2024,1,1,ba_like_2024,ba_like_2024:105,4,6,accepted,single_observation,37
P000264,2024,1,1,ba_like_2024,ba_like_2024:106,2,3,accepted,single_observation,35
P000269,2024,1,1,ba_like_2024,ba_like_2024:107,2,3,accepted,single_observation,18
P000272,2024,1,1,ba_like_2024,ba_like_2024:108,2,3,accepted,single_observation,43
P000274,2022,1,1,zensus_like_2022,zensus_like_2022:5500,2,2,accepted,single_observation,44
P000274,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:109|mikrozensus_like_2024:2232,2,2,accepted,same_year_compatible,44
P000275,2024,1,1,ba_like_2024,ba_like_2024:110,2,3,accepted,single_observation,50
P000276,2022,1,1,zensus_like_2022,zensus_like_2022:7961,1,1,accepted,single_observation,25
P000276,2024,1,1,ba_like_2024,ba_like_2024:111,1,1,accepted,single_observation,25
P000277,2024,1,1,ba_like_2024,ba_like_2024:112,2,3,accepted,single_observation,20
P000281,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:113|mikrozensus_like_2024:3052,5,5,accepted,same_year_compatible,55
P000286,2024,1,1,ba_like_2024,ba_like_2024:114,2,3,accepted,single_observation,58
P000289,2024,1,1,ba_like_2024,ba_like_2024:115,2,3,accepted,single_observation,79
P000290,2022,1,1,zensus_like_2022,zensus_like_2022:4593,3,3,accepted,single_observation,79
P000292,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:320,2,2,accepted,single_observation,47
P000295,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:2506,3,3,accepted,single_observation,18
P000296,2024,1,1,ba_like_2024,ba_like_2024:116,2,3,accepted,single_observation,26
P000299,2022,1,1,zensus_like_2022,zensus_like_2022:4244,4,4,accepted,single_observation,48
P000299,2024,1,1,ba_like_2024,ba_like_2024:117,4,6,accepted,single_observation,48
P000301,2024,1,1,ba_like_2024,ba_like_2024:118,4,6,accepted,single_observation,45
P000303,2022,1,1,zensus_like_2022,zensus_like_2022:5385,2,2,accepted,single_observation,52
P000303,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:119|mikrozensus_like_2024:314,2,2,accepted,same_year_compatible,52
P000304,2024,1,1,ba_like_2024,ba_like_2024:120,1,1,accepted,single_observation,43
P000308,2024,1,1,ba_like_2024,ba_like_2024:121,2,3,accepted,single_observation,40
P000309,2024,1,1,ba_like_2024,ba_like_2024:122,1,1,accepted,single_observation,17
P000315,2022,1,1,zensus_like_2022,zensus_like_2022:3161,3,3,accepted,single_observation,59
P000315,2024,1,1,ba_like_2024,ba_like_2024:123,2,3,accepted,single_observation,59
P000317,2022,1,1,zensus_like_2022,zensus_like_2022:4024,2,2,accepted,single_observation,24
P000317,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:2662,3,3,accepted,single_observation,24
P000318,2024,1,1,ba_like_2024,ba_like_2024:124,2,3,accepted,single_observation,76
P000319,2024,1,1,ba_like_2024,ba_like_2024:125,2,3,accepted,single_observation,44
P000320,2022,1,1,zensus_like_2022,zensus_like_2022:6135,2,2,accepted,single_observation,69
P000321,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:126|mikrozensus_like_2024:3232,1,1,accepted,same_year_compatible,69
P000322,2024,1,1,ba_like_2024,ba_like_2024:127,2,3,accepted,single_observation,18
P000324,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:128|mikrozensus_like_2024:2512,3,3,accepted,same_year_compatible,48
P000326,2024,1,1,ba_like_2024,ba_like_2024:129,4,6,accepted,single_observation,57
P000331,2024,1,1,ba_like_2024,ba_like_2024:130,4,6,accepted,single_observation,63
P000332,2024,1,1,ba_like_2024,ba_like_2024:131,4,6,accepted,single_observation,31
P000335,2022,1,1,zensus_like_2022,zensus_like_2022:2384,5,5,accepted,single_observation,27
P000337,2024,1,1,ba_like_2024,ba_like_2024:132,2,3,accepted,single_observation,41
P000338,2024,1,1,ba_like_2024,ba_like_2024:133,2,3,accepted,single_observation,39
P000340,2022,1,1,zensus_like_2022,zensus_like_2022:4922,4,4,accepted,single_observation,44
P000341,2024,1,1,ba_like_2024,ba_like_2024:134,4,6,accepted,single_observation,67
P000344,2024,1,1,ba_like_2024,ba_like_2024:135,2,3,accepted,single_observation,33
P000346,2024,1,1,ba_like_2024,ba_like_2024:136,1,1,accepted,single_observation,64
P000348,2024,1,1,ba_like_2024,ba_like_2024:137,2,3,accepted,single_observation,38
P000350,2024,1,1,ba_like_2024,ba_like_2024:138,2,3,accepted,single_observation,42
P000352,2022,1,1,zensus_like_2022,zensus_like_2022:1477,3,3,accepted,single_observation,63
P000352,2024,1,1,ba_like_2024,ba_like_2024:139,2,3,accepted,single_observation,63
P000353,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:140|mikrozensus_like_2024:2661,3,3,accepted,same_year_compatible,18
P000354,2024,1,1,ba_like_2024,ba_like_2024:141,2,3,accepted,single_observation,28
P000356,2024,1,1,ba_like_2024,ba_like_2024:142,2,3,accepted,single_observation,39
P000357,2024,1,1,ba_like_2024,ba_like_2024:143,2,3,accepted,single_observation,45
P000359,2024,1,1,ba_like_2024,ba_like_2024:144,2,3,accepted,single_observation,22
P000361,2022,1,1,zensus_like_2022,zensus_like_2022:5532,5,5,accepted,single_observation,28
P000361,2024,1,1,ba_like_2024,ba_like_2024:145,4,6,accepted,single_observation,28
P000363,2022,1,1,zensus_like_2022,zensus_like_2022:4979,2,2,accepted,single_observation,63
P000363,2024,1,1,ba_like_2024,ba_like_2024:146,2,3,accepted,single_observation,63
P000367,2024,1,1,ba_like_2024,ba_like_2024:147,2,3,accepted,single_observation,18
P000371,2022,1,1,zensus_like_2022,zensus_like_2022:533,3,3,accepted,single_observation,55
P000371,2024,1,1,ba_like_2024,ba_like_2024:148,2,3,accepted,single_observation,55
P000372,2024,1,1,ba_like_2024,ba_like_2024:149,2,3,accepted,single_observation,47
P000378,2024,1,1,ba_like_2024,ba_like_2024:151,2,3,accepted,single_observation,60
P000379,2022,1,1,zensus_like_2022,zensus_like_2022:4915,2,2,accepted,single_observation,57
P000381,2024,1,1,ba_like_2024,ba_like_2024:152,4,6,accepted,single_observation,58
P000382,2024,1,1,ba_like_2024,ba_like_2024:153,2,3,accepted,single_observation,39
P000386,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:154|mikrozensus_like_2024:940,2,2,accepted,same_year_compatible,70
P000388,2024,1,1,ba_like_2024,ba_like_2024:155,2,3,accepted,single_observation,26
P000391,2024,1,1,ba_like_2024,ba_like_2024:156,4,6,accepted,single_observation,23
P000393,2024,1,1,ba_like_2024,ba_like_2024:157,2,3,accepted,single_observation,17
P000396,2024,1,1,ba_like_2024,ba_like_2024:158,2,3,accepted,single_observation,63
P000397,2024,1,1,ba_like_2024,ba_like_2024:159,4,6,accepted,single_observation,56
P000398,2024,1,1,ba_like_2024,ba_like_2024:160,2,3,accepted,single_observation,62
P000405,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:161|mikrozensus_like_2024:2253,4,4,accepted,same_year_compatible,96
P000408,2022,1,1,zensus_like_2022,zensus_like_2022:4141,4,4,accepted,single_observation,40
P000408,2024,1,1,ba_like_2024,ba_like_2024:162,4,6,accepted,single_observation,40
P000414,2024,1,1,ba_like_2024,ba_like_2024:163,4,6,accepted,single_observation,49
P000416,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:1785,3,3,accepted,single_observation,71
P000418,2024,1,1,ba_like_2024,ba_like_2024:164,2,3,accepted,single_observation,31
P000420,2022,1,1,zensus_like_2022,zensus_like_2022:6719,4,4,accepted,single_observation,23
P000422,2024,1,1,ba_like_2024,ba_like_2024:165,2,3,accepted,single_observation,54
P000423,2024,1,1,ba_like_2024,ba_like_2024:166,4,6,accepted,single_observation,59
P000427,2022,1,1,zensus_like_2022,zensus_like_2022:1471,3,3,accepted,single_observation,52
P000427,2024,1,1,ba_like_2024,ba_like_2024:167,2,3,accepted,single_observation,52
P000428,2024,1,1,ba_like_2024,ba_like_2024:168,2,3,accepted,single_observation,59
P000429,2024,1,1,ba_like_2024,ba_like_2024:169,1,1,accepted,single_observation,65
P000433,2022,1,1,zensus_like_2022,zensus_like_2022:1358,1,1,accepted,single_observation,86
P000435,2024,1,1,ba_like_2024,ba_like_2024:170,2,3,accepted,single_observation,20
P000438,2022,1,1,zensus_like_2022,zensus_like_2022:3865,2,2,accepted,single_observation,55
P000438,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:171|mikrozensus_like_2024:2985,2,2,accepted,same_year_compatible,55
P000440,2022,1,1,zensus_like_2022,zensus_like_2022:3378,4,4,accepted,single_observation,28
P000441,2024,1,1,ba_like_2024,ba_like_2024:172,2,3,accepted,single_observation,52
P000445,2024,1,1,ba_like_2024,ba_like_2024:173,4,6,accepted,single_observation,42
P000450,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:2820,2,2,accepted,single_observation,18
P000457,2022,1,1,zensus_like_2022,zensus_like_2022:6247,1,1,accepted,single_observation,70
P000457,2024,1,1,ba_like_2024,ba_like_2024:174,1,1,accepted,single_observation,70
P000467,2022,1,1,zensus_like_2022,zensus_like_2022:3873,4,4,accepted,single_observation,29
P000471,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:1495,4,4,accepted,single_observation,70
P000472,2022,1,1,zensus_like_2022,zensus_like_2022:2290,4,4,accepted,single_observation,60
P000472,2024,1,1,ba_like_2024,ba_like_2024:175,4,6,accepted,single_observation,60
P000474,2022,1,1,zensus_like_2022,zensus_like_2022:3052,3,3,accepted,single_observation,52
P000478,2022,1,1,zensus_like_2022,zensus_like_2022:6307,1,1,accepted,single_observation,89
P000480,2024,1,1,ba_like_2024,ba_like_2024:176,2,3,accepted,single_observation,27
P000484,2024,1,1,ba_like_2024,ba_like_2024:177,4,6,accepted,single_observation,42
P000486,2024,1,1,ba_like_2024,ba_like_2024:178,2,3,accepted,single_observation,57
P000488,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:179|mikrozensus_like_2024:641,2,2,accepted,same_year_compatible,36
P000490,2022,1,1,zensus_like_2022,zensus_like_2022:6148,2,2,accepted,single_observation,33
P000495,2024,1,1,ba_like_2024,ba_like_2024:180,2,3,accepted,single_observation,60
P000498,2024,1,1,ba_like_2024,ba_like_2024:181,1,1,accepted,single_observation,80
P000501,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:1353,3,3,accepted,single_observation,90
P000502,2024,1,1,ba_like_2024,ba_like_2024:182,2,3,accepted,single_observation,22
P000504,2022,1,1,zensus_like_2022,zensus_like_2022:2808,1,1,accepted,single_observation,74
P000504,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:1670,1,1,accepted,single_observation,74
P000505,2022,1,1,zensus_like_2022,zensus_like_2022:3064,1,1,accepted,single_observation,49
P000505,2024,1,1,ba_like_2024,ba_like_2024:183,1,1,accepted,single_observation,49
P000506,2024,1,1,ba_like_2024,ba_like_2024:184,2,3,accepted,single_observation,68
P000510,2024,1,1,ba_like_2024,ba_like_2024:185,4,6,accepted,single_observation,49
P000511,2024,1,1,ba_like_2024,ba_like_2024:186,2,3,accepted,single_observation,18
P000512,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:681,3,3,accepted,single_observation,64
P000514,2024,1,1,ba_like_2024,ba_like_2024:187,2,3,accepted,single_observation,19
P000516,2024,1,1,mikrozensus_like_2024,mikrozensus_like_2024:3065,3,3,accepted,single_observation,71
P000517,2022,1,1,zensus_like_2022,zensus_like_2022:3051,4,4,accepted,single_observation,61
P000517,2024,1,1,ba_like_2024,ba_like_2024:188,4,6,accepted,single_observation,61
P000524,2024,1,1,ba_like_2024,ba_like_2024:189,4,6,accepted,single_observation,20
P000526,2022,1,1,zensus_like_2022,zensus_like_2022:7099,2,2,accepted,single_observation,25
P000528,2024,1,1,ba_like_2024,ba_like_2024:190,2,3,accepted,single_observation,38
P000530,2022,1,1,zensus_like_2022,zensus_like_2022:5308,3,3,accepted,single_observation,70
P000530,2024,1,1,ba_like_2024,ba_like_2024:191,2,3,accepted,single_observation,70
P000533,2024,1,1,ba_like_2024,ba_like_2024:192,2,3,accepted,single_observation,55
P000535,2024,1,1,ba_like_2024,ba_like_2024:193,2,3,accepted,single_observation,63
P000537,2024,1,1,ba_like_2024,ba_like_2024:194,2,3,accepted,single_observation,19
P000539,2024,1,1,ba_like_2024,ba_like_2024:195,2,3,accepted,single_observation,27
P000540,2022,1,1,zensus_like_2022,zensus_like_2022:3411,4,4,accepted,single_observation,31
P000543,2024,1,1,ba_like_2024,ba_like_2024:196,2,3,accepted,single_observation,25
P000544,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:197|mikrozensus_like_2024:1837,4,4,accepted,same_year_compatible,20
P000545,2024,1,1,ba_like_2024,ba_like_2024:198,2,3,accepted,single_observation,33
P000551,2024,1,1,ba_like_2024,ba_like_2024:200,4,6,accepted,single_observation,42
P000553,2024,1,1,ba_like_2024,ba_like_2024:201,2,3,accepted,single_observation,32
P000554,2024,1,1,ba_like_2024,ba_like_2024:202,2,3,accepted,single_observation,61
P000556,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:203|mikrozensus_like_2024:1744,1,1,accepted,same_year_compatible,29
P000557,2024,1,1,ba_like_2024,ba_like_2024:204,2,3,accepted,single_observation,31
P000558,2024,1,1,ba_like_2024,ba_like_2024:205,2,3,accepted,single_observation,48
P000559,2022,1,1,zensus_like_2022,zensus_like_2022:6588,2,2,accepted,single_observation,63
P000561,2024,2,2,ba_like_2024|mikrozensus_like_2024,ba_like_2024:206|mikrozensus_like_2024:2818,2,2,accepted,same_year_compatible,42
