person_id,reference_year,highest_qualification
P017088,2022,SCHOOL
P016908,2022,BACHELOR_EQ
P047307,2022,VOC_POSTSEC
P000024,2022,SCHOOL
P027141,2022,SCHOOL
P030618,2022,BACHELOR_EQ
P023441,2022,BACHELOR_EQ
P048851,2022,SCHOOL
P016662,2022,DOCTORATE
P025472,2022,VOC_POSTSEC
P043354,2022,MASTER_EQ
P021253,2022,VOC_POSTSEC
P011939,2022,VOC_POSTSEC
P032351,2022,SCHOOL
P029407,2022,MASTER_EQ
P005897,2022,SCHOOL
P014497,2022,MASTER_EQ
P020669,2022,MASTER_EQ
P001326,2022,SCHOOL
P027613,2022,VOC_POSTSEC
P008342,2022,SCHOOL
P041977,2022,SCHOOL
P002041,2022,SCHOOL
P014128,2022,MASTER_EQ
P048503,2022,VOC_POSTSEC
P030542,2022,BACHELOR_EQ
P018306,2022,NONE_LOW
P047102,2022,VOC_POSTSEC
P003553,2022,MASTER_EQ
P008305,2022,NONE_LOW
P049666,2022,VOC_POSTSEC
P031017,2022,VOC_POSTSEC
P044526,2022,BACHELOR_EQ
P038765,2022,NONE_LOW
P048500,2022,UNKNOWN_CODE
P005319,2022,VOC_POSTSEC
P047074,2022,VOC_POSTSEC
P028408,2022,SCHOOL
P018981,2022,VOC_POSTSEC
P044537,2022,DOCTORATE
P049173,2022,MASTER_EQ
P019019,2022,SCHOOL
P007838,2022,VOC_POSTSEC
P005136,2022,VOC_POSTSEC
P013683,2022,VOC_POSTSEC
P046667,2022,VOC_POSTSEC
P029906,2022,BACHELOR_EQ
P025582,2022,BACHELOR_EQ
P028975,2022,SCHOOL
P019603,2022,VOC_POSTSEC
P008675,2022,VOC_POSTSEC
P000356,2022,SCHOOL
P035302,2022,VOC_POSTSEC
P042248,2022,VOC_POSTSEC
P048174,2022,MASTER_EQ
P041615,2022,SCHOOL
P037374,2022,VOC_POSTSEC
P006859,2022,UNKNOWN_CODE
P035194,2022,SCHOOL
P018742,2022,SCHOOL
P007121,2022,NONE_LOW
P047185,2022,VOC_POSTSEC
P010472,2022,VOC_POSTSEC
P045512,2022,SCHOOL
P016178,2022,VOC_POSTSEC
P012049,2022,NONE_LOW
P010289,2022,VOC_POSTSEC
P040229,2022,BACHELOR_EQ
P013778,2022,SCHOOL
P046492,2022,VOC_POSTSEC
P044969,2022,SCHOOL
P048461,2022,BACHELOR_EQ
P040056,2022,NONE_LOW
P033429,2022,VOC_POSTSEC
P031373,2022,BACHELOR_EQ
P029597,2022,SCHOOL
P027820,2022,SCHOOL
P038879,2021,SCHOOL
P040550,2022,VOC_POSTSEC
P014401,2022,VOC_POSTSEC
P016289,2022,VOC_POSTSEC
P016942,2022,VOC_POSTSEC
P035189,2022,BACHELOR_EQ
P036006,2022,BACHELOR_EQ
P013081,2022,VOC_POSTSEC
P004353,2022,VOC_POSTSEC
P030727,2022,VOC_POSTSEC
P032832,2022,NONE_LOW
P033874,2022,NONE_LOW
P040423,2022,VOC_POSTSEC
P015147,2022,SCHOOL
P045984,2022,SCHOOL
P049065,2022,VOC_POSTSEC
P013000,2022,MASTER_EQ
P017726,2022,VOC_POSTSEC
P046405,2022,VOC_POSTSEC
P040938,2022,BACHELOR_EQ
P000717,2022,SCHOOL
P003383,2022,VOC_POSTSEC
P022255,2022,VOC_POSTSEC
P032668,2022,VOC_POSTSEC
P029973,2022,BACHELOR_EQ
P049854,2022,MASTER_EQ
P049990,2022,VOC_POSTSEC
P012163,2022,VOC_POSTSEC
P025479,2022,SCHOOL
P046412,2022,BACHELOR_EQ
P026610,2022,BACHELOR_EQ
P001191,2022,SCHOOL
P000667,2022,SCHOOL
P019875,2022,SCHOOL
P015450,2022,BACHELOR_EQ
P005809,2022,VOC_POSTSEC
P042847,2022,SCHOOL
P023704,2022,VOC_POSTSEC
P007348,2022,MASTER_EQ
P029677,2022,BACHELOR_EQ
P029015,2022,NONE_LOW
P035650,2022,MASTER_EQ
P035288,2022,MASTER_EQ
P014547,2022,VOC_POSTSEC
P029913,2022,SCHOOL
P009343,2022,VOC_POSTSEC
P030898,2022,BACHELOR_EQ
P044957,2022,VOC_POSTSEC
P028370,2022,VOC_POSTSEC
P000633,2022,BACHELOR_EQ
P041517,2022,SCHOOL
P031200,2022,SCHOOL
P030244,2022,MASTER_EQ
P037220,2022,NONE_LOW
P038735,2022,VOC_POSTSEC
P028692,2022,VOC_POSTSEC
P006522,2022,NONE_LOW
P040170,2022,VOC_POSTSEC
P043747,2022,VOC_POSTSEC
P001247,2022,
P042083,2022,SCHOOL
P000601,2022,VOC_POSTSEC
P014060,2022,BACHELOR_EQ
P037862,2022,SCHOOL
P009078,2022,SCHOOL
P022789,2022,SCHOOL
P009725,2022,VOC_POSTSEC
P008564,2022,SCHOOL
P034378,2022,BACHELOR_EQ
P029428,2022,SCHOOL
P027429,2022,SCHOOL
P014043,2022,VOC_POSTSEC
P016401,2022,VOC_POSTSEC
P015840,2022,BACHELOR_EQ
P000412,2022,VOC_POSTSEC
P007317,2022,VOC_POSTSEC
P020811,2022,VOC_POSTSEC
P045735,2022,VOC_POSTSEC
P022111,2022,SCHOOL
P006175,2022,MASTER_EQ
P004157,2022,NONE_LOW
P026099,2022,MASTER_EQ
P009566,2022,SCHOOL
P048882,2022,VOC_POSTSEC
P042184,2022,SCHOOL
P024534,2022,VOC_POSTSEC
P024584,2022,SCHOOL
P033773,2022,VOC_POSTSEC
P029121,2022,SCHOOL
P028808,2022,NONE_LOW
P015696,2022,SCHOOL
P027566,2022,VOC_POSTSEC
P046549,2022,BACHELOR_EQ
P002223,2022,VOC_POSTSEC
P005091,2022,SCHOOL
P031786,2022,VOC_POSTSEC
P010055,2022,MASTER_EQ
P016191,2022,MASTER_EQ
P033753,2022,VOC_POSTSEC
P016117,2022,BACHELOR_EQ
P008321,2022,BACHELOR_EQ
P034113,2022,VOC_POSTSEC
P003038,2022,VOC_POSTSEC
P011021,2022,MASTER_EQ
P035054,2022,SCHOOL
P017076,2022,SCHOOL
P032933,2022,NONE_LOW
P042837,2022,SCHOOL
P008418,2022,VOC_POSTSEC
P039949,2022,MASTER_EQ
P018123,2022,VOC_POSTSEC
P045237,2022,NONE_LOW
P001319,2022,BACHELOR_EQ
P018514,2022,VOC_POSTSEC
P020154,2022,VOC_POSTSEC
P035371,2022,VOC_POSTSEC
P006123,2022,BACHELOR_EQ
P044740,2022,NONE_LOW
P037878,2022,BACHELOR_EQ
P049022,2022,VOC_POSTSEC
P010665,2022,VOC_POSTSEC
P046033,2022,SCHOOL
P004311,2022,BACHELOR_EQ
P047166,2022,SCHOOL
P046919,2022,VOC_POSTSEC
P027780,2022,BACHELOR_EQ
P033293,2022,
P004344,2022,VOC_POSTSEC
P034659,2022,VOC_POSTSEC
P030276,2022,SCHOOL
P004696,2022,VOC_POSTSEC
P022582,2022,SCHOOL
P040057,2022,VOC_POSTSEC
P047984,2022,NONE_LOW
P019871,2022,BACHELOR_EQ
P000414,2022,VOC_POSTSEC
P025330,2022,SCHOOL
P032189,2022,SCHOOL
P015030,2022,VOC_POSTSEC
P047200,2022,MASTER_EQ
P023691,2022,SCHOOL
P040029,2022,VOC_POSTSEC
P000857,2022,BACHELOR_EQ
P027677,2022,SCHOOL
P020756,2022,MASTER_EQ
P028985,2022,BACHELOR_EQ
P037243,2022,MASTER_EQ
P033645,2022,NONE_LOW
P038127,2022,VOC_POSTSEC
P048689,2022,VOC_POSTSEC
P002169,2022,VOC_POSTSEC
P020640,2022,SCHOOL
P000570,2022,MASTER_EQ
P035688,2022,VOC_POSTSEC
P026283,2022,VOC_POSTSEC
P004429,2022,MASTER_EQ
P006775,2022,BACHELOR_EQ
P044859,2022,VOC_POSTSEC
P042680,2022,MASTER_EQ
P038081,2022,MASTER_EQ
P016220,2022,VOC_POSTSEC
P015325,2022,BACHELOR_EQ
P028114,2022,DOCTORATE
P024700,2022,VOC_POSTSEC
P047488,2022,MASTER_EQ
P009047,2022,SCHOOL
P023971,2022,NONE_LOW
P043947,2022,VOC_POSTSEC
P027862,2022,SCHOOL
P006217,2022,VOC_POSTSEC
P023447,2022,MASTER_EQ
P042338,2022,VOC_POSTSEC
P012370,2022,VOC_POSTSEC
P007840,2022,MASTER_EQ
P012206,2022,SCHOOL
P012872,2022,SCHOOL
P015765,2022,VOC_POSTSEC
P035162,2022,BACHELOR_EQ
P040771,2022,VOC_POSTSEC
P039157,2022,VOC_POSTSEC
P041348,2022,SCHOOL
P027813,2022,VOC_POSTSEC
P048997,2022,VOC_POSTSEC
P014661,2022,VOC_POSTSEC
P034280,2022,NONE_LOW
P021092,2022,VOC_POSTSEC
P016650,2022,BACHELOR_EQ
P033340,2022,SCHOOL
P010118,2022,SCHOOL
P032871,2022,VOC_POSTSEC
P045781,2022,SCHOOL
P006291,2022,BACHELOR_EQ
P045379,2022,BACHELOR_EQ
P045317,2022,VOC_POSTSEC
P039705,2022,NONE_LOW
P000628,2022,MASTER_EQ
P038361,2022,SCHOOL
P036444,2022,SCHOOL
P016434,2022,VOC_POSTSEC
P046122,2022,SCHOOL
P002181,2022,SCHOOL
P026257,2022,MASTER_EQ
P029861,2022,BACHELOR_EQ
P026864,2022,NONE_LOW
P011721,2022,BACHELOR_EQ
P031812,2022,VOC_POSTSEC
P044427,2022,BACHELOR_EQ
P047280,2022,SCHOOL
P020711,2022,VOC_POSTSEC
P041519,2022,VOC_POSTSEC
P046553,2022,MASTER_EQ
P043852,2022,SCHOOL
P047562,2022,MASTER_EQ
P049297,2022,VOC_POSTSEC
P045774,2022,MASTER_EQ
P034623,2022,NONE_LOW
P004074,2022,SCHOOL
P039151,2022,VOC_POSTSEC
P026032,2022,DOCTORATE
P009537,2022,NONE_LOW
P032610,2022,VOC_POSTSEC
P049311,2022,MASTER_EQ
P006725,2022,VOC_POSTSEC
P002541,2022,VOC_POSTSEC
P014706,2022,SCHOOL
P010270,2022,SCHOOL
P007322,2022,BACHELOR_EQ
P023722,2022,NONE_LOW
P022414,2022,VOC_POSTSEC
P028827,2022,SCHOOL
P028905,2022,VOC_POSTSEC
P015560,2022,SCHOOL
P040983,2022,VOC_POSTSEC
P010285,2022,BACHELOR_EQ
P009368,2022,BACHELOR_EQ
P024040,2022,BACHELOR_EQ
P039483,2022,VOC_POSTSEC
P020172,2022,VOC_POSTSEC
P031263,2022,VOC_POSTSEC
P024209,2022,VOC_POSTSEC
P005880,2022,VOC_POSTSEC
P022447,2022,BACHELOR_EQ
P004352,2022,VOC_POSTSEC
P037963,2022,MASTER_EQ
P013144,2022,MASTER_EQ
P043210,2022,VOC_POSTSEC
P025381,2022,VOC_POSTSEC
P019637,2022,VOC_POSTSEC
P037456,2022,BACHELOR_EQ
P011568,2022,VOC_POSTSEC
P018186,2022,BACHELOR_EQ
P032268,2022,VOC_POSTSEC
P035492,2022,SCHOOL
P014084,2022,VOC_POSTSEC
P043311,2022,BACHELOR_EQ
P043099,2022,SCHOOL
P047413,2022,VOC_POSTSEC
P017668,2022,SCHOOL
P031015,2022,NONE_LOW
P000813,2022,VOC_POSTSEC
P007502,2022,MASTER_EQ
P015085,2022,SCHOOL
P004336,2022,BACHELOR_EQ
P049274,2022,VOC_POSTSEC
P032783,2022,SCHOOL
P041251,2022,MASTER_EQ
P001390,2022,SCHOOL
P024936,2022,SCHOOL
P036442,2022,SCHOOL
P044572,2022,NONE_LOW
P046868,2022,SCHOOL
P048050,2022,VOC_POSTSEC
P036331,2022,MASTER_EQ
P020752,2022,VOC_POSTSEC
P004237,2022,VOC_POSTSEC
P037462,2022,MASTER_EQ
P048677,2022,BACHELOR_EQ
P046189,2022,SCHOOL
P010626,2022,BACHELOR_EQ
P048131,2022,DOCTORATE
P042198,2022,SCHOOL
P007129,2022,VOC_POSTSEC
P040197,2022,SCHOOL
P001431,2022,UNKNOWN_CODE
P000112,2022,BACHELOR_EQ
P027824,2022,VOC_POSTSEC
P020100,2022,DOCTORATE
P007728,2022,SCHOOL
P013812,2022,NONE_LOW
P004625,2022,VOC_POSTSEC
P006282,2022,BACHELOR_EQ
P015065,2022,VOC_POSTSEC
P048057,2022,SCHOOL
P009092,2022,SCHOOL
P014276,2022,VOC_POSTSEC
P018856,2022,SCHOOL
P045587,2022,VOC_POSTSEC
P047929,2022,VOC_POSTSEC
P041920,2022,NONE_LOW
P038907,2022,SCHOOL
P038092,2022,VOC_POSTSEC
P046342,2022,SCHOOL
P007861,2022,SCHOOL
P012924,2022,VOC_POSTSEC
P049332,2022,DOCTORATE
P048808,2022,SCHOOL
P015118,2022,VOC_POSTSEC
P011785,2022,VOC_POSTSEC
P010160,2022,VOC_POSTSEC
P010759,2022,NONE_LOW
P004719,2022,VOC_POSTSEC
P032055,2022,BACHELOR_EQ
P039156,2022,VOC_POSTSEC
P024305,2022,SCHOOL
P010343,2022,MASTER_EQ
P030842,2022,SCHOOL
P009550,2022,SCHOOL
P022239,2022,SCHOOL
P037440,2022,BACHELOR_EQ
P019716,2022,VOC_POSTSEC
P019526,2022,BACHELOR_EQ
P014450,2022,VOC_POSTSEC
P026840,2022,SCHOOL
P020240,2022,VOC_POSTSEC
P025091,2022,VOC_POSTSEC
P006941,2022,SCHOOL
P042817,2022,SCHOOL
P036997,2022,VOC_POSTSEC
P024526,2022,SCHOOL
P019079,2022,BACHELOR_EQ
P026228,2022,MASTER_EQ
P005249,2022,SCHOOL
P012710,2022,SCHOOL
P029704,2022,VOC_POSTSEC
P043089,2022,SCHOOL
P025667,2022,MASTER_EQ
P024924,2022,UNKNOWN_CODE
P009924,2022,VOC_POSTSEC
P029728,2022,VOC_POSTSEC
P033267,2022,VOC_POSTSEC
P015557,2022,SCHOOL
P046702,2022,MASTER_EQ
P001322,2022,VOC_POSTSEC
P035722,2022,NONE_LOW
P024663,2022,VOC_POSTSEC
P044804,2022,BACHELOR_EQ
P046262,2022,NONE_LOW
P031617,2022,NONE_LOW
P018686,2022,VOC_POSTSEC
P010643,2022,VOC_POSTSEC
P024643,2022,SCHOOL
P034618,2022,VOC_POSTSEC
P042538,2022,SCHOOL
P026000,2022,VOC_POSTSEC
P014248,2022,SCHOOL
P023214,2022,SCHOOL
P012977,2022,MASTER_EQ
P035252,2022,MASTER_EQ
P013387,2022,SCHOOL
P025777,2022,BACHELOR_EQ
P048403,2022,BACHELOR_EQ
P029110,2022,BACHELOR_EQ
P004829,2022,SCHOOL
P045574,2022,VOC_POSTSEC
P043153,2022,SCHOOL
P031805,2022,BACHELOR_EQ
P025139,2022,SCHOOL
P037818,2022,MASTER_EQ
P007649,2022,SCHOOL
P032026,2022,VOC_POSTSEC
P020724,2022,BACHELOR_EQ
P007104,2022,SCHOOL
P004892,2022,SCHOOL
P035133,2022,VOC_POSTSEC
P005019,2022,SCHOOL
P015615,2022,VOC_POSTSEC
P010162,2022,SCHOOL
P032687,2022,DOCTORATE
P032630,2022,BACHELOR_EQ
P019281,2022,BACHELOR_EQ
P039500,2022,VOC_POSTSEC
P048389,2022,VOC_POSTSEC
P011188,2022,SCHOOL
P019931,2022,VOC_POSTSEC
P035247,2022,VOC_POSTSEC
P019043,2022,DOCTORATE
P021823,2022,BACHELOR_EQ
P007772,2022,VOC_POSTSEC
P041109,2022,SCHOOL
P019504,2022,DOCTORATE
P008981,2022,BACHELOR_EQ
P017086,2022,SCHOOL
P041880,2022,MASTER_EQ
P001241,2022,NONE_LOW
P011832,2022,MASTER_EQ
P025593,2022,SCHOOL
P002750,2022,SCHOOL
P017008,2022,SCHOOL
P020022,2022,BACHELOR_EQ
P035234,2022,BACHELOR_EQ
P029599,2022,SCHOOL
P045905,2022,SCHOOL
P002964,2022,SCHOOL
P002609,2022,BACHELOR_EQ
P004190,2022,VOC_POSTSEC
P026726,2022,VOC_POSTSEC
P004399,2022,BACHELOR_EQ
P004852,2022,VOC_POSTSEC
P006383,2022,SCHOOL
P007111,2022,MASTER_EQ
P036071,2022,VOC_POSTSEC
P048092,2022,SCHOOL
P038618,2022,VOC_POSTSEC
P012211,2022,SCHOOL
P011015,2022,VOC_POSTSEC
P018116,2022,SCHOOL
P015804,2022,VOC_POSTSEC
P034121,2022,VOC_POSTSEC
P032719,2022,NONE_LOW
P015020,2022,VOC_POSTSEC
P045354,2022,MASTER_EQ
P034516,2022,SCHOOL
P027342,2022,BACHELOR_EQ
P003649,2022,VOC_POSTSEC
P017600,2022,DOCTORATE
P049838,2022,VOC_POSTSEC
P014940,2022,VOC_POSTSEC
P039932,2022,VOC_POSTSEC
P026986,2022,BACHELOR_EQ
P037120,2022,SCHOOL
P030332,2022,VOC_POSTSEC
P015793,2022,MASTER_EQ
P004567,2022,SCHOOL
P034456,2022,VOC_POSTSEC
P000819,2022,VOC_POSTSEC
P001100,2022,BACHELOR_EQ
P010049,2022,SCHOOL
P036179,2022,VOC_POSTSEC
P008271,2022,MASTER_EQ
P045304,2022,MASTER_EQ
P013595,2022,VOC_POSTSEC
P043840,2022,SCHOOL
P032110,2022,VOC_POSTSEC
P035384,2022,SCHOOL
P025924,2022,VOC_POSTSEC
P032518,2022,SCHOOL
P040410,2022,VOC_POSTSEC
P025780,2022,SCHOOL
P007415,2022,BACHELOR_EQ
P039492,2022,BACHELOR_EQ
P009422,2022,BACHELOR_EQ
P023574,2022,SCHOOL
P045767,2022,VOC_POSTSEC
P011865,2022,BACHELOR_EQ
P011974,2022,MASTER_EQ
P044720,2022,NONE_LOW
P024552,2022,VOC_POSTSEC
P022880,2022,VOC_POSTSEC
P000871,2022,VOC_POSTSEC
P036711,2022,SCHOOL
P013495,2022,VOC_POSTSEC
P035505,2022,VOC_POSTSEC
P017117,2022,VOC_POSTSEC
P018354,2022,VOC_POSTSEC
P049712,2022,SCHOOL
P023483,2022,SCHOOL
P025875,2022,BACHELOR_EQ
P035073,2022,VOC_POSTSEC
P030183,2022,VOC_POSTSEC
P014374,2022,VOC_POSTSEC
P047810,2022,SCHOOL
P034619,2022,SCHOOL
P018295,2022,BACHELOR_EQ
P030338,2022,VOC_POSTSEC
P016484,2022,VOC_POSTSEC
P033746,2022,SCHOOL
P036918,2022,VOC_POSTSEC
P047357,2022,BACHELOR_EQ
P029928,2022,VOC_POSTSEC
P037180,2022,SCHOOL
P045610,2022,VOC_POSTSEC
P043797,2022,VOC_POSTSEC
P045077,2022,BACHELOR_EQ
P029851,2022,VOC_POSTSEC
P012616,2022,VOC_POSTSEC
P008099,2022,NONE_LOW
P037979,2022,SCHOOL
P026550,2022,SCHOOL
P008652,2022,VOC_POSTSEC
P027548,2022,VOC_POSTSEC
P035226,2022,MASTER_EQ
P007172,2022,NONE_LOW
P026260,2022,NONE_LOW
P041762,2021,VOC_POSTSEC
P027819,2022,VOC_POSTSEC
P011057,2022,DOCTORATE
P040349,2022,BACHELOR_EQ
P023636,2022,VOC_POSTSEC
P021098,2022,SCHOOL
P004856,2022,MASTER_EQ
P043234,2022,VOC_POSTSEC
P029542,2022,BACHELOR_EQ
P022390,2022,SCHOOL
P023772,2022,VOC_POSTSEC
P000704,2022,SCHOOL
P009509,2022,VOC_POSTSEC
P012493,2022,DOCTORATE
P035829,2022,NONE_LOW
,2022,VOC_POSTSEC
P028422,2022,VOC_POSTSEC
P047474,2022,VOC_POSTSEC
P049517,2022,VOC_POSTSEC
P000043,2022,BACHELOR_EQ
P001371,2022,UNKNOWN_CODE
P016375,2022,VOC_POSTSEC
P021468,2022,MASTER_EQ
P022888,2022,VOC_POSTSEC
P003094,2022,NONE_LOW
P003257,2022,VOC_POSTSEC
P025998,2022,NONE_LOW
P025718,2022,NONE_LOW
P003812,2022,VOC_POSTSEC
P021402,2022,VOC_POSTSEC
P049052,2022,MASTER_EQ
P038239,2022,SCHOOL
P000661,2022,VOC_POSTSEC
P020821,2022,VOC_POSTSEC
P014369,2022,BACHELOR_EQ
P002529,2022,SCHOOL
P038741,2022,SCHOOL
P041075,2022,SCHOOL
P007326,2022,BACHELOR_EQ
P011088,2022,VOC_POSTSEC
P026701,2022,MASTER_EQ
P019825,2022,VOC_POSTSEC
P048143,2022,MASTER_EQ
P013313,2022,SCHOOL
P005716,2022,VOC_POSTSEC
P008026,2022,SCHOOL
P023696,2022,VOC_POSTSEC
P010366,2022,NONE_LOW
P039280,2022,SCHOOL
P013278,2022,VOC_POSTSEC
P035428,2022,BACHELOR_EQ
P000503,2022,BACHELOR_EQ
P023906,2022,VOC_POSTSEC
P033617,2022,SCHOOL
P038447,2022,VOC_POSTSEC
P007235,2022,VOC_POSTSEC
P040614,2022,SCHOOL
P044133,2022,BACHELOR_EQ
P041236,2022,SCHOOL
P043401,2022,BACHELOR_EQ
P011104,2022,SCHOOL
P023217,2022,BACHELOR_EQ
P013652,2022,SCHOOL
P028770,2022,VOC_POSTSEC
P036068,2022,BACHELOR_EQ
P035464,2022,VOC_POSTSEC
P040155,2022,VOC_POSTSEC
P009757,2022,
P028191,2022,VOC_POSTSEC
P005030,2022,BACHELOR_EQ
P034056,2022,VOC_POSTSEC
P034329,2022,VOC_POSTSEC
P033295,2022,
P010441,2022,SCHOOL
P004150,2022,NONE_LOW
P026457,2022,BACHELOR_EQ
P048737,2022,SCHOOL
P001727,2022,SCHOOL
P017511,2022,VOC_POSTSEC
P049795,2022,BACHELOR_EQ
P029033,2022,SCHOOL
P045357,2022,SCHOOL
P004979,2022,VOC_POSTSEC
P014695,2022,VOC_POSTSEC
P047897,2022,SCHOOL
P004275,2022,SCHOOL
P004442,2022,VOC_POSTSEC
P046278,2022,BACHELOR_EQ
P029842,2022,SCHOOL
P024243,2022,VOC_POSTSEC
P041209,2022,VOC_POSTSEC
P010166,2022,BACHELOR_EQ
P020951,2022,SCHOOL
P000259,2022,VOC_POSTSEC
P004777,2022,SCHOOL
P008228,2022,VOC_POSTSEC
P016832,2022,NONE_LOW
P045008,2022,SCHOOL
P002434,2022,VOC_POSTSEC
P035670,2022,BACHELOR_EQ
P033628,2022,SCHOOL
P006452,2022,NONE_LOW
P041444,2022,BACHELOR_EQ
P020886,2022,BACHELOR_EQ
P014376,2022,BACHELOR_EQ
P033385,2022,SCHOOL
P005998,2022,SCHOOL
P028555,2022,MASTER_EQ
P023854,2022,VOC_POSTSEC
P048920,2022,SCHOOL
P031502,2022,SCHOOL
P009623,2022,BACHELOR_EQ
P048862,2022,VOC_POSTSEC
P007842,2022,NONE_LOW
P033811,2022,SCHOOL
P044862,2022,VOC_POSTSEC
P019018,2022,VOC_POSTSEC
P049477,2022,MASTER_EQ
P026192,2022,BACHELOR_EQ
P015820,2022,DOCTORATE
P006141,2022,NONE_LOW
P033140,2022,VOC_POSTSEC
P018226,2022,BACHELOR_EQ
P035557,2022,SCHOOL
P000309,2022,SCHOOL
P005438,2022,VOC_POSTSEC
P041941,2022,VOC_POSTSEC
P022083,2022,VOC_POSTSEC
P033353,2022,BACHELOR_EQ
