person_id,reference_year,age_at_reference_year,true_attainment_level,true_attainment_label
P000059,2022,38,4,bachelor_or_equivalent
P000059,2024,40,4,bachelor_or_equivalent
P000060,2022,42,3,vocational_or_postsecondary
P000060,2024,44,4,bachelor_or_equivalent
P000062,2022,72,3,vocational_or_postsecondary
P000062,2024,74,3,vocational_or_postsecondary
P000063,2022,26,5,master_or_equivalent
P000063,2024,28,5,master_or_equivalent
P000064,2022,17,2,school_qualification
P000064,2024,19,2,school_qualification
P000065,2022,30,3,vocational_or_postsecondary
P000065,2024,32,3,vocational_or_postsecondary
P000066,2022,42,2,school_qualification
P000066,2024,44,2,school_qualification
P000067,2022,30,4,bachelor_or_equivalent
P000067,2024,32,4,bachelor_or_equivalent
P000068,2022,66,2,school_qualification
P000068,2024,68,2,school_qualification
P000069,2022,22,3,vocational_or_postsecondary
P000069,2024,24,4,bachelor_or_equivalent
P000072,2022,18,3,vocational_or_postsecondary
P000072,2024,20,3,vocational_or_postsecondary
P000073,2022,36,4,bachelor_or_equivalent
P000073,2024,38,4,bachelor_or_equivalent
P000074,2022,18,2,school_qualification
P000074,2024,20,2,school_qualification
P000075,2022,39,2,school_qualification
P000075,2024,41,2,school_qualification
P000076,2022,40,4,bachelor_or_equivalent
P000076,2024,42,4,bachelor_or_equivalent
P000077,2022,18,3,vocational_or_postsecondary
P000077,2024,20,4,bachelor_or_equivalent
P000079,2022,27,2,school_qualification
P000079,2024,29,2,school_qualification
P000080,2022,49,4,bachelor_or_equivalent
P000080,2024,51,4,bachelor_or_equivalent
P000081,2022,30,3,vocational_or_postsecondary
P000081,2024,32,3,vocational_or_postsecondary
P000082,2022,33,3,vocational_or_postsecondary
P000082,2024,35,3,vocational_or_postsecondary
P000083,2022,86,3,vocational_or_postsecondary
P000083,2024,88,3,vocational_or_postsecondary
P000084,2022,22,3,vocational_or_postsecondary
P000084,2024,24,4,bachelor_or_equivalent
P000085,2022,17,2,school_qualification
P000085,2024,19,2,school_qualification
P000086,2022,39,3,vocational_or_postsecondary
P000086,2024,41,3,vocational_or_postsecondary
P000087,2022,55,1,low_or_none
P000087,2024,57,2,school_qualification
P000088,2022,35,2,school_qualification
P000088,2024,37,2,school_qualification
P000089,2022,28,4,bachelor_or_equivalent
P000089,2024,30,4,bachelor_or_equivalent
P000092,2022,26,3,vocational_or_postsecondary
P000092,2024,28,3,vocational_or_postsecondary
P000093,2022,83,3,vocational_or_postsecondary
P000093,2024,85,3,vocational_or_postsecondary
P000094,2022,55,3,vocational_or_postsecondary
P000094,2024,57,3,vocational_or_postsecondary
P000095,2022,63,3,vocational_or_postsecondary
P000095,2024,65,3,vocational_or_postsecondary
P000096,2022,61,3,vocational_or_postsecondary
P000096,2024,63,3,vocational_or_postsecondary
P000097,2022,74,2,school_qualification
P000097,2024,76,2,school_qualification
P000098,2022,19,3,vocational_or_postsecondary
P000098,2024,21,3,vocational_or_postsecondary
P000099,2022,68,3,vocational_or_postsecondary
P000099,2024,70,3,vocational_or_postsecondary
P000100,2022,60,1,low_or_none
P000100,2024,62,1,low_or_none
P000101,2022,56,3,vocational_or_postsecondary
P000101,2024,58,3,vocational_or_postsecondary
P000102,2022,63,2,school_qualification
P000102,2024,65,2,school_qualification
P000103,2022,51,5,master_or_equivalent
P000103,2024,53,5,master_or_equivalent
P000104,2022,48,2,school_qualification
P000104,2024,50,2,school_qualification
P000105,2022,80,3,vocational_or_postsecondary
P000105,2024,82,3,vocational_or_postsecondary
P000106,2022,29,3,vocational_or_postsecondary
P000106,2024,31,3,vocational_or_postsecondary
P000107,2022,76,3,vocational_or_postsecondary
P000107,2024,78,3,vocational_or_postsecondary
P000109,2022,49,3,vocational_or_postsecondary
P000109,2024,51,3,vocational_or_postsecondary
P000110,2022,23,3,vocational_or_postsecondary
P000110,2024,25,3,vocational_or_postsecondary
P000111,2022,47,2,school_qualification
P000111,2024,49,2,school_qualification
P000112,2022,27,3,vocational_or_postsecondary
P000112,2024,29,3,vocational_or_postsecondary
P000115,2022,17,2,school_qualification
P000115,2024,19,2,school_qualification
P000116,2022,61,3,vocational_or_postsecondary
P000116,2024,63,3,vocational_or_postsecondary
P000117,2022,83,5,master_or_equivalent
P000117,2024,85,5,master_or_equivalent
P000119,2022,28,3,vocational_or_postsecondary
P000119,2024,30,3,vocational_or_postsecondary
P000120,2022,63,3,vocational_or_postsecondary
P000120,2024,65,3,vocational_or_postsecondary
P000121,2022,44,1,low_or_none
P000121,2024,46,1,low_or_none
P000123,2022,40,2,school_qualification
P000123,2024,42,2,school_qualification
P000124,2022,24,2,school_qualification
P000124,2024,26,3,vocational_or_postsecondary
P000126,2022,18,2,school_qualification
P000126,2024,20,3,vocational_or_postsecondary
P000127,2022,46,2,school_qualification
P000127,2024,48,2,school_qualification
P000129,2022,49,3,vocational_or_postsecondary
P000129,2024,51,3,vocational_or_postsecondary
P000130,2022,58,2,school_qualification
P000130,2024,60,2,school_qualification
P000132,2022,22,3,vocational_or_postsecondary
P000132,2024,24,4,bachelor_or_equivalent
P000133,2022,34,2,school_qualification
P000133,2024,36,2,school_qualification
P000134,2022,75,4,bachelor_or_equivalent
P000134,2024,77,4,bachelor_or_equivalent
P000135,2022,27,1,low_or_none
P000135,2024,29,2,school_qualification
P000137,2022,40,1,low_or_none
P000137,2024,42,1,low_or_none
P000138,2022,56,3,vocational_or_postsecondary
P000138,2024,58,3,vocational_or_postsecondary
P000139,2022,29,2,school_qualification
P000139,2024,31,2,school_qualification
P000140,2022,34,3,vocational_or_postsecondary
P000140,2024,36,4,bachelor_or_equivalent
P000141,2022,62,2,school_qualification
P000141,2024,64,2,school_qualification
P000142,2022,76,3,vocational_or_postsecondary
P000142,2024,78,3,vocational_or_postsecondary
P000143,2022,59,4,bachelor_or_equivalent
P000143,2024,61,4,bachelor_or_equivalent
P000144,2022,58,3,vocational_or_postsecondary
P000144,2024,60,3,vocational_or_postsecondary
P000145,2022,75,2,school_qualification
P000145,2024,77,2,school_qualification
P000146,2022,16,1,low_or_none
P000146,2024,18,2,school_qualification
P000147,2022,24,4,bachelor_or_equivalent
P000147,2024,26,5,master_or_equivalent
P000148,2022,49,2,school_qualification
P000148,2024,51,2,school_qualification
P000149,2022,70,5,master_or_equivalent
P000149,2024,72,5,master_or_equivalent
P000150,2022,22,3,vocational_or_postsecondary
P000150,2024,24,3,vocational_or_postsecondary
P000151,2022,50,5,master_or_equivalent
P000151,2024,52,5,master_or_equivalent
P000152,2024,15,2,school_qualification
P000153,2022,36,2,school_qualification
P000153,2024,38,2,school_qualification
P000155,2022,71,1,low_or_none
P000155,2024,73,1,low_or_none
P000156,2022,41,1,low_or_none
P000156,2024,43,1,low_or_none
P000157,2022,26,2,school_qualification
P000157,2024,28,3,vocational_or_postsecondary
P000158,2022,57,2,school_qualification
P000158,2024,59,2,school_qualification
P000159,2024,15,1,low_or_none
P000160,2022,43,5,master_or_equivalent
P000160,2024,45,5,master_or_equivalent
P000163,2022,51,5,master_or_equivalent
P000163,2024,53,5,master_or_equivalent
P000164,2022,34,3,vocational_or_postsecondary
P000164,2024,36,3,vocational_or_postsecondary
P000165,2022,37,3,vocational_or_postsecondary
P000165,2024,39,3,vocational_or_postsecondary
P000166,2022,59,2,school_qualification
P000166,2024,61,2,school_qualification
P000167,2022,71,5,master_or_equivalent
P000167,2024,73,5,master_or_equivalent
P000168,2022,28,1,low_or_none
P000168,2024,30,2,school_qualification
P000169,2022,61,3,vocational_or_postsecondary
P000169,2024,63,3,vocational_or_postsecondary
P000171,2022,57,3,vocational_or_postsecondary
P000171,2024,59,3,vocational_or_postsecondary
P000172,2022,49,1,low_or_none
P000172,2024,51,1,low_or_none
P000173,2022,59,6,doctorate
P000173,2024,61,6,doctorate
P000175,2022,73,2,school_qualification
P000175,2024,75,2,school_qualification
P000177,2022,77,1,low_or_none
P000177,2024,79,1,low_or_none
P000178,2022,55,3,vocational_or_postsecondary
P000178,2024,57,3,vocational_or_postsecondary
P000179,2022,42,1,low_or_none
P000179,2024,44,1,low_or_none
P000180,2022,31,3,vocational_or_postsecondary
P000180,2024,33,3,vocational_or_postsecondary
P000181,2022,24,4,bachelor_or_equivalent
P000181,2024,26,5,master_or_equivalent
P000182,2022,40,4,bachelor_or_equivalent
P000182,2024,42,4,bachelor_or_equivalent
P000184,2022,34,3,vocational_or_postsecondary
P000184,2024,36,3,vocational_or_postsecondary
P000185,2022,28,3,vocational_or_postsecondary
P000185,2024,30,3,vocational_or_postsecondary
P000186,2022,23,3,vocational_or_postsecondary
P000186,2024,25,3,vocational_or_postsecondary
P000188,2022,37,6,doctorate
P000188,2024,39,6,doctorate
P000189,2022,27,2,school_qualification
P000189,2024,29,2,school_qualification
P000191,2022,55,3,vocational_or_postsecondary
P000191,2024,57,3,vocational_or_postsecondary
P000192,2022,17,2,school_qualification
P000192,2024,19,3,vocational_or_postsecondary
P000193,2022,24,3,vocational_or_postsecondary
P000193,2024,26,3,vocational_or_postsecondary
P000194,2022,24,2,school_qualification
P000194,2024,26,2,school_qualification
P000195,2024,16,2,school_qualification
P000196,2022,22,2,school_qualification
P000196,2024,24,2,school_qualification
P000197,2022,27,2,school_qualification
P000197,2024,29,2,school_qualification
P000198,2022,40,3,vocational_or_postsecondary
P000198,2024,42,3,vocational_or_postsecondary
P000199,2022,20,2,school_qualification
P000199,2024,22,3,vocational_or_postsecondary
P000200,2022,35,4,bachelor_or_equivalent
P000200,2024,37,4,bachelor_or_equivalent
P000204,2022,37,4,bachelor_or_equivalent
P000204,2024,39,4,bachelor_or_equivalent
P000205,2022,23,3,vocational_or_postsecondary
P000205,2024,25,3,vocational_or_postsecondary
P000206,2022,15,1,low_or_none
P000206,2024,17,1,low_or_none
P000208,2022,45,1,low_or_none
P000208,2024,47,1,low_or_none
P000209,2022,88,4,bachelor_or_equivalent
P000209,2024,90,4,bachelor_or_equivalent
P000210,2022,33,3,vocational_or_postsecondary
P000210,2024,35,3,vocational_or_postsecondary
P000211,2022,67,4,bachelor_or_equivalent
P000211,2024,69,4,bachelor_or_equivalent
P000212,2022,68,3,vocational_or_postsecondary
P000212,2024,70,3,vocational_or_postsecondary
P000213,2022,23,2,school_qualification
P000213,2024,25,3,vocational_or_postsecondary
P000215,2022,17,2,school_qualification
P000215,2024,19,3,vocational_or_postsecondary
P000216,2022,28,4,bachelor_or_equivalent
P000216,2024,30,4,bachelor_or_equivalent
P000217,2022,72,2,school_qualification
P000217,2024,74,2,school_qualification
P000218,2022,91,1,low_or_none
P000218,2024,93,1,low_or_none
P000219,2022,90,3,vocational_or_postsecondary
P000219,2024,92,3,vocational_or_postsecondary
P000220,2022,53,3,vocational_or_postsecondary
P000220,2024,55,3,vocational_or_postsecondary
P000221,2022,39,2,school_qualification
P000221,2024,41,2,school_qualification
P000222,2022,74,2,school_qualification
P000222,2024,76,2,school_qualification
P000223,2022,61,4,bachelor_or_equivalent
P000223,2024,63,4,bachelor_or_equivalent
P000224,2024,15,1,low_or_none
P000225,2022,49,5,master_or_equivalent
P000225,2024,51,5,master_or_equivalent
P000227,2022,53,3,vocational_or_postsecondary
P000227,2024,55,3,vocational_or_postsecondary
P000228,2022,17,2,school_qualification
P000228,2024,19,3,vocational_or_postsecondary
P000229,2022,53,3,vocational_or_postsecondary
P000229,2024,55,3,vocational_or_postsecondary
P000230,2022,54,2,school_qualification
P000230,2024,56,2,school_qualification
P000231,2022,53,4,bachelor_or_equivalent
P000231,2024,55,4,bachelor_or_equivalent
P000232,2022,67,2,school_qualification
P000232,2024,69,2,school_qualification
P000233,2022,45,3,vocational_or_postsecondary
P000233,2024,47,3,vocational_or_postsecondary
P000235,2022,53,2,school_qualification
P000235,2024,55,2,school_qualification
P000236,2022,31,5,master_or_equivalent
P000236,2024,33,5,master_or_equivalent
P000237,2022,42,5,master_or_equivalent
P000237,2024,44,5,master_or_equivalent
P000239,2022,15,2,school_qualification
P000239,2024,17,3,vocational_or_postsecondary
P000240,2022,41,3,vocational_or_postsecondary
P000240,2024,43,3,vocational_or_postsecondary
P000241,2022,90,1,low_or_none
P000241,2024,92,1,low_or_none
P000242,2022,75,3,vocational_or_postsecondary
P000242,2024,77,3,vocational_or_postsecondary
P000243,2022,61,4,bachelor_or_equivalent
P000243,2024,63,4,bachelor_or_equivalent
P000244,2022,29,2,school_qualification
P000244,2024,31,3,vocational_or_postsecondary
P000245,2022,79,2,school_qualification
P000245,2024,81,2,school_qualification
P000246,2022,90,3,vocational_or_postsecondary
P000246,2024,92,3,vocational_or_postsecondary
P000247,2022,58,2,school_qualification
P000247,2024,60,2,school_qualification
P000248,2022,28,4,bachelor_or_equivalent
P000248,2024,30,4,bachelor_or_equivalent
P000249,2022,59,1,low_or_none
P000249,2024,61,1,low_or_none
P000250,2022,20,3,vocational_or_postsecondary
P000250,2024,22,3,vocational_or_postsecondary
P000251,2022,23,2,school_qualification
P000251,2024,25,2,school_qualification
P000252,2022,40,4,bachelor_or_equivalent
P000252,2024,42,4,bachelor_or_equivalent
P000253,2022,42,2,school_qualification
P000253,2024,44,2,school_qualification
P000255,2022,72,2,school_qualification
P000255,2024,74,2,school_qualification
P000256,2022,51,3,vocational_or_postsecondary
P000256,2024,53,3,vocational_or_postsecondary
P000257,2022,20,3,vocational_or_postsecondary
P000257,2024,22,3,vocational_or_postsecondary
P000258,2022,73,2,school_qualification
P000258,2024,75,2,school_qualification
P000259,2022,74,6,doctorate
P000259,2024,76,6,doctorate
P000261,2022,43,1,low_or_none
P000261,2024,45,1,low_or_none
P000262,2022,35,4,bachelor_or_equivalent
P000262,2024,37,4,bachelor_or_equivalent
P000263,2022,92,3,vocational_or_postsecondary
P000263,2024,94,3,vocational_or_postsecondary
P000264,2022,33,2,school_qualification
P000264,2024,35,2,school_qualification
P000265,2022,70,3,vocational_or_postsecondary
P000265,2024,72,3,vocational_or_postsecondary
P000266,2022,46,3,vocational_or_postsecondary
P000266,2024,48,3,vocational_or_postsecondary
P000267,2022,16,1,low_or_none
P000267,2024,18,2,school_qualification
P000268,2022,46,4,bachelor_or_equivalent
P000268,2024,48,4,bachelor_or_equivalent
P000269,2022,16,2,school_qualification
P000269,2024,18,2,school_qualification
P000270,2022,73,3,vocational_or_postsecondary
P000270,2024,75,3,vocational_or_postsecondary
P000271,2022,52,4,bachelor_or_equivalent
P000271,2024,54,4,bachelor_or_equivalent
P000272,2022,41,2,school_qualification
P000272,2024,43,2,school_qualification
P000273,2022,37,3,vocational_or_postsecondary
P000273,2024,39,3,vocational_or_postsecondary
P000274,2022,42,2,school_qualification
P000274,2024,44,2,school_qualification
P000275,2022,48,3,vocational_or_postsecondary
P000275,2024,50,3,vocational_or_postsecondary
P000276,2022,23,1,low_or_none
P000276,2024,25,1,low_or_none
P000277,2022,18,3,vocational_or_postsecondary
P000277,2024,20,3,vocational_or_postsecondary
P000279,2022,43,3,vocational_or_postsecondary
P000279,2024,45,3,vocational_or_postsecondary
P000281,2022,53,5,master_or_equivalent
P000281,2024,55,5,master_or_equivalent
P000282,2022,20,4,bachelor_or_equivalent
P000282,2024,22,4,bachelor_or_equivalent
P000283,2022,39,5,master_or_equivalent
P000283,2024,41,5,master_or_equivalent
P000285,2022,75,2,school_qualification
P000285,2024,77,2,school_qualification
P000286,2022,56,3,vocational_or_postsecondary
P000286,2024,58,3,vocational_or_postsecondary
P000287,2022,25,3,vocational_or_postsecondary
P000287,2024,27,3,vocational_or_postsecondary
P000289,2022,77,3,vocational_or_postsecondary
P000289,2024,79,3,vocational_or_postsecondary
P000290,2022,77,3,vocational_or_postsecondary
P000290,2024,79,3,vocational_or_postsecondary
P000291,2022,43,3,vocational_or_postsecondary
P000291,2024,45,3,vocational_or_postsecondary
P000292,2022,45,3,vocational_or_postsecondary
P000292,2024,47,3,vocational_or_postsecondary
P000294,2022,74,1,low_or_none
P000294,2024,76,1,low_or_none
P000295,2022,16,2,school_qualification
P000295,2024,18,3,vocational_or_postsecondary
P000296,2022,24,3,vocational_or_postsecondary
P000296,2024,26,3,vocational_or_postsecondary
P000299,2022,46,4,bachelor_or_equivalent
P000299,2024,48,4,bachelor_or_equivalent
P000301,2022,43,4,bachelor_or_equivalent
P000301,2024,45,4,bachelor_or_equivalent
P000303,2022,50,2,school_qualification
P000303,2024,52,2,school_qualification
P000304,2022,41,1,low_or_none
P000304,2024,43,1,low_or_none
P000305,2022,85,4,bachelor_or_equivalent
P000305,2024,87,4,bachelor_or_equivalent
P000306,2022,56,3,vocational_or_postsecondary
P000306,2024,58,3,vocational_or_postsecondary
P000307,2022,76,2,school_qualification
P000307,2024,78,2,school_qualification
P000308,2022,38,2,school_qualification
P000308,2024,40,2,school_qualification
P000309,2022,15,1,low_or_none
P000309,2024,17,1,low_or_none
P000313,2022,27,3,vocational_or_postsecondary
P000313,2024,29,3,vocational_or_postsecondary
P000314,2022,68,3,vocational_or_postsecondary
P000314,2024,70,3,vocational_or_postsecondary
P000315,2022,57,3,vocational_or_postsecondary
P000315,2024,59,3,vocational_or_postsecondary
P000316,2022,33,4,bachelor_or_equivalent
P000316,2024,35,4,bachelor_or_equivalent
P000317,2022,22,2,school_qualification
P000317,2024,24,2,school_qualification
P000318,2022,74,4,bachelor_or_equivalent
P000318,2024,76,4,bachelor_or_equivalent
P000319,2022,42,2,school_qualification
P000319,2024,44,2,school_qualification
P000320,2022,67,2,school_qualification
P000320,2024,69,2,school_qualification
P000321,2022,67,1,low_or_none
P000321,2024,69,1,low_or_none
P000322,2022,16,2,school_qualification
P000322,2024,18,3,vocational_or_postsecondary
P000323,2022,25,3,vocational_or_postsecondary
P000323,2024,27,3,vocational_or_postsecondary
P000324,2022,46,3,vocational_or_postsecondary
P000324,2024,48,3,vocational_or_postsecondary
P000325,2022,29,4,bachelor_or_equivalent
P000325,2024,31,4,bachelor_or_equivalent
P000326,2022,55,4,bachelor_or_equivalent
P000326,2024,57,4,bachelor_or_equivalent
P000327,2022,44,3,vocational_or_postsecondary
P000327,2024,46,3,vocational_or_postsecondary
P000329,2022,47,2,school_qualification
P000329,2024,49,2,school_qualification
P000330,2022,56,3,vocational_or_postsecondary
P000330,2024,58,3,vocational_or_postsecondary
P000331,2022,61,5,master_or_equivalent
P000331,2024,63,5,master_or_equivalent
P000332,2022,29,4,bachelor_or_equivalent
P000332,2024,31,4,bachelor_or_equivalent
P000335,2022,25,5,master_or_equivalent
P000335,2024,27,5,master_or_equivalent
P000337,2022,39,3,vocational_or_postsecondary
P000337,2024,41,3,vocational_or_postsecondary
P000338,2022,37,3,vocational_or_postsecondary
P000338,2024,39,3,vocational_or_postsecondary
P000339,2022,43,1,low_or_none
P000339,2024,45,1,low_or_none
P000340,2022,42,4,bachelor_or_equivalent
P000340,2024,44,4,bachelor_or_equivalent
P000341,2022,65,6,doctorate
P000341,2024,67,6,doctorate
P000342,2022,69,2,school_qualification
P000342,2024,71,2,school_qualification
P000344,2022,31,2,school_qualification
P000344,2024,33,2,school_qualification
P000345,2022,91,2,school_qualification
P000345,2024,93,2,school_qualification
P000346,2022,62,1,low_or_none
P000346,2024,64,1,low_or_none
P000347,2022,27,3,vocational_or_postsecondary
P000347,2024,29,3,vocational_or_postsecondary
P000348,2022,36,3,vocational_or_postsecondary
P000348,2024,38,3,vocational_or_postsecondary
P000350,2022,40,3,vocational_or_postsecondary
P000350,2024,42,3,vocational_or_postsecondary
P000351,2022,49,3,vocational_or_postsecondary
P000351,2024,51,3,vocational_or_postsecondary
P000352,2022,61,3,vocational_or_postsecondary
P000352,2024,63,3,vocational_or_postsecondary
P000353,2022,16,2,school_qualification
P000353,2024,18,3,vocational_or_postsecondary
P000354,2022,26,2,school_qualification
P000354,2024,28,2,school_qualification
P000356,2022,37,3,vocational_or_postsecondary
P000356,2024,39,3,vocational_or_postsecondary
P000357,2022,43,3,vocational_or_postsecondary
P000357,2024,45,3,vocational_or_postsecondary
P000358,2022,44,3,vocational_or_postsecondary
P000358,2024,46,3,vocational_or_postsecondary
P000359,2022,20,2,school_qualification
P000359,2024,22,3,vocational_or_postsecondary
P000360,2022,75,3,vocational_or_postsecondary
P000360,2024,77,3,vocational_or_postsecondary
P000361,2022,26,5,master_or_equivalent
P000361,2024,28,5,master_or_equivalent
P000363,2022,61,2,school_qualification
P000363,2024,63,2,school_qualification
P000364,2022,74,3,vocational_or_postsecondary
P000364,2024,76,3,vocational_or_postsecondary
P000366,2022,30,5,master_or_equivalent
P000366,2024,32,5,master_or_equivalent
P000367,2022,16,1,low_or_none
P000367,2024,18,2,school_qualification
P000368,2022,64,4,bachelor_or_equivalent
P000368,2024,66,4,bachelor_or_equivalent
P000369,2022,87,3,vocational_or_postsecondary
P000369,2024,89,3,vocational_or_postsecondary
P000370,2022,81,2,school_qualification
P000370,2024,83,2,school_qualification
P000371,2022,53,3,vocational_or_postsecondary
P000371,2024,55,3,vocational_or_postsecondary
P000372,2022,45,3,vocational_or_postsecondary
P000372,2024,47,3,vocational_or_postsecondary
P000373,2022,60,4,bachelor_or_equivalent
P000373,2024,62,4,bachelor_or_equivalent
P000376,2024,16,2,school_qualification
P000377,2022,52,3,vocational_or_postsecondary
P000377,2024,54,3,vocational_or_postsecondary
P000378,2022,58,3,vocational_or_postsecondary
P000378,2024,60,3,vocational_or_postsecondary
P000379,2022,55,3,vocational_or_postsecondary
P000379,2024,57,3,vocational_or_postsecondary
P000381,2022,56,4,bachelor_or_equivalent
P000381,2024,58,4,bachelor_or_equivalent
P000382,2022,37,3,vocational_or_postsecondary
P000382,2024,39,3,vocational_or_postsecondary
P000383,2022,21,2,school_qualification
P000383,2024,23,3,vocational_or_postsecondary
P000385,2022,54,3,vocational_or_postsecondary
P000385,2024,56,3,vocational_or_postsecondary
P000386,2022,68,2,school_qualification
P000386,2024,70,2,school_qualification
P000388,2022,24,3,vocational_or_postsecondary
P000388,2024,26,3,vocational_or_postsecondary
P000389,2022,24,3,vocational_or_postsecondary
P000389,2024,26,4,bachelor_or_equivalent
P000390,2022,22,4,bachelor_or_equivalent
P000390,2024,24,4,bachelor_or_equivalent
P000391,2022,21,3,vocational_or_postsecondary
P000391,2024,23,4,bachelor_or_equivalent
P000393,2022,15,2,school_qualification
P000393,2024,17,3,vocational_or_postsecondary
P000394,2024,16,2,school_qualification
P000395,2022,67,4,bachelor_or_equivalent
P000395,2024,69,4,bachelor_or_equivalent
P000396,2022,61,3,vocational_or_postsecondary
P000396,2024,63,3,vocational_or_postsecondary
P000397,2022,54,4,bachelor_or_equivalent
P000397,2024,56,4,bachelor_or_equivalent
P000398,2022,60,3,vocational_or_postsecondary
P000398,2024,62,3,vocational_or_postsecondary
P000399,2022,53,3,vocational_or_postsecondary
P000399,2024,55,3,vocational_or_postsecondary
P000400,2022,87,2,school_qualification
P000400,2024,89,2,school_qualification
P000401,2022,33,4,bachelor_or_equivalent
P000401,2024,35,4,bachelor_or_equivalent
P000404,2022,91,3,vocational_or_postsecondary
P000404,2024,93,3,vocational_or_postsecondary
P000405,2022,45,4,bachelor_or_equivalent
P000405,2024,47,4,bachelor_or_equivalent
P000406,2022,35,4,bachelor_or_equivalent
P000406,2024,37,4,bachelor_or_equivalent
P000408,2022,38,4,bachelor_or_equivalent
P000408,2024,40,4,bachelor_or_equivalent
P000410,2022,30,4,bachelor_or_equivalent
P000410,2024,32,5,master_or_equivalent
P000411,2022,37,4,bachelor_or_equivalent
P000411,2024,39,4,bachelor_or_equivalent
P000412,2022,67,2,school_qualification
P000412,2024,69,2,school_qualification
P000413,2022,60,4,bachelor_or_equivalent
P000413,2024,62,4,bachelor_or_equivalent
P000414,2022,47,5,master_or_equivalent
P000414,2024,49,5,master_or_equivalent
P000415,2022,87,2,school_qualification
P000415,2024,89,2,school_qualification
P000416,2022,69,3,vocational_or_postsecondary
P000416,2024,71,3,vocational_or_postsecondary
P000417,2022,50,4,bachelor_or_equivalent
P000417,2024,52,4,bachelor_or_equivalent
P000418,2022,29,2,school_qualification
P000418,2024,31,2,school_qualification
P000419,2022,71,2,school_qualification
