person_id,ref_date,employment_status,days_employed_last_12m,annual_employment_income,contact_address_id
P000384,2025-12-31,employed,362,7186.65,A001237
P000388,2025-12-31,marginal,112,6410.54,A006511
P000389,2025-12-31,marginal,110,6391.78,A006511
P000392,2025-12-31,employed,291,35747.88,A014403
P000394,2025-12-31,marginal,75,5328.99,A005853
P000399,2025-12-31,employed,280,20511.62,NA
P000401,2025-12-31,employed,277,30425,NA
P000402,2025-12-31,self_employed,359,24588.28,A012176
P000404,2025-12-31,self_employed,247,10198.62,A012176
P000408,2025-12-31,employed,315,19404.59,A012057
P000410,2025-12-31,employed,322,39462.9,A012057
P000411,2025-12-31,employed,301,12216.81,A012057
P000412,2025-12-31,self_employed,59,10657.41,A013088
P000413,2025-12-31,marginal,132,3537.23,A013088
P000419,2025-12-31,employed,334,15197.24,A003264
P000420,2025-12-31,marginal,75,5798.23,A003264
P000422,2025-12-31,employed,220,22370.24,A013539
P000423,2025-12-31,employed,337,41772.62,A002343
P000428,2025-12-31,self_employed,30,25390.17,A014537
P000431,2025-12-31,employed,365,19855.15,A014537
P000432,2025-12-31,employed,252,24041.53,A004136
P000435,2025-12-31,employed,313,28076.57,A004136
P000436,2025-12-31,employed,295,26740.73,A002899
P000438,2025-12-31,marginal,104,9875.48,A002899
P000441,2025-12-31,employed,346,33276.82,A015217
P000442,2025-12-31,self_employed,294,21839.04,A015217
P000444,2025-12-31,employed,334,30471.41,A008346
P000446,2025-12-31,employed,257,27448.04,A008346
P000450,2025-12-31,self_employed,312,25760.66,A003050
P000451,2025-12-31,employed,237,18707.6,A003635
P000452,2025-12-31,employed,302,22351.2,A003635
P000453,2025-12-31,self_employed,180,111255.32,A010448
P000454,2025-12-31,employed,365,20707.78,A010448
P000457,2025-12-31,employed,365,28434.39,A000105
P000462,2025-12-31,employed,339,45535.56,A007517
P000463,2025-12-31,marginal,234,5378.96,A007517
P000466,2025-12-31,employed,254,69024.7,A007661
P000467,2025-12-31,no_record,0,0,A009652
P000472,2025-12-31,employed,295,32172.27,A001433
P000473,2025-12-31,employed,365,36606.47,A001433
P000474,2025-12-31,employed,227,30728.29,A000408
P000475,2025-12-31,employed,336,34183.16,A000408
P000484,2025-12-31,self_employed,199,51020.7,A012036
P000485,2025-12-31,employed,283,31423.42,A015941
P000487,2025-12-31,marginal,128,7061.51,A013096
P000492,2025-12-31,employed,264,42231.06,A000456
P000498,2025-12-31,employed,253,31464.43,A011332
P000500,2025-12-31,employed,365,59207.3,A009711
P000502,2025-12-31,employed,354,10411.51,A009711
P000503,2025-12-31,marginal,112,6538.58,A014385
P000504,2025-12-31,self_employed,299,42859.94,A014385
P000506,2025-12-31,employed,300,25227.29,A014385
P000508,2025-12-31,employed,258,12103.15,A014939
P000511,2025-12-31,employed,338,26856.1,A009585
P000515,2025-12-31,employed,329,85122.26,A009585
P000516,2025-12-31,marginal,96,4844.36,A015740
P000518,2025-12-31,employed,250,26348.21,A002011
P000520,2025-12-31,employed,227,70988.72,A002011
P000521,2025-12-31,employed,345,32126.6,A016229
P000522,2025-12-31,employed,147,16169.27,A016229
P000524,2025-12-31,employed,275,34081.39,A000761
P000525,2025-12-31,employed,354,29530.1,A014699
P000530,2025-12-31,no_record,0,0,A013093
P000531,2025-12-31,employed,225,15946.37,A013093
P000533,2025-12-31,employed,318,29566.96,NA
P000534,2025-12-31,marginal,113,4569.94,A005110
P000535,2025-12-31,self_employed,148,22225.84,A005110
P000537,2025-12-31,no_record,0,0,A005110
P000538,2025-12-31,employed,365,14607.21,A006594
P000539,2025-12-31,self_employed,331,8345.55,A006594
P000541,2025-12-31,employed,287,39954.45,A000325
P000543,2025-12-31,employed,322,59725.84,A012853
P000547,2025-12-31,employed,259,31635.44,A017330
P000550,2025-12-31,employed,325,25126.57,A015305
P000551,2025-12-31,employed,345,19731.02,A011056
P000556,2025-12-31,employed,246,16531.08,A013573
P000557,2025-12-31,employed,281,21517.49,A013573
P000559,2025-12-31,employed,277,28948.83,A011749
P000560,2025-12-31,employed,198,32225.99,A008781
P000563,2025-12-31,employed,273,28745.05,A012651
P000564,2025-12-31,marginal,98,3802.7,A011090
P000571,2025-12-31,employed,219,26634.89,A006609
P000572,2025-12-31,employed,318,18164.31,A005354
P000573,2025-12-31,employed,346,44686.84,A005354
P000578,2025-12-31,employed,365,101759.07,A002401
P000581,2025-12-31,employed,345,76229.36,A012009
P000582,2025-12-31,employed,245,11794.19,A012009
P000584,2025-12-31,self_employed,364,2594.69,A007380
P000585,2025-12-31,marginal,91,3899.54,A007380
P000586,2025-12-31,employed,272,17798.39,A008254
P000587,2025-12-31,employed,337,17983.96,A008254
P000588,2025-12-31,employed,255,34362.85,A012343
P000592,2025-12-31,employed,145,13609.31,A014669
P000595,2025-12-31,no_record,0,0,A003153
P000603,2025-12-31,self_employed,108,9821.62,A000153
P000604,2025-12-31,employed,311,38820.32,A000153
P000605,2025-12-31,employed,305,25386.27,A000153
P000606,2025-12-31,self_employed,324,16927.37,A009964
P000609,2025-12-31,employed,338,59584.95,A017742
P000610,2025-12-31,employed,335,25234,A017742
P000611,2025-12-31,self_employed,196,34401.62,A017742
P000614,2025-12-31,self_employed,261,9934.63,A005505
P000624,2025-12-31,employed,329,61697.83,A001681
P000625,2025-12-31,employed,269,40769.3,A001681
P000630,2025-12-31,employed,306,24264,A003756
P000631,2025-12-31,employed,290,25291.72,A006475
P000633,2025-12-31,employed,235,12293.9,A007213
P000636,2025-12-31,employed,365,34745.27,A001258
P000638,2025-12-31,employed,298,31125.31,A001245
P000641,2025-12-31,employed,242,25526.3,A017626
P000646,2025-12-31,self_employed,276,23576.02,A015174
P000647,2025-12-31,employed,306,16910.59,A015174
P000650,2025-12-31,employed,277,15604,A008920
P000652,2025-12-31,marginal,57,7031.38,A015872
P000654,2025-12-31,marginal,150,6318.59,A015872
P000661,2025-12-31,marginal,75,3519.36,A004546
P000663,2025-12-31,employed,188,13380.42,A004546
P000664,2025-12-31,employed,359,37163.56,A004839
P000668,2025-12-31,employed,303,16622.49,A008551
P000670,2025-12-31,employed,365,17783.13,NA
P000671,2025-12-31,employed,285,25369.11,A009042
P000672,2025-12-31,employed,208,30390.53,A007556
P000677,2025-12-31,employed,323,18923.5,A001654
P000680,2025-12-31,employed,250,16751.1,A012399
P000682,2025-12-31,employed,327,20261.6,A004510
P000685,2025-12-31,employed,329,44450.29,A004730
P000689,2025-12-31,employed,236,16460.16,A003833
P000691,2025-12-31,employed,284,28387.31,NA
P000693,2025-12-31,employed,290,23331.74,A017313
P000695,2025-12-31,marginal,193,6087.55,A005938
P000696,2025-12-31,employed,295,17491.67,A005938
P000697,2025-12-31,employed,306,40691.17,A017413
P000698,2025-12-31,employed,349,14130.46,A008566
P000699,2025-12-31,employed,310,34087.97,A008566
P000701,2025-12-31,self_employed,149,11134.15,A008566
P000702,2025-12-31,self_employed,324,11161.9,A001592
P000704,2025-12-31,employed,295,44181.5,A001592
P000708,2025-12-31,employed,252,14745.55,A013527
P000709,2025-12-31,employed,170,17533.49,A013527
P000711,2025-12-31,employed,365,13359.74,A009697
P000712,2025-12-31,employed,327,37229.33,A014853
P000715,2025-12-31,employed,365,33199.47,A013076
P000716,2025-12-31,employed,262,27316.83,A013076
P000723,2025-12-31,employed,275,11862.15,A015263
P000726,2025-12-31,employed,294,18067.78,A000053
P000728,2025-12-31,no_record,0,0,A011532
P000730,2025-12-31,employed,276,19095.06,A014020
P000731,2025-12-31,employed,363,12988.9,A012269
P000733,2025-12-31,self_employed,258,69263.63,A012269
P000734,2025-12-31,employed,313,31650.58,A012269
P000737,2025-12-31,employed,326,14729.62,A002082
P000739,2025-12-31,employed,319,49222.75,A014920
P000740,2025-12-31,self_employed,317,13480.72,A013320
P000741,2025-12-31,self_employed,192,11270.71,A011322
P000743,2025-12-31,marginal,123,13707.93,A008231
P000745,2025-12-31,employed,325,16775.85,A008231
P000746,2025-12-31,employed,365,23206.91,A007419
P000748,2025-12-31,employed,302,26339.22,A007419
P000750,2025-12-31,employed,259,59808.62,A012519
P000751,2025-12-31,no_record,0,0,A009947
P000752,2025-12-31,self_employed,235,52653.82,A009947
P000753,2025-12-31,employed,263,17106.6,NA
P000755,2025-12-31,marginal,30,2207.69,A007895
P000756,2025-12-31,employed,318,14158.88,A013539
P000757,2025-12-31,self_employed,103,12486.41,A000061
P000758,2025-12-31,marginal,158,5542.93,A000061
P000763,2025-12-31,self_employed,227,23782.56,A009745
P000764,2025-12-31,self_employed,215,19771.49,A009745
P000765,2025-12-31,employed,216,36960.33,A009745
P000767,2025-12-31,employed,204,16605.77,A009825
P000768,2025-12-31,employed,316,28750.38,A009825
P000769,2025-12-31,employed,190,30739.19,A016512
P000771,2025-12-31,employed,270,37191.53,A008056
P000773,2025-12-31,employed,313,23809.33,A008056
P000778,2025-12-31,employed,354,9897.87,A011836
P000779,2025-12-31,self_employed,149,13026.35,A011836
P000780,2025-12-31,employed,314,30250.04,A007337
P000781,2025-12-31,employed,222,22850.79,A007337
P000783,2025-12-31,self_employed,122,34057.38,A005080
P000785,2025-12-31,self_employed,365,48037.27,A008297
P000787,2025-12-31,employed,308,35456.63,A008639
P000788,2025-12-31,employed,321,20857.05,A012219
P000790,2025-12-31,employed,361,22582.29,A005308
P000792,2025-12-31,employed,217,53786.43,A011786
P000793,2025-12-31,employed,201,60710.23,A011786
P000796,2025-12-31,marginal,184,8653.45,A005647
P000798,2025-12-31,employed,362,20067.28,A012427
P000801,2025-12-31,employed,295,NA,A004684
P000802,2025-12-31,employed,293,30314.16,A004684
P000803,2025-12-31,employed,294,21073.74,A015041
P000805,2025-12-31,employed,240,32769.36,A009387
P000806,2025-12-31,employed,254,40896.06,A015041
P000813,2025-12-31,employed,240,12438.39,A013438
P000814,2025-12-31,employed,238,9664.42,A013438
P000818,2025-12-31,employed,214,30718.66,A014068
P000820,2025-12-31,employed,232,43306.87,A014068
P000821,2025-12-31,employed,318,68726.57,A008117
P000824,2025-12-31,employed,252,25825.32,A005321
P000825,2025-12-31,employed,339,48708.47,A008639
P000827,2025-12-31,employed,290,31132.65,A014543
P000828,2025-12-31,marginal,126,3159.38,A014543
P000831,2025-12-31,employed,365,31237.25,A003254
P000835,2025-12-31,marginal,103,4442.13,A015308
P000838,2025-12-31,employed,255,37504.51,A015365
P000843,2025-12-31,employed,257,21832.76,A006501
P000844,2025-12-31,self_employed,178,42682.9,A006501
P000845,2025-12-31,employed,264,17900.06,A006501
P000848,2025-12-31,employed,301,9327.8,A008220
P000849,2025-12-31,employed,219,31462.38,A004870
P000850,2025-12-31,employed,221,30051.53,A004870
P000851,2025-12-31,employed,304,32752.64,A004870
P000858,2025-12-31,employed,275,31193.54,A010675
P000859,2025-12-31,no_record,0,0,NA
P000860,2025-12-31,employed,257,32011.83,A008133
P000862,2025-12-31,employed,265,13935.47,A007771
P000865,2025-12-31,employed,365,22167.52,A006851
P000867,2025-12-31,employed,294,22687.6,A006851
P000870,2025-12-31,employed,348,25891.54,A005252
P000871,2025-12-31,employed,241,25728.19,A000068
P000873,2025-12-31,marginal,186,6363.29,A017432
P000874,2025-12-31,employed,194,27056.18,A017432
P000875,2025-12-31,employed,192,24839.01,A017432
P000877,2025-12-31,employed,322,23788.17,A017432
P000879,2025-12-31,employed,272,56814.8,A017505
P000880,2025-12-31,employed,212,45223.17,A000009
P000881,2025-12-31,employed,350,15417.88,A011413
P000884,2025-12-31,employed,229,32670.03,A005260
P000885,2025-12-31,employed,228,42252.26,A005260
P000886,2025-12-31,employed,258,12051.2,A005260
P000887,2025-12-31,employed,309,17550.78,A010083
P000888,2025-12-31,employed,365,49754.98,A010083
P000891,2025-12-31,employed,265,24303.71,A015940
P000892,2025-12-31,self_employed,115,30013.3,A010599
P000894,2025-12-31,employed,257,NA,A016936
P000895,2025-12-31,employed,355,16973.82,A011377
P000896,2025-12-31,self_employed,152,3517.4,A011377
P000901,2025-12-31,employed,308,13687.85,A012194
P000903,2025-12-31,employed,179,25929.25,NA
P000904,2025-12-31,employed,237,77631.4,A002359
P000905,2025-12-31,employed,265,21928.48,A002359
P000907,2025-12-31,employed,254,22353.15,A002359
P000908,2025-12-31,employed,336,56023.75,A017333
P000909,2025-12-31,employed,341,11327.94,A016691
P000912,2025-12-31,employed,326,21269.81,A009702
P000914,2025-12-31,employed,342,28387.39,A009702
P000915,2025-12-31,employed,294,11823.26,A009702
P000916,2025-12-31,employed,246,29033.84,A009702
P000917,2025-12-31,employed,271,25779.01,A009702
P000918,2025-12-31,no_record,0,0,NA
P000921,2025-12-31,employed,215,16506.1,A012615
P000923,2025-12-31,self_employed,198,22742.36,A015699
P000924,2025-12-31,employed,239,24634.75,A015699
P000926,2025-12-31,employed,301,20486.75,A011448
P000927,2025-12-31,employed,200,46351.06,A011448
P000929,2025-12-31,employed,242,28193.67,A007039
P000930,2025-12-31,self_employed,189,34758.42,A007039
P000933,2025-12-31,employed,289,12632.16,A013640
P000934,2025-12-31,no_record,0,0,A013640
P000935,2025-12-31,employed,262,31727.32,A013640
P000939,2025-12-31,employed,254,14934.94,A002938
P000941,2025-12-31,employed,259,17861.05,A002938
P000943,2025-12-31,self_employed,256,5175.42,A013584
P000945,2025-12-31,employed,365,14726.07,A013584
P000946,2025-12-31,no_record,0,0,A003080
P000948,2025-12-31,employed,290,36081.26,A003080
P000951,2025-12-31,self_employed,172,15510.58,A010561
P000952,2025-12-31,employed,287,48156.59,A005742
P000955,2025-12-31,employed,236,14795.61,A010380
P000958,2025-12-31,employed,300,50005.5,A004307
P000962,2025-12-31,self_employed,130,70169.68,A006396
P000964,2025-12-31,employed,327,56333.32,A009486
P000966,2025-12-31,employed,365,26137.78,A009486
P000968,2025-12-31,employed,289,26307.4,A011951
P000970,2025-12-31,employed,316,17296.61,A013867
P000973,2025-12-31,employed,267,35735.76,A009994
P000974,2025-12-31,marginal,159,4783.92,A009994
P000975,2025-12-31,employed,365,63734.78,A006581
P000977,2025-12-31,employed,316,30942.82,A006581
P000978,2025-12-31,marginal,90,13004.49,A004446
P000980,2025-12-31,marginal,160,5438.61,A007523
P000982,2025-12-31,marginal,22,3460.51,A002793
P000983,2025-12-31,employed,278,19132.45,A006202
P000985,2025-12-31,employed,302,41874.92,A006202
P000986,2025-12-31,self_employed,215,27158.72,A008949
P000988,2025-12-31,employed,273,27451.43,A005471
P000991,2025-12-31,no_record,0,0,A005471
P000994,2025-12-31,self_employed,365,28535.03,A006759
P000995,2025-12-31,employed,229,44043.8,A006759
P000996,2025-12-31,employed,243,16451.42,A005699
P000997,2025-12-31,employed,347,25452.74,A001220
P000998,2025-12-31,employed,325,35305.88,A005699
P000999,2025-12-31,employed,214,40843.01,A005699
P001001,2025-12-31,employed,339,25776.71,A016168
P001002,2025-12-31,employed,246,29323.04,A010412
P001005,2025-12-31,employed,144,25310.45,A002309
P001006,2025-12-31,employed,353,16072.76,A002309
P001007,2025-12-31,employed,320,20970.77,A002309
P001010,2025-12-31,employed,271,25046.53,A002309
P001011,2025-12-31,employed,184,48331.07,A002814
P001015,2025-12-31,employed,236,17879.28,A001203
P001018,2025-12-31,employed,322,29408.32,A015921
P001021,2025-12-31,employed,310,25099.61,A015921
P001023,2025-12-31,employed,346,26293.18,A009282
P001024,2025-12-31,employed,249,32091.52,A002427
P001034,2025-12-31,no_record,0,0,A014349
P001035,2025-12-31,marginal,72,3787.56,A001046
P001037,2025-12-31,self_employed,326,13985.54,NA
P001038,2025-12-31,employed,302,24986.64,A011211
P001043,2025-12-31,employed,314,24845.8,A009260
P001044,2025-12-31,marginal,85,2992.86,A005575
P001045,2025-12-31,employed,365,33014.85,A011294
P001048,2025-12-31,employed,290,50577.46,A016605
P001051,2025-12-31,employed,267,43718.61,A000167
P001057,2025-12-31,no_record,0,0,A016930
P001063,2025-12-31,marginal,49,3219.75,A011448
P001064,2025-12-31,employed,305,37490.29,NA
P001067,2025-12-31,employed,340,38165.31,A004148
P001070,2025-12-31,self_employed,329,8871.29,A002086
P001072,2025-12-31,employed,312,27412.02,A013267
P001081,2025-12-31,no_record,0,0,A001794
P001086,2025-12-31,employed,319,51558.39,A001304
P001087,2025-12-31,employed,294,17795.37,A013736
P001091,2025-12-31,employed,169,42229.39,A016694
P001092,2025-12-31,employed,262,43656.97,A002386
P001096,2025-12-31,marginal,108,3052.31,A015282
P001102,2025-12-31,employed,290,28460.29,A008047
P001105,2025-12-31,employed,246,21226.35,A015048
P001106,2025-12-31,employed,255,25426.61,A015048
P001110,2025-12-31,employed,220,20380.05,A015562
P001111,2025-12-31,self_employed,134,54494.41,A015562
P001113,2025-12-31,employed,281,37823.6,A009874
P001114,2025-12-31,employed,296,26110.9,A009874
P001115,2025-12-31,marginal,136,4201.1,A000580
P001116,2025-12-31,employed,200,17577.43,A005332
P001117,2025-12-31,employed,340,13545.13,A005332
P001120,2025-12-31,employed,318,28282.02,A004563
P001125,2025-12-31,employed,153,17060.91,A012302
P001128,2025-12-31,marginal,152,4378.58,A003944
P001131,2025-12-31,employed,298,15194.12,A013194
P001133,2025-12-31,employed,236,29531.28,A007501
P001139,2025-12-31,marginal,104,7073.25,A009417
P001142,2025-12-31,employed,213,33740.81,A006107
P001143,2025-12-31,marginal,178,4398.55,A010179
P001145,2025-12-31,marginal,151,4918.3,A017398
P001148,2025-12-31,employed,321,34429.25,A014191
P001149,2025-12-31,employed,338,52760.39,A014191
P001150,2025-12-31,employed,285,6094.38,A014835
P001154,2025-12-31,marginal,167,9638.46,A008513
P001156,2025-12-31,marginal,138,5245.08,A014899
P001158,2025-12-31,employed,303,15201.55,A002593
P001159,2025-12-31,employed,168,17856.78,A002593
P001160,2025-12-31,employed,226,17160.07,A002593
P001162,2025-12-31,marginal,151,2636.77,A016841
P001167,2025-12-31,employed,224,74273.92,A010066
P001169,2025-12-31,marginal,114,4363.79,A016911
P001171,2025-12-31,employed,309,29595.84,A012401
P001172,2025-12-31,employed,266,25286.39,A003560
P001175,2025-12-31,self_employed,191,NA,A004944
P001179,2025-12-31,employed,219,30635.24,A017544
P001180,2025-12-31,employed,337,24900.16,A017544
P001181,2025-12-31,employed,139,12228.05,A002378
P001182,2025-12-31,self_employed,258,12464.42,A002378
P001184,2025-12-31,employed,270,21193.16,A002909
P001185,2025-12-31,marginal,175,4742.96,A012712
P001191,2025-12-31,employed,234,23234.54,A001260
P001192,2025-12-31,employed,365,26712.64,A006170
P001193,2025-12-31,employed,254,36743.71,A001260
P001194,2025-12-31,marginal,61,5953.95,A001260
