person_id,true_resident,sex,age,age_group,citizenship_group,true_household_id,true_address_id,true_region_code,true_municipality_code,former_household_id,former_address_id,former_region_code,former_municipality_code,departure_date_true,in_population_register,coverage_status_true,overcoverage_flag_true,undercoverage_flag_true,registered_household_id_sim,registered_address_id_sim,registered_region_code_sim,registered_municipality_code_sim
P000024,1,M,9,6-17,DE,H000013,A004372,R01,R01-M02,,,,,,1,correctly_registered,0,0,H000013,A004372,R01,R01-M02
P000025,1,M,77,65-79,DE,H000014,A005411,R07,R07-M01,,,,,,1,correctly_registered,0,0,H000014,A005411,R07,R07-M01
P000026,1,M,18,18-24,DE,H000014,A005411,R07,R07-M01,,,,,,1,correctly_registered,0,0,H000014,A005411,R07,R07-M01
P000027,1,F,18,18-24,DE,H000014,A005411,R07,R07-M01,,,,,,1,correctly_registered,0,0,H000014,A005411,R07,R07-M01
P000028,1,M,55,40-64,EU,H000015,A002356,R06,R06-M01,,,,,,1,correctly_registered,0,0,H000015,A002356,R06,R06-M01
P000029,1,F,78,65-79,DE,H000016,A004678,R12,R12-M01,,,,,,1,correctly_registered,0,0,H000016,A004678,R12,R12-M01
P000030,1,F,5,0-5,DE,H000016,A004678,R12,R12-M01,,,,,,1,correctly_registered,0,0,H000016,A004678,R12,R12-M01
P000031,1,M,7,6-17,EU,H000016,A004678,R12,R12-M01,,,,,,1,correctly_registered,0,0,H000016,A004678,R12,R12-M01
P000032,1,F,6,6-17,DE,H000017,A010750,R02,R02-M03,,,,,,1,correctly_registered,0,0,H000017,A010750,R02,R02-M03
P000033,1,M,35,25-39,DE,H000017,A010750,R02,R02-M03,,,,,,1,correctly_registered,0,0,H000017,A010750,R02,R02-M03
P000034,1,M,26,25-39,DE,H000018,A002996,R03,R03-M01,,,,,,1,correctly_registered,0,0,H000018,A002996,R03,R03-M01
P000035,1,M,31,25-39,EU,H000018,A002996,R03,R03-M01,,,,,,1,correctly_registered,0,0,H000018,A002996,R03,R03-M01
P000036,1,M,47,40-64,DE,H000019,A012059,R06,R06-M03,,,,,,1,correctly_registered,0,0,H000019,A012059,R06,R06-M03
P000037,1,M,23,18-24,DE,H000019,A012059,R06,R06-M03,,,,,,1,correctly_registered,0,0,H000019,A012059,R06,R06-M03
P000038,1,F,3,0-5,DE,H000020,A009804,R12,R12-M04,,,,,,1,correctly_registered,0,0,H000020,A009804,R12,R12-M04
P000039,1,F,37,25-39,DE,H000020,A009804,R12,R12-M04,,,,,,1,correctly_registered,0,0,H000020,A009804,R12,R12-M04
P000040,1,M,4,0-5,DE,H000020,A009804,R12,R12-M04,,,,,,1,correctly_registered,0,0,H000020,A009804,R12,R12-M04
P000041,1,F,60,40-64,Non-EU,H000021,A001756,R12,R12-M04,,,,,,1,correctly_registered,0,0,H000021,A001756,R12,R12-M04
P000042,1,M,30,25-39,EU,H000021,A001756,R12,R12-M04,,,,,,1,correctly_registered,0,0,H000021,A001756,R12,R12-M04
P000043,1,F,46,40-64,DE,H000021,A001756,R12,R12-M04,,,,,,1,correctly_registered,0,0,H000021,A001756,R12,R12-M04
P000044,1,M,94,80+,DE,H000021,A001756,R12,R12-M04,,,,,,1,correctly_registered,0,0,H000021,A001756,R12,R12-M04
P000045,1,M,26,25-39,EU,H000022,A001193,R12,R12-M01,,,,,,1,correctly_registered,0,0,H000022,A001193,R12,R12-M01
P000046,1,F,13,6-17,DE,H000023,A001555,R01,R01-M02,,,,,,1,correctly_registered,0,0,H000023,A001555,R01,R01-M02
P000047,1,M,71,65-79,EU,H000023,A001555,R01,R01-M02,,,,,,1,correctly_registered,0,0,H000023,A001555,R01,R01-M02
P000048,1,F,51,40-64,DE,H000024,A001371,R02,R02-M04,,,,,,1,correctly_registered,0,0,H000024,A001371,R02,R02-M04
P000049,1,M,51,40-64,DE,H000024,A001371,R02,R02-M04,,,,,,1,correctly_registered,0,0,H000024,A001371,R02,R02-M04
P000050,1,M,19,18-24,DE,H000025,A006105,R03,R03-M03,,,,,,1,correctly_registered,0,0,H000025,A006105,R03,R03-M03
P000051,1,F,95,80+,EU,H000025,A006105,R03,R03-M03,,,,,,1,correctly_registered,0,0,H000025,A006105,R03,R03-M03
P000052,1,M,9,6-17,DE,H000026,A010120,R10,R10-M01,,,,,,1,correctly_registered,0,0,H000026,A010120,R10,R10-M01
P000053,1,F,33,25-39,DE,H000026,A010120,R10,R10-M01,,,,,,1,correctly_registered,0,0,H000026,A010120,R10,R10-M01
P000054,1,F,54,40-64,DE,H000026,A010120,R10,R10-M01,,,,,,1,correctly_registered,0,0,H000026,A010120,R10,R10-M01
P000055,1,M,78,65-79,EU,H000027,A008983,R11,R11-M03,,,,,,1,correctly_registered,0,0,H000027,A008983,R11,R11-M03
P000056,1,F,58,40-64,DE,H000028,A016558,R09,R09-M03,,,,,,1,correctly_registered,0,0,H000028,A016558,R09,R09-M03
P000057,1,F,13,6-17,Non-EU,H000028,A016558,R09,R09-M03,,,,,,1,correctly_registered,0,0,H000028,A016558,R09,R09-M03
P000058,1,F,32,25-39,DE,H000029,A014529,R10,R10-M04,,,,,,1,correctly_registered,0,0,H000029,A014529,R10,R10-M04
P000059,1,F,41,40-64,DE,H000029,A014529,R10,R10-M04,,,,,,1,correctly_registered,0,0,H000029,A014529,R10,R10-M04
P000060,1,M,45,40-64,EU,H000029,A014529,R10,R10-M04,,,,,,1,correctly_registered,0,0,H000029,A014529,R10,R10-M04
P000061,1,M,5,0-5,DE,H000030,A005101,R10,R10-M04,,,,,,1,correctly_registered,0,0,H000030,A005101,R10,R10-M04
P000062,1,F,75,65-79,DE,H000030,A005101,R10,R10-M04,,,,,,1,correctly_registered,0,0,H000030,A005101,R10,R10-M04
P000063,1,F,29,25-39,Non-EU,H000030,A005101,R10,R10-M04,,,,,,1,correctly_registered,0,0,H000030,A005101,R10,R10-M04
P000064,1,M,20,18-24,DE,H000031,A006467,R04,R04-M04,,,,,,1,correctly_registered,0,0,H000031,A006467,R04,R04-M04
P000065,1,M,33,25-39,DE,H000032,A002661,R07,R07-M03,,,,,,1,correctly_registered,0,0,H000032,A002661,R07,R07-M03
P000066,1,M,45,40-64,DE,H000032,A002661,R07,R07-M03,,,,,,1,correctly_registered,0,0,H000032,A002661,R07,R07-M03
P000067,1,M,33,25-39,DE,H000033,A011712,R10,R10-M03,,,,,,1,correctly_registered,0,0,H000033,A011712,R10,R10-M03
P000068,1,F,69,65-79,Non-EU,H000033,A011712,R10,R10-M03,,,,,,1,correctly_registered,0,0,H000033,A011712,R10,R10-M03
P000069,1,M,25,25-39,EU,H000034,A002755,R01,R01-M01,,,,,,1,correctly_registered,0,0,H000034,A002755,R01,R01-M01
P000070,1,F,9,6-17,EU,H000034,A002755,R01,R01-M01,,,,,,0,undercoverage,0,1,H000034,A002755,R01,R01-M01
P000071,1,M,13,6-17,DE,H000035,A006232,R03,R03-M02,,,,,,1,correctly_registered,0,0,H000035,A006232,R03,R03-M02
P000072,1,M,21,18-24,EU,H000035,A006232,R03,R03-M02,,,,,,0,undercoverage,0,1,H000035,A006232,R03,R03-M02
P000073,1,F,39,25-39,DE,H000035,A006232,R03,R03-M02,,,,,,1,correctly_registered,0,0,H000035,A006232,R03,R03-M02
P000074,1,F,21,18-24,EU,H000035,A006232,R03,R03-M02,,,,,,1,correctly_registered,0,0,H000035,A006232,R03,R03-M02
P000075,1,F,42,40-64,DE,H000036,A005904,R07,R07-M04,,,,,,1,correctly_registered,0,0,H000036,A005904,R07,R07-M04
P000076,1,F,43,40-64,DE,H000037,A012888,R12,R12-M03,,,,,,1,correctly_registered,0,0,H000037,A012888,R12,R12-M03
P000077,1,M,21,18-24,DE,H000037,A012888,R12,R12-M03,,,,,,1,correctly_registered,0,0,H000037,A012888,R12,R12-M03
P000078,1,F,1,0-5,DE,H000037,A012888,R12,R12-M03,,,,,,1,correctly_registered,0,0,H000037,A012888,R12,R12-M03
P000079,1,M,30,25-39,DE,H000037,A012888,R12,R12-M03,,,,,,1,correctly_registered,0,0,H000037,A012888,R12,R12-M03
P000080,1,F,52,40-64,DE,H000038,A008883,R04,R04-M01,,,,,,1,correctly_registered,0,0,H000038,A008883,R04,R04-M01
P000081,1,F,33,25-39,DE,H000038,A008883,R04,R04-M01,,,,,,1,correctly_registered,0,0,H000038,A008883,R04,R04-M01
P000082,1,M,36,25-39,Non-EU,H000038,A008883,R04,R04-M01,,,,,,1,correctly_registered,0,0,H000038,A008883,R04,R04-M01
P000083,1,M,89,80+,DE,H000038,A008883,R04,R04-M01,,,,,,1,correctly_registered,0,0,H000038,A008883,R04,R04-M01
P000084,1,F,25,25-39,DE,H000039,A014889,R03,R03-M02,,,,,,1,correctly_registered,0,0,H000039,A014889,R03,R03-M02
P000085,1,F,20,18-24,DE,H000039,A014889,R03,R03-M02,,,,,,1,correctly_registered,0,0,H000039,A014889,R03,R03-M02
P000086,1,M,42,40-64,EU,H000040,A002456,R07,R07-M02,,,,,,1,correctly_registered,0,0,H000040,A002456,R07,R07-M02
P000087,1,F,58,40-64,EU,H000040,A002456,R07,R07-M02,,,,,,1,correctly_registered,0,0,H000040,A002456,R07,R07-M02
P000088,1,M,38,25-39,DE,H000041,A003235,R01,R01-M03,,,,,,1,correctly_registered,0,0,H000041,A003235,R01,R01-M03
P000089,1,F,31,25-39,EU,H000041,A003235,R01,R01-M03,,,,,,1,correctly_registered,0,0,H000041,A003235,R01,R01-M03
P000090,1,M,11,6-17,Non-EU,H000042,A017235,R09,R09-M04,,,,,,1,correctly_registered,0,0,H000042,A017235,R09,R09-M04
P000091,1,F,0,0-5,Non-EU,H000042,A017235,R09,R09-M04,,,,,,1,correctly_registered,0,0,H000042,A017235,R09,R09-M04
P000092,1,M,29,25-39,EU,H000042,A017235,R09,R09-M04,,,,,,1,correctly_registered,0,0,H000042,A017235,R09,R09-M04
P000093,1,M,86,80+,DE,H000043,A013964,R01,R01-M03,,,,,,1,correctly_registered,0,0,H000043,A013964,R01,R01-M03
P000094,1,F,58,40-64,DE,H000044,A001532,R11,R11-M02,,,,,,1,correctly_registered,0,0,H000044,A001532,R11,R11-M02
P000095,1,M,66,65-79,DE,H000044,A001532,R11,R11-M02,,,,,,1,correctly_registered,0,0,H000044,A001532,R11,R11-M02
P000096,1,M,64,40-64,DE,H000045,A013592,R09,R09-M02,,,,,,1,correctly_registered,0,0,H000045,A013592,R09,R09-M02
P000097,1,M,77,65-79,DE,H000045,A013592,R09,R09-M02,,,,,,1,correctly_registered,0,0,H000045,A013592,R09,R09-M02
P000098,1,F,22,18-24,EU,H000046,A010188,R02,R02-M03,,,,,,1,correctly_registered,0,0,H000046,A010188,R02,R02-M03
P000099,1,F,71,65-79,DE,H000046,A010188,R02,R02-M03,,,,,,1,correctly_registered,0,0,H000046,A010188,R02,R02-M03
P000100,1,M,63,40-64,DE,H000047,A000673,R02,R02-M01,,,,,,1,correctly_registered,0,0,H000047,A000673,R02,R02-M01
P000101,1,M,59,40-64,DE,H000047,A000673,R02,R02-M01,,,,,,1,correctly_registered,0,0,H000047,A000673,R02,R02-M01
P000102,1,F,66,65-79,DE,H000048,A001531,R12,R12-M03,,,,,,1,correctly_registered,0,0,H000048,A001531,R12,R12-M03
P000103,1,F,54,40-64,Non-EU,H000048,A001531,R12,R12-M03,,,,,,1,correctly_registered,0,0,H000048,A001531,R12,R12-M03
P000104,1,F,51,40-64,DE,H000048,A001531,R12,R12-M03,,,,,,1,correctly_registered,0,0,H000048,A001531,R12,R12-M03
P000105,1,M,83,80+,DE,H000049,A009085,R09,R09-M03,,,,,,1,correctly_registered,0,0,H000049,A009085,R09,R09-M03
P000106,1,M,32,25-39,DE,H000050,A013983,R08,R08-M04,,,,,,1,correctly_registered,0,0,H000050,A013983,R08,R08-M04
P000107,1,F,79,65-79,DE,H000050,A013983,R08,R08-M04,,,,,,1,correctly_registered,0,0,H000050,A013983,R08,R08-M04
P000108,1,M,15,6-17,DE,H000050,A013983,R08,R08-M04,,,,,,1,correctly_registered,0,0,H000050,A013983,R08,R08-M04
P000109,1,F,52,40-64,DE,H000050,A013983,R08,R08-M04,,,,,,1,correctly_registered,0,0,H000050,A013983,R08,R08-M04
P000110,1,F,26,25-39,DE,H000051,A009036,R03,R03-M02,,,,,,1,correctly_registered,0,0,H000051,A009036,R03,R03-M02
P000111,1,F,50,40-64,DE,H000052,A011730,R02,R02-M01,,,,,,1,correctly_registered,0,0,H000052,A011730,R02,R02-M01
P000112,1,F,30,25-39,DE,H000052,A011730,R02,R02-M01,,,,,,1,correctly_registered,0,0,H000052,A011730,R02,R02-M01
P000113,1,M,3,0-5,EU,H000053,A002155,R04,R04-M02,,,,,,1,correctly_registered,0,0,H000053,A002155,R04,R04-M02
P000114,1,F,0,0-5,DE,H000053,A002155,R04,R04-M02,,,,,,1,correctly_registered,0,0,H000053,A002155,R04,R04-M02
P000115,1,F,20,18-24,DE,H000053,A002155,R04,R04-M02,,,,,,1,correctly_registered,0,0,H000053,A002155,R04,R04-M02
P000116,1,M,64,40-64,Non-EU,H000054,A017202,R02,R02-M04,,,,,,1,correctly_registered,0,0,H000054,A017202,R02,R02-M04
P000117,1,F,86,80+,EU,H000055,A012903,R04,R04-M02,,,,,,1,correctly_registered,0,0,H000055,A012903,R04,R04-M02
P000118,1,M,9,6-17,DE,H000055,A012903,R04,R04-M02,,,,,,1,correctly_registered,0,0,H000055,A012903,R04,R04-M02
P000119,1,F,31,25-39,DE,H000056,A011670,R09,R09-M01,,,,,,1,correctly_registered,0,0,H000056,A011670,R09,R09-M01
P000120,1,F,66,65-79,Non-EU,H000056,A011670,R09,R09-M01,,,,,,1,correctly_registered,0,0,H000056,A011670,R09,R09-M01
P000121,1,M,47,40-64,DE,H000057,A007708,R09,R09-M04,,,,,,1,correctly_registered,0,0,H000057,A007708,R09,R09-M04
P000122,1,M,5,0-5,DE,H000057,A007708,R09,R09-M04,,,,,,1,correctly_registered,0,0,H000057,A007708,R09,R09-M04
P000123,1,M,43,40-64,DE,H000057,A007708,R09,R09-M04,,,,,,1,correctly_registered,0,0,H000057,A007708,R09,R09-M04
P000124,1,F,27,25-39,DE,H000058,A011477,R02,R02-M01,,,,,,1,correctly_registered,0,0,H000058,A011477,R02,R02-M01
P000125,1,F,6,6-17,DE,H000059,A001573,R01,R01-M01,,,,,,1,correctly_registered,0,0,H000059,A001573,R01,R01-M01
P000126,1,F,21,18-24,DE,H000060,A012998,R09,R09-M01,,,,,,0,undercoverage,0,1,H000060,A012998,R09,R09-M01
P000127,1,M,49,40-64,EU,H000060,A012998,R09,R09-M01,,,,,,1,correctly_registered,0,0,H000060,A012998,R09,R09-M01
P000128,1,F,15,6-17,DE,H000060,A012998,R09,R09-M01,,,,,,1,correctly_registered,0,0,H000060,A012998,R09,R09-M01
P000129,1,M,52,40-64,DE,H000060,A012998,R09,R09-M01,,,,,,1,correctly_registered,0,0,H000060,A012998,R09,R09-M01
P000130,1,F,61,40-64,DE,H000061,A006787,R02,R02-M04,,,,,,1,correctly_registered,0,0,H000061,A006787,R02,R02-M04
P000131,1,M,8,6-17,DE,H000062,A004055,R02,R02-M02,,,,,,1,correctly_registered,0,0,H000062,A004055,R02,R02-M02
P000132,1,M,25,25-39,DE,H000062,A004055,R02,R02-M02,,,,,,1,correctly_registered,0,0,H000062,A004055,R02,R02-M02
P000133,1,M,37,25-39,DE,H000062,A004055,R02,R02-M02,,,,,,1,correctly_registered,0,0,H000062,A004055,R02,R02-M02
P000134,1,M,78,65-79,Non-EU,H000063,A012197,R05,R05-M02,,,,,,1,correctly_registered,0,0,H000063,A012197,R05,R05-M02
P000135,1,F,30,25-39,DE,H000064,A007086,R09,R09-M01,,,,,,1,correctly_registered,0,0,H000064,A007086,R09,R09-M01
P000136,1,M,14,6-17,Non-EU,H000064,A007086,R09,R09-M01,,,,,,1,correctly_registered,0,0,H000064,A007086,R09,R09-M01
P000137,1,M,43,40-64,DE,H000064,A007086,R09,R09-M01,,,,,,1,correctly_registered,0,0,H000064,A007086,R09,R09-M01
P000138,1,F,59,40-64,DE,H000064,A007086,R09,R09-M01,,,,,,1,correctly_registered,0,0,H000064,A007086,R09,R09-M01
P000139,1,F,32,25-39,Non-EU,H000065,A006786,R03,R03-M02,,,,,,1,correctly_registered,0,0,H000065,A006786,R03,R03-M02
P000140,1,M,37,25-39,DE,H000066,A009404,R03,R03-M01,,,,,,1,correctly_registered,0,0,H000066,A009404,R03,R03-M01
P000141,1,M,65,65-79,Non-EU,H000067,A012795,R07,R07-M03,,,,,,1,correctly_registered,0,0,H000067,A012795,R07,R07-M03
P000142,1,F,79,65-79,Non-EU,H000067,A012795,R07,R07-M03,,,,,,1,correctly_registered,0,0,H000067,A012795,R07,R07-M03
P000143,1,F,62,40-64,DE,H000068,A000995,R07,R07-M04,,,,,,1,correctly_registered,0,0,H000068,A000995,R07,R07-M04
P000144,1,M,61,40-64,DE,H000068,A000995,R07,R07-M04,,,,,,1,correctly_registered,0,0,H000068,A000995,R07,R07-M04
P000145,1,M,78,65-79,EU,H000068,A000995,R07,R07-M04,,,,,,1,correctly_registered,0,0,H000068,A000995,R07,R07-M04
P000146,1,M,19,18-24,DE,H000068,A000995,R07,R07-M04,,,,,,1,correctly_registered,0,0,H000068,A000995,R07,R07-M04
P000147,1,F,27,25-39,DE,H000069,A017388,R05,R05-M04,,,,,,1,correctly_registered,0,0,H000069,A017388,R05,R05-M04
P000148,1,F,52,40-64,EU,H000070,A001810,R05,R05-M02,,,,,,1,correctly_registered,0,0,H000070,A001810,R05,R05-M02
P000149,1,F,73,65-79,DE,H000070,A001810,R05,R05-M02,,,,,,0,undercoverage,0,1,H000070,A001810,R05,R05-M02
P000150,1,M,25,25-39,DE,H000070,A001810,R05,R05-M02,,,,,,1,correctly_registered,0,0,H000070,A001810,R05,R05-M02
P000151,1,F,53,40-64,EU,H000071,A005108,R03,R03-M01,,,,,,1,correctly_registered,0,0,H000071,A005108,R03,R03-M01
P000152,1,M,16,6-17,DE,H000071,A005108,R03,R03-M01,,,,,,1,correctly_registered,0,0,H000071,A005108,R03,R03-M01
P000153,1,F,39,25-39,DE,H000071,A005108,R03,R03-M01,,,,,,1,correctly_registered,0,0,H000071,A005108,R03,R03-M01
P000154,1,F,15,6-17,DE,H000072,A013625,R06,R06-M04,,,,,,1,correctly_registered,0,0,H000072,A013625,R06,R06-M04
P000155,1,F,74,65-79,DE,H000073,A014038,R01,R01-M03,,,,,,1,correctly_registered,0,0,H000073,A014038,R01,R01-M03
P000156,1,M,44,40-64,EU,H000073,A014038,R01,R01-M03,,,,,,1,correctly_registered,0,0,H000073,A014038,R01,R01-M03
P000157,1,F,29,25-39,EU,H000073,A014038,R01,R01-M03,,,,,,1,correctly_registered,0,0,H000073,A014038,R01,R01-M03
P000158,1,M,60,40-64,DE,H000074,A015604,R11,R11-M04,,,,,,1,correctly_registered,0,0,H000074,A015604,R11,R11-M04
P000159,1,F,16,6-17,DE,H000074,A015604,R11,R11-M04,,,,,,1,correctly_registered,0,0,H000074,A015604,R11,R11-M04
P000160,1,F,46,40-64,DE,H000074,A015604,R11,R11-M04,,,,,,0,undercoverage,0,1,H000074,A015604,R11,R11-M04
P000161,1,F,8,6-17,DE,H000074,A015604,R11,R11-M04,,,,,,1,correctly_registered,0,0,H000074,A015604,R11,R11-M04
P000162,1,F,7,6-17,DE,H000075,A017454,R10,R10-M04,,,,,,1,correctly_registered,0,0,H000075,A017454,R10,R10-M04
P000163,1,F,54,40-64,DE,H000076,A001996,R02,R02-M03,,,,,,1,correctly_registered,0,0,H000076,A001996,R02,R02-M03
P000164,1,M,37,25-39,DE,H000076,A001996,R02,R02-M03,,,,,,1,correctly_registered,0,0,H000076,A001996,R02,R02-M03
P000165,1,M,40,40-64,DE,H000077,A007980,R12,R12-M02,,,,,,1,correctly_registered,0,0,H000077,A007980,R12,R12-M02
P000166,1,M,62,40-64,DE,H000078,A017941,R06,R06-M01,,,,,,1,correctly_registered,0,0,H000078,A017941,R06,R06-M01
P000167,1,M,74,65-79,DE,H000078,A017941,R06,R06-M01,,,,,,1,correctly_registered,0,0,H000078,A017941,R06,R06-M01
P000168,1,F,31,25-39,DE,H000079,A013427,R02,R02-M04,,,,,,1,correctly_registered,0,0,H000079,A013427,R02,R02-M04
P000169,1,M,64,40-64,EU,H000079,A013427,R02,R02-M04,,,,,,1,correctly_registered,0,0,H000079,A013427,R02,R02-M04
P000170,1,M,0,0-5,DE,H000079,A013427,R02,R02-M04,,,,,,1,correctly_registered,0,0,H000079,A013427,R02,R02-M04
P000171,1,M,60,40-64,DE,H000079,A013427,R02,R02-M04,,,,,,1,correctly_registered,0,0,H000079,A013427,R02,R02-M04
P000172,1,F,52,40-64,Non-EU,H000079,A013427,R02,R02-M04,,,,,,1,correctly_registered,0,0,H000079,A013427,R02,R02-M04
P000173,1,M,62,40-64,DE,H000080,A003633,R02,R02-M02,,,,,,1,correctly_registered,0,0,H000080,A003633,R02,R02-M02
P000174,1,F,5,0-5,DE,H000080,A003633,R02,R02-M02,,,,,,1,correctly_registered,0,0,H000080,A003633,R02,R02-M02
P000175,1,M,76,65-79,Non-EU,H000080,A003633,R02,R02-M02,,,,,,1,correctly_registered,0,0,H000080,A003633,R02,R02-M02
P000176,1,F,2,0-5,DE,H000080,A003633,R02,R02-M02,,,,,,1,correctly_registered,0,0,H000080,A003633,R02,R02-M02
P000177,1,M,80,80+,DE,H000080,A003633,R02,R02-M02,,,,,,1,correctly_registered,0,0,H000080,A003633,R02,R02-M02
P000178,1,M,58,40-64,DE,H000081,A015067,R11,R11-M04,,,,,,1,correctly_registered,0,0,H000081,A015067,R11,R11-M04
P000179,1,M,45,40-64,Non-EU,H000082,A003373,R02,R02-M04,,,,,,1,correctly_registered,0,0,H000082,A003373,R02,R02-M04
P000180,1,F,34,25-39,DE,H000082,A003373,R02,R02-M04,,,,,,1,correctly_registered,0,0,H000082,A003373,R02,R02-M04
P000181,1,F,27,25-39,DE,H000083,A015789,R05,R05-M01,,,,,,1,correctly_registered,0,0,H000083,A015789,R05,R05-M01
P000182,1,F,43,40-64,Non-EU,H000083,A015789,R05,R05-M01,,,,,,1,correctly_registered,0,0,H000083,A015789,R05,R05-M01
P000183,1,F,11,6-17,DE,H000084,A005158,R01,R01-M04,,,,,,1,correctly_registered,0,0,H000084,A005158,R01,R01-M04
P000184,1,M,37,25-39,DE,H000084,A005158,R01,R01-M04,,,,,,1,correctly_registered,0,0,H000084,A005158,R01,R01-M04
P000185,1,M,31,25-39,EU,H000084,A005158,R01,R01-M04,,,,,,1,correctly_registered,0,0,H000084,A005158,R01,R01-M04
P000186,1,M,26,25-39,EU,H000085,A014154,R03,R03-M02,,,,,,1,correctly_registered,0,0,H000085,A014154,R03,R03-M02
P000187,1,F,12,6-17,DE,H000086,A005688,R12,R12-M04,,,,,,1,correctly_registered,0,0,H000086,A005688,R12,R12-M04
P000188,1,M,40,40-64,EU,H000087,A008256,R08,R08-M01,,,,,,1,correctly_registered,0,0,H000087,A008256,R08,R08-M01
P000189,1,F,30,25-39,DE,H000088,A015620,R11,R11-M01,,,,,,1,correctly_registered,0,0,H000088,A015620,R11,R11-M01
P000190,1,F,11,6-17,DE,H000088,A015620,R11,R11-M01,,,,,,1,correctly_registered,0,0,H000088,A015620,R11,R11-M01
P000191,1,M,58,40-64,EU,H000088,A015620,R11,R11-M01,,,,,,1,correctly_registered,0,0,H000088,A015620,R11,R11-M01
P000192,1,F,20,18-24,EU,H000089,A017749,R04,R04-M02,,,,,,1,correctly_registered,0,0,H000089,A017749,R04,R04-M02
P000193,1,F,27,25-39,DE,H000090,A002791,R06,R06-M02,,,,,,1,correctly_registered,0,0,H000090,A002791,R06,R06-M02
P000194,1,M,27,25-39,Non-EU,H000090,A002791,R06,R06-M02,,,,,,1,correctly_registered,0,0,H000090,A002791,R06,R06-M02
P000195,1,M,17,6-17,Non-EU,H000090,A002791,R06,R06-M02,,,,,,1,correctly_registered,0,0,H000090,A002791,R06,R06-M02
P000196,1,M,25,25-39,DE,H000091,A012341,R09,R09-M04,,,,,,1,correctly_registered,0,0,H000091,A012341,R09,R09-M04
P000197,1,M,30,25-39,DE,H000092,A004569,R05,R05-M02,,,,,,1,correctly_registered,0,0,H000092,A004569,R05,R05-M02
