person_id,school_year,enrolment_flag,institution_type,contact_address_id
P000466,2025/2026,1,school,
P000467,2025/2026,1,vocational_school,A010623
P000477,2025/2026,1,school,A015015
P000483,2025/2026,1,vocational_school,A000862
P000493,2025/2026,1,school,A011589
P000503,2025/2026,1,school,A002678
P000508,2025/2026,1,vocational_school,A013518
P000514,2025/2026,1,university,A011850
P000520,2025/2026,1,school,A008739
P000522,2025/2026,1,school,A008739
P000523,2025/2026,1,school,A008739
P000524,2025/2026,1,university,
P000525,2025/2026,1,school,A010428
P000527,2025/2026,1,school,A010428
P000534,2025/2026,1,,A012127
P000536,2025/2026,1,university,A007958
P000544,2025/2026,1,vocational_school,
P000548,2025/2026,1,school,A013375
P000550,2025/2026,1,school,A000927
P000563,2025/2026,1,university,A017988
P000569,2025/2026,1,school,A006862
P000573,2025/2026,1,school,A015928
P000575,2025/2026,1,school,A004370
P000583,2025/2026,1,school,A013451
P000586,2025/2026,1,university,A003483
P000588,2025/2026,1,school,A008515
P000590,2025/2026,1,school,A009650
P000591,2025/2026,1,school,A009650
P000603,2025/2026,1,school,A006736
P000607,2025/2026,1,school,A011552
P000608,2025/2026,1,school,A011552
P000609,2025/2026,1,school,A011552
P000610,2025/2026,1,school,A013139
P000615,2025/2026,1,school,A004431
P000618,2025/2026,1,school,A013050
P000619,2025/2026,1,vocational_school,A000174
P000622,2025/2026,1,vocational_school,A013556
P000623,2025/2026,1,school,A013556
P000631,2025/2026,1,vocational_school,A002660
P000632,2025/2026,1,university,A002660
P000635,2025/2026,1,school,A001659
P000636,2025/2026,1,vocational_school,A000425
P000640,2025/2026,1,school,A001280
P000643,2025/2026,1,university,A007985
P000648,2025/2026,1,university,A003601
P000649,2025/2026,1,vocational_school,A003601
P000656,2025/2026,1,university,A012163
P000658,2025/2026,1,school,
P000659,2025/2026,1,school,A015203
P000664,2025/2026,1,school,A004642
P000669,2025/2026,1,,A006999
P000671,2025/2026,1,school,A013470
P000676,2025/2026,1,university,A016461
P000681,2025/2026,1,school,A000351
P000682,2025/2026,1,school,A007193
P000688,2025/2026,1,school,A014638
P000691,2025/2026,1,university,
P000694,2025/2026,1,school,A014285
P000696,2025/2026,1,school,A012763
P000698,2025/2026,1,university,A007697
P000703,2025/2026,1,school,A004026
P000707,2025/2026,1,school,A004946
P000711,2025/2026,1,university,A006674
P000722,2025/2026,1,university,A011670
P000723,2025/2026,1,university,A017002
P000725,2025/2026,1,school,A009701
P000727,2025/2026,1,school,A013569
P000739,2025/2026,1,vocational_school,A015124
P000746,2025/2026,1,school,A010433
P000748,2025/2026,1,university,A010433
P000755,2025/2026,1,school,A004328
P000764,2025/2026,1,school,A017903
P000772,2025/2026,1,school,A008162
P000783,2025/2026,1,school,A007727
P000785,2025/2026,1,school,A007233
P000790,2025/2026,1,vocational_school,A007274
P000794,2025/2026,1,school,A016388
P000809,2025/2026,1,school,A012745
P000812,2025/2026,1,university,A007136
P000817,2025/2026,1,university,A011274
P000818,2025/2026,1,,A011274
P000820,2025/2026,1,school,A005975
P000821,2025/2026,1,university,A017991
P000825,2025/2026,1,school,A016916
P000838,2025/2026,1,school,A014747
P000853,2025/2026,1,school,A017706
P000859,2025/2026,1,vocational_school,A000053
P000860,2025/2026,1,school,A000053
P000861,2025/2026,1,school,A000053
P000866,2025/2026,1,school,A003232
P000876,2025/2026,1,school,A004739
P000887,2025/2026,1,school,A002439
P000904,2025/2026,1,school,A004278
P000908,2025/2026,1,school,A010325
P000912,2025/2026,1,school,A002953
P000914,2025/2026,1,school,A008807
P000919,2025/2026,1,school,A009678
P000928,2025/2026,1,school,A014000
P000933,2025/2026,1,,A011624
P000939,2025/2026,1,school,A001152
P000944,2025/2026,1,vocational_school,A014513
P000974,2025/2026,1,university,A010057
P000986,2025/2026,1,vocational_school,A017151
P000999,2025/2026,1,vocational_school,A011177
P001002,2025/2026,1,school,A010908
P001004,2025/2026,1,school,A002251
P001009,2025/2026,1,school,A011794
P001011,2025/2026,1,university,A016047
P001012,2025/2026,1,school,A016047
P001015,2025/2026,1,school,A002291
P001016,2025/2026,1,school,A013592
P001020,2025/2026,1,university,A005297
P001042,2025/2026,1,school,A016273
P001046,2025/2026,1,school,A000521
P001047,2025/2026,1,school,A000521
P001052,2025/2026,1,university,A008641
P001062,2025/2026,1,,A001403
P001071,2025/2026,1,school,A006455
P001083,2025/2026,1,school,A002742
P001089,2025/2026,1,vocational_school,A009536
P001090,2025/2026,1,school,A013619
P001096,2025/2026,1,school,A001997
P001099,2025/2026,1,,A005142
P001111,2025/2026,1,school,A008902
P001119,2025/2026,1,university,A014801
P001125,2025/2026,1,school,A007121
P001129,2025/2026,1,university,A014716
P001133,2025/2026,1,school,A004845
P001140,2025/2026,1,school,A013696
P001144,2025/2026,1,school,A014258
P001150,2025/2026,1,,A001372
P001156,2025/2026,1,school,A016094
P001160,2025/2026,1,vocational_school,A002443
P001170,2025/2026,1,university,A001005
P001172,2025/2026,1,school,A001005
P001173,2025/2026,1,school,A002314
P001177,2025/2026,1,school,A007777
P001178,2025/2026,1,university,A003591
P001194,2025/2026,1,school,
P001195,2025/2026,1,university,A012389
P001196,2025/2026,1,vocational_school,A010662
P001198,2025/2026,1,vocational_school,A010662
P001199,2025/2026,1,university,A004970
P001201,2025/2026,1,school,A015478
P001204,2025/2026,1,school,A012666
P001219,2025/2026,1,school,A008725
P001223,2025/2026,1,school,
P001258,2025/2026,1,school,A017550
P001259,2025/2026,1,school,A017550
P001267,2025/2026,1,,A001133
P001269,2025/2026,1,school,A000699
P001280,2025/2026,1,school,A006852
P001281,2025/2026,1,vocational_school,A009088
P001282,2025/2026,1,school,A009088
P001298,2025/2026,1,school,A000672
P001304,2025/2026,1,school,A004314
P001324,2025/2026,1,school,A017194
P001325,2025/2026,1,vocational_school,A012465
P001330,2025/2026,1,vocational_school,A008212
P001335,2025/2026,1,vocational_school,A005754
P001340,2025/2026,1,school,A006301
P001341,2025/2026,1,school,A015769
P001344,2025/2026,1,school,A010850
P001357,2025/2026,1,school,A004053
P001359,2025/2026,1,school,A004651
P001369,2025/2026,1,vocational_school,A002804
P001386,2025/2026,1,school,A013908
P001388,2025/2026,1,school,A013142
P001396,2025/2026,1,school,A003981
P001406,2025/2026,1,university,A001225
P001415,2025/2026,1,vocational_school,A006881
P001421,2025/2026,1,school,A010780
P001430,2025/2026,1,,A016299
P001434,2025/2026,1,school,A000800
P001444,2025/2026,1,school,A006115
P001446,2025/2026,1,school,A013709
P001452,2025/2026,1,school,A014505
P001456,2025/2026,1,school,A008606
P001457,2025/2026,1,university,A008606
P001498,2025/2026,1,school,A002891
P001500,2025/2026,1,school,A000710
P001502,2025/2026,1,vocational_school,A000710
P001506,2025/2026,1,school,
P001512,2025/2026,1,school,A015457
P001514,2025/2026,1,school,A011278
P001518,2025/2026,1,school,A007216
P001520,2025/2026,1,vocational_school,A002548
P001525,2025/2026,1,school,A008069
P001536,2025/2026,1,school,A005321
P001537,2025/2026,1,vocational_school,A005321
P001542,2025/2026,1,school,A001235
P001544,2025/2026,1,school,A012596
P001548,2025/2026,1,school,A001637
P001551,2025/2026,1,school,A008405
P001554,2025/2026,1,university,A016556
P001555,2025/2026,1,school,A016556
P001560,2025/2026,1,university,A013192
P001563,2025/2026,1,school,A004047
P001568,2025/2026,1,university,A010311
P001575,2025/2026,1,school,A001404
P001578,2025/2026,1,school,A003669
P001591,2025/2026,1,university,A013925
P001594,2025/2026,1,school,A017915
P001597,2025/2026,1,school,
P001601,2025/2026,1,school,A014214
P001608,2025/2026,1,,A010460
P001611,2025/2026,1,university,A013049
P001613,2025/2026,1,school,A005393
P001623,2025/2026,1,school,A006775
P001625,2025/2026,1,school,A001096
P001628,2025/2026,1,school,A012745
P001642,2025/2026,1,school,A011194
P001647,2025/2026,1,university,A014999
P001665,2025/2026,1,school,A011791
P001666,2025/2026,1,school,A007085
P001667,2025/2026,1,school,A017369
P001668,2025/2026,1,school,A017369
P001670,2025/2026,1,school,A015022
P001675,2025/2026,1,school,A015299
P001676,2025/2026,1,vocational_school,A015299
P001680,2025/2026,1,school,A003445
P001684,2025/2026,1,school,A004621
P001687,2025/2026,1,university,A012460
P001698,2025/2026,1,vocational_school,A003041
P001701,2025/2026,1,school,A003505
P001714,2025/2026,1,school,A007471
P001739,2025/2026,1,school,A003508
P001740,2025/2026,1,school,A003508
P001742,2025/2026,1,school,A003508
P001744,2025/2026,1,university,A008100
P001745,2025/2026,1,school,A000941
P001747,2025/2026,1,school,A000472
P001751,2025/2026,1,university,
P001753,2025/2026,1,school,A014412
P001773,2025/2026,1,school,A007917
P001778,2025/2026,1,school,A016476
P001789,2025/2026,1,vocational_school,A011521
P001790,2025/2026,1,school,A011521
P001792,2025/2026,1,school,A017078
P001794,2025/2026,1,school,A005102
P001795,2025/2026,1,school,A005102
P001798,2025/2026,1,university,A016289
P001815,2025/2026,1,school,A016764
P001816,2025/2026,1,school,A016764
P001829,2025/2026,1,university,A016393
P001836,2025/2026,1,school,A001526
P001851,2025/2026,1,university,A011476
P001863,2025/2026,1,school,A012537
P001870,2025/2026,1,vocational_school,A004060
P001882,2025/2026,1,school,A003063
P001897,2025/2026,1,school,A008820
P001906,2025/2026,1,vocational_school,A017184
P001909,2025/2026,1,university,A012103
P001925,2025/2026,1,school,A004679
P001927,2025/2026,1,school,A004679
P001932,2025/2026,1,university,A003346
P001935,2025/2026,1,university,A003346
P001937,2025/2026,1,university,A006143
P001940,2025/2026,1,school,A006143
P001947,2025/2026,1,vocational_school,A010895
P001951,2025/2026,1,school,A010725
P001953,2025/2026,1,school,A014982
P001955,2025/2026,1,university,A014982
P001957,2025/2026,1,school,A004828
P001965,2025/2026,1,school,A013042
P001970,2025/2026,1,vocational_school,A011139
P001974,2025/2026,1,school,
P001976,2025/2026,1,school,A005895
P001977,2025/2026,1,school,A005895
P001992,2025/2026,1,school,A017660
P002003,2025/2026,1,university,A016909
P002005,2025/2026,1,university,A008987
P002009,2025/2026,1,vocational_school,A017018
P002017,2025/2026,1,school,A005229
P002019,2025/2026,1,vocational_school,A009393
P002028,2025/2026,1,vocational_school,A013836
P002033,2025/2026,1,school,A005498
P002041,2025/2026,1,university,A004431
P002046,2025/2026,1,school,A003243
P002050,2025/2026,1,school,
P002052,2025/2026,1,school,A011623
P002059,2025/2026,1,university,A016723
P002077,2025/2026,1,school,A012281
P002083,2025/2026,1,school,A009321
P002084,2025/2026,1,school,A005308
P002087,2025/2026,1,school,
P002092,2025/2026,1,university,A005664
P002093,2025/2026,1,university,A014972
P002099,2025/2026,1,university,A009739
P002100,2025/2026,1,vocational_school,A016802
P002105,2025/2026,1,school,A004110
P002109,2025/2026,1,school,A010463
P002111,2025/2026,1,school,A016100
P002116,2025/2026,1,school,A011477
P002131,2025/2026,1,school,A011686
P002149,2025/2026,1,school,A006213
P002151,2025/2026,1,school,A000009
P002153,2025/2026,1,university,A004884
P002160,2025/2026,1,school,A006774
P002170,2025/2026,1,vocational_school,A000538
P002171,2025/2026,1,university,A000538
P002173,2025/2026,1,school,A000538
P002174,2025/2026,1,school,A015180
P002177,2025/2026,1,vocational_school,A002141
P002189,2025/2026,1,school,A017818
P002200,2025/2026,1,school,A012862
P002201,2025/2026,1,school,
P002209,2025/2026,1,school,A009966
P002214,2025/2026,1,school,A008724
P002219,2025/2026,1,vocational_school,A000616
P002221,2025/2026,1,university,A005542
P002225,2025/2026,1,university,A015835
P002231,2025/2026,1,university,A010083
P002232,2025/2026,1,school,A001059
P002236,2025/2026,1,school,A010932
P002250,2025/2026,1,,A009640
P002251,2025/2026,1,university,A009640
P002252,2025/2026,1,school,A009640
P002262,2025/2026,1,university,A001706
P002278,2025/2026,1,school,A016807
P002280,2025/2026,1,university,A016807
P002290,2025/2026,1,school,A015914
P002291,2025/2026,1,school,A015914
P002297,2025/2026,1,,A014686
P002298,2025/2026,1,school,A016821
P002300,2025/2026,1,vocational_school,A016180
P002305,2025/2026,1,university,A010969
P002306,2025/2026,1,school,A012020
P002309,2025/2026,1,school,A005386
P002311,2025/2026,1,vocational_school,
P002322,2025/2026,1,school,A005452
P002324,2025/2026,1,school,A005452
P002327,2025/2026,1,school,A011566
P002328,2025/2026,1,vocational_school,A010540
P002329,2025/2026,1,school,A010540
P002330,2025/2026,1,university,A010540
P002336,2025/2026,1,school,A016445
P002340,2025/2026,1,university,A007648
P002348,2025/2026,1,school,A007167
P002351,2025/2026,1,school,A002927
P002356,2025/2026,1,university,A013956
P002359,2025/2026,1,school,A004828
P002362,2025/2026,1,school,A012976
P002376,2025/2026,1,,A006046
P002377,2025/2026,1,school,A006046
P002378,2025/2026,1,school,A015807
P002382,2025/2026,1,,A012991
P002388,2025/2026,1,school,A002565
P002393,2025/2026,1,school,A007714
P002397,2025/2026,1,school,A003451
P002403,2025/2026,1,school,A004867
P002420,2025/2026,1,school,A013991
P002421,2025/2026,1,school,A013991
P002429,2025/2026,1,school,A003500
P002431,2025/2026,1,school,A011737
P002432,2025/2026,1,school,A004891
P002458,2025/2026,1,school,A014296
P002460,2025/2026,1,vocational_school,A008256
P002463,2025/2026,1,school,A011367
P002476,2025/2026,1,school,A003290
P002478,2025/2026,1,university,A003677
P002489,2025/2026,1,school,A017584
P002495,2025/2026,1,school,A011590
P002496,2025/2026,1,school,A011590
P002498,2025/2026,1,university,A009345
P002499,2025/2026,1,university,A009345
P002504,2025/2026,1,vocational_school,A005094
P002506,2025/2026,1,school,A005094
P002508,2025/2026,1,school,A016423
P002509,2025/2026,1,university,A016423
P002514,2025/2026,1,vocational_school,A006844
P002516,2025/2026,1,vocational_school,A013294
P002525,2025/2026,1,school,A010632
P002528,2025/2026,1,school,A014932
P002531,2025/2026,1,school,A014310
P002533,2025/2026,1,school,A006167
P002539,2025/2026,1,vocational_school,A008459
P002554,2025/2026,1,school,A015745
P002565,2025/2026,1,school,A010716
P002566,2025/2026,1,,A007683
P002570,2025/2026,1,school,A010924
P002577,2025/2026,1,vocational_school,A006626
P002579,2025/2026,1,school,A011392
P002585,2025/2026,1,vocational_school,A015311
P002589,2025/2026,1,vocational_school,A017202
P002599,2025/2026,1,school,A006674
P002602,2025/2026,1,school,A008738
P002618,2025/2026,1,school,A000859
P002624,2025/2026,1,school,A001362
P002628,2025/2026,1,school,A005076
P002638,2025/2026,1,school,A011697
P002642,2025/2026,1,vocational_school,
P002644,2025/2026,1,school,
P002655,2025/2026,1,school,A012105
P002656,2025/2026,1,school,A014738
P002670,2025/2026,1,school,A004720
P002672,2025/2026,1,school,A004720
P002678,2025/2026,1,school,A001122
P002688,2025/2026,1,school,A009709
P002697,2025/2026,1,school,A015496
P002706,2025/2026,1,school,A011122
P002709,2025/2026,1,university,A006195
P002711,2025/2026,1,school,A003969
P002716,2025/2026,1,school,A004835
P002718,2025/2026,1,school,A006348
P002724,2025/2026,1,school,A010654
P002735,2025/2026,1,university,A012314
P002740,2025/2026,1,school,
P002741,2025/2026,1,school,A007720
P002742,2025/2026,1,,A007720
P002746,2025/2026,1,,A009043
P002751,2025/2026,1,school,A017088
P002753,2025/2026,1,university,A012107
P002754,2025/2026,1,university,A013503
P002759,2025/2026,1,school,A003487
P002760,2025/2026,1,university,A001400
P002769,2025/2026,1,school,A006441
P002773,2025/2026,1,university,A014528
P002777,2025/2026,1,university,A011659
P002779,2025/2026,1,school,A002540
P002792,2025/2026,1,school,A005929
P002794,2025/2026,1,school,A004968
P002798,2025/2026,1,school,A006725
P002804,2025/2026,1,vocational_school,A015115
P002808,2025/2026,1,university,A000159
P002812,2025/2026,1,vocational_school,A016839
P002813,2025/2026,1,school,A010355
P002816,2025/2026,1,school,A008344
P002817,2025/2026,1,school,A008344
P002819,2025/2026,1,school,A010866
P002823,2025/2026,1,school,A006941
P002827,2025/2026,1,vocational_school,A006893
P002830,2025/2026,1,school,A014940
P002832,2025/2026,1,school,A012477
P002833,2025/2026,1,school,A012477
P002836,2025/2026,1,school,A000648
P002843,2025/2026,1,university,
P002856,2025/2026,1,university,A015126
P002868,2025/2026,1,university,A013146
P002879,2025/2026,1,university,A008441
P002882,2025/2026,1,vocational_school,A007389
P002884,2025/2026,1,school,A017446
P002886,2025/2026,1,vocational_school,
P002887,2025/2026,1,university,A001503
P002900,2025/2026,1,school,A001365
P002901,2025/2026,1,vocational_school,A008129
P002904,2025/2026,1,school,A009095
P002909,2025/2026,1,school,A000255
P002910,2025/2026,1,school,A002458
P002917,2025/2026,1,university,A015193
P002918,2025/2026,1,school,A015193
P002922,2025/2026,1,school,A005598
P002928,2025/2026,1,vocational_school,A008634
P002929,2025/2026,1,school,A001738
P002937,2025/2026,1,school,A011062
P002958,2025/2026,1,school,A010134
P002963,2025/2026,1,university,A015451
P002965,2025/2026,1,school,A015451
P002973,2025/2026,1,school,A009676
P002982,2025/2026,1,vocational_school,A007781
P002983,2025/2026,1,vocational_school,A007781
P002988,2025/2026,1,school,A006015
P002994,2025/2026,1,university,A011595
P003009,2025/2026,1,vocational_school,A012550
P003015,2025/2026,1,university,A000818
P003019,2025/2026,1,school,A004495
P003021,2025/2026,1,school,A004495
P003028,2025/2026,1,school,A013913
P003039,2025/2026,1,,A001241
P003040,2025/2026,1,university,A001241
P003052,2025/2026,1,school,A015507
P003055,2025/2026,1,university,A014766
P003064,2025/2026,1,,A008997
P003065,2025/2026,1,school,A014262
P003070,2025/2026,1,school,A001335
P003073,2025/2026,1,university,A007473
P003076,2025/2026,1,school,A015656
P003077,2025/2026,1,school,A015656
P003086,2025/2026,1,school,A004324
P003088,2025/2026,1,school,A013285
P003100,2025/2026,1,school,A002741
P003105,2025/2026,1,school,A011045
P003116,2025/2026,1,university,A002511
P003117,2025/2026,1,,A002511
P003118,2025/2026,1,university,A011326
P003126,2025/2026,1,,A011658
P003137,2025/2026,1,university,A014025
P003140,2025/2026,1,university,A014124
P003166,2025/2026,1,university,A000205
P003170,2025/2026,1,school,A005713
P003173,2025/2026,1,vocational_school,A009714
P003178,2025/2026,1,school,A003055
P003179,2025/2026,1,school,A013262
P003182,2025/2026,1,school,A006640
P003212,2025/2026,1,vocational_school,A006624
P003214,2025/2026,1,university,A005958
P003215,2025/2026,1,,A005958
P003219,2025/2026,1,university,A012957
P003225,2025/2026,1,vocational_school,A004988
P003230,2025/2026,1,vocational_school,A000729
P003237,2025/2026,1,university,A014246
P003246,2025/2026,1,school,A016673
P003250,2025/2026,1,university,A016673
P003252,2025/2026,1,school,A005958
P003256,2025/2026,1,vocational_school,A003250
P003261,2025/2026,1,school,A005012
P003263,2025/2026,1,school,A014113
P003267,2025/2026,1,university,A010334
P003268,2025/2026,1,school,A010334
P003289,2025/2026,1,school,A004851
P003293,2025/2026,1,school,A010634
P003296,2025/2026,1,vocational_school,A002702
P003303,2025/2026,1,school,A015438
P003308,2025/2026,1,school,A017014
P003314,2025/2026,1,university,A014372
P003315,2025/2026,1,school,A006652
P003316,2025/2026,1,university,A001725
P003320,2025/2026,1,vocational_school,A000332
P003321,2025/2026,1,university,A000332
P003329,2025/2026,1,school,A002108
P003331,2025/2026,1,school,A000699
P003334,2025/2026,1,school,A016462
P003358,2025/2026,1,university,A010603
P003362,2025/2026,1,university,A003933
P003370,2025/2026,1,school,A006850
P003372,2025/2026,1,school,A010271
P003374,2025/2026,1,university,A003725
P003379,2025/2026,1,vocational_school,A001688
P003386,2025/2026,1,school,A001264
P003407,2025/2026,1,school,A012090
P003410,2025/2026,1,school,A010376
P003413,2025/2026,1,university,A005896
P003414,2025/2026,1,,A005896
P003416,2025/2026,1,university,A005896
P003417,2025/2026,1,school,A017509
P003423,2025/2026,1,vocational_school,A005432
P003424,2025/2026,1,vocational_school,A005432
P003425,2025/2026,1,school,A005432
P003432,2025/2026,1,school,A005928
P003433,2025/2026,1,school,A011012
P003442,2025/2026,1,school,A004864
P003459,2025/2026,1,vocational_school,A000169
P003462,2025/2026,1,school,A003637
P003465,2025/2026,1,vocational_school,A003637
P003466,2025/2026,1,school,A011981
P003472,2025/2026,1,school,A003509
P003473,2025/2026,1,school,A014830
P003510,2025/2026,1,school,A009804
P003514,2025/2026,1,,A006431
P003525,2025/2026,1,vocational_school,A002445
P003531,2025/2026,1,school,A012640
P003533,2025/2026,1,school,A003435
P003537,2025/2026,1,vocational_school,A007108
P003541,2025/2026,1,university,A001802
P003546,2025/2026,1,school,A014076
P003549,2025/2026,1,school,A014076
P003555,2025/2026,1,school,A001984
P003559,2025/2026,1,university,A000412
P003562,2025/2026,1,school,A016155
P003566,2025/2026,1,school,A006091
P003570,2025/2026,1,school,A013063
P003579,2025/2026,1,school,A001794
P003580,2025/2026,1,school,A004631
P003583,2025/2026,1,school,A012927
P003596,2025/2026,1,school,A015989
P003606,2025/2026,1,university,A011454
P003619,2025/2026,1,school,A003870
P003663,2025/2026,1,school,A003938
P003671,2025/2026,1,,A003759
P003684,2025/2026,1,university,A017815
P003695,2025/2026,1,school,A013762
P003702,2025/2026,1,school,A000147
P003710,2025/2026,1,school,A014257
P003713,2025/2026,1,university,A006677
P003715,2025/2026,1,school,A006677
P003716,2025/2026,1,school,A005156
P003717,2025/2026,1,university,A005156
P003718,2025/2026,1,school,A017863
P003730,2025/2026,1,university,A015411
P003735,2025/2026,1,university,A008667
P003736,2025/2026,1,school,A008667
P003767,2025/2026,1,school,A003639
P003779,2025/2026,1,,A006297
P003785,2025/2026,1,school,A009959
P003786,2025/2026,1,school,A001990
P003798,2025/2026,1,university,A003150
P003800,2025/2026,1,school,A003150
P003808,2025/2026,1,vocational_school,A016626
P003815,2025/2026,1,school,A008241
P003821,2025/2026,1,vocational_school,A006093
P003827,2025/2026,1,school,A009918
P003828,2025/2026,1,school,A015993
P003845,2025/2026,1,school,A005001
P003848,2025/2026,1,school,A005001
P003850,2025/2026,1,school,A017230
P003854,2025/2026,1,school,A017230
P003869,2025/2026,1,school,A010243
P003872,2025/2026,1,school,A013119
P003874,2025/2026,1,vocational_school,A002751
P003885,2025/2026,1,school,A017038
P003890,2025/2026,1,,A005504
P003896,2025/2026,1,school,A008944
P003902,2025/2026,1,vocational_school,A008210
P003905,2025/2026,1,university,A016111
P003922,2025/2026,1,school,A014421
P003924,2025/2026,1,school,A006662
P003927,2025/2026,1,vocational_school,A009610
P003937,2025/2026,1,vocational_school,A011149
P003939,2025/2026,1,school,A011149
P003945,2025/2026,1,school,A000148
P003947,2025/2026,1,school,A015304
P003954,2025/2026,1,vocational_school,A017802
P003956,2025/2026,1,school,A014380
P003957,2025/2026,1,school,A005048
P003961,2025/2026,1,school,A006287
P003962,2025/2026,1,,A006287
P003963,2025/2026,1,university,A017073
P003979,2025/2026,1,school,A010959
P003981,2025/2026,1,vocational_school,A017470
P003984,2025/2026,1,school,A015852
P003992,2025/2026,1,school,A007506
P003996,2025/2026,1,vocational_school,A003685
P003999,2025/2026,1,school,A007242
P004005,2025/2026,1,school,A002498
P004010,2025/2026,1,school,A014314
P004022,2025/2026,1,school,A000243
P004023,2025/2026,1,university,A016103
P004029,2025/2026,1,school,A007379
P004051,2025/2026,1,school,A013561
P004054,2025/2026,1,school,A013191
P004056,2025/2026,1,school,A013191
P004057,2025/2026,1,university,A013191
P004060,2025/2026,1,school,A002896
P004063,2025/2026,1,school,A004180
P004082,2025/2026,1,school,A000562
P004092,2025/2026,1,,A000750
P004093,2025/2026,1,school,A000750
P004099,2025/2026,1,school,A013538
P004109,2025/2026,1,university,A013225
P004111,2025/2026,1,university,A015603
P004124,2025/2026,1,school,A015374
P004140,2025/2026,1,school,A017757
P004142,2025/2026,1,school,A009759
P004144,2025/2026,1,university,A009759
P004145,2025/2026,1,school,A009759
P004149,2025/2026,1,university,A003745
P004167,2025/2026,1,university,A000919
P004168,2025/2026,1,school,A006357
P004177,2025/2026,1,vocational_school,A016164
P004185,2025/2026,1,school,A009947
P004186,2025/2026,1,school,A009947
P004192,2025/2026,1,,A000691
P004196,2025/2026,1,,A007389
P004198,2025/2026,1,school,A007389
P004199,2025/2026,1,university,A013310
P004209,2025/2026,1,school,A004309
P004211,2025/2026,1,school,A004309
P004222,2025/2026,1,school,A009894
P004226,2025/2026,1,vocational_school,A011171
P004234,2025/2026,1,university,A009610
P004235,2025/2026,1,school,A009610
P004240,2025/2026,1,school,A004189
P004252,2025/2026,1,school,A005550
P004265,2025/2026,1,school,A016429
P004266,2025/2026,1,school,A008054
P004268,2025/2026,1,vocational_school,A008054
P004286,2025/2026,1,vocational_school,A003792
P004289,2025/2026,1,vocational_school,A013793
P004294,2025/2026,1,school,A004218
P004296,2025/2026,1,school,A010562
P004298,2025/2026,1,school,A015706
P004301,2025/2026,1,school,A015706
P004302,2025/2026,1,school,A015706
P004304,2025/2026,1,school,A011925
P004312,2025/2026,1,school,A013910
P004313,2025/2026,1,vocational_school,A014069
P004321,2025/2026,1,school,A004609
P004324,2025/2026,1,school,A010698
