person_id,school_year,enrolment_flag,institution_type,contact_address_id,population_age,in_population_register,flag_age_check_unavailable,flag_missing_institution_type,flag_invalid_institution_type,flag_implausible_enrolment_age
P000355,2025/2026,1,school,A003439,NA,FALSE,TRUE,FALSE,FALSE,FALSE
P000362,2025/2026,1,vocational_school,A016774,9,TRUE,FALSE,FALSE,FALSE,FALSE
P000374,2025/2026,1,vocational_school,A017700,9,TRUE,FALSE,FALSE,FALSE,FALSE
P000376,2025/2026,1,school,A017700,17,TRUE,FALSE,FALSE,FALSE,FALSE
P000383,2025/2026,1,university,NA,24,TRUE,FALSE,FALSE,FALSE,FALSE
P000391,2025/2026,1,vocational_school,A015258,24,TRUE,FALSE,FALSE,FALSE,FALSE
P000392,2025/2026,1,vocational_school,A017465,12,TRUE,FALSE,FALSE,FALSE,FALSE
P000394,2025/2026,1,school,A017465,17,TRUE,FALSE,FALSE,FALSE,FALSE
P000402,2025/2026,1,school,A007247,8,TRUE,FALSE,FALSE,FALSE,FALSE
P000403,2025/2026,1,school,A007247,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000407,2025/2026,1,school,A006233,15,TRUE,FALSE,FALSE,FALSE,FALSE
P000409,2025/2026,1,school,A001049,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000421,2025/2026,1,school,A001789,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000424,2025/2026,1,school,A000238,11,TRUE,FALSE,FALSE,FALSE,FALSE
P000425,2025/2026,1,vocational_school,A005257,18,TRUE,FALSE,FALSE,FALSE,FALSE
P000434,2025/2026,1,university,A006476,30,TRUE,FALSE,FALSE,FALSE,FALSE
P000435,2025/2026,1,vocational_school,A016899,21,TRUE,FALSE,FALSE,FALSE,FALSE
P000451,2025/2026,1,school,A002806,14,TRUE,FALSE,FALSE,FALSE,FALSE
P000452,2025/2026,1,school,A008503,16,TRUE,FALSE,FALSE,FALSE,FALSE
P000454,2025/2026,1,school,A014888,13,TRUE,FALSE,FALSE,FALSE,FALSE
P000456,2025/2026,1,vocational_school,A013047,23,TRUE,FALSE,FALSE,FALSE,FALSE
P000466,2025/2026,1,school,NA,13,TRUE,FALSE,FALSE,FALSE,FALSE
P000467,2025/2026,1,vocational_school,A010623,30,TRUE,FALSE,FALSE,FALSE,FALSE
P000477,2025/2026,1,school,A015015,11,TRUE,FALSE,FALSE,FALSE,FALSE
P000483,2025/2026,1,vocational_school,A000862,8,TRUE,FALSE,FALSE,FALSE,FALSE
P000493,2025/2026,1,school,A011589,15,TRUE,FALSE,FALSE,FALSE,FALSE
P000503,2025/2026,1,school,A002678,7,TRUE,FALSE,FALSE,FALSE,FALSE
P000508,2025/2026,1,vocational_school,A013518,14,TRUE,FALSE,FALSE,FALSE,FALSE
P000514,2025/2026,1,university,A011850,20,TRUE,FALSE,FALSE,FALSE,FALSE
P000520,2025/2026,1,school,A008739,12,TRUE,FALSE,FALSE,FALSE,FALSE
P000522,2025/2026,1,school,A008739,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000523,2025/2026,1,school,A008739,17,TRUE,FALSE,FALSE,FALSE,FALSE
P000524,2025/2026,1,university,NA,21,TRUE,FALSE,FALSE,FALSE,FALSE
P000525,2025/2026,1,school,A010428,15,TRUE,FALSE,FALSE,FALSE,FALSE
P000527,2025/2026,1,school,A010428,16,TRUE,FALSE,FALSE,FALSE,FALSE
P000534,2025/2026,1,NA,A012127,41,TRUE,FALSE,TRUE,FALSE,TRUE
P000536,2025/2026,1,university,A007958,22,TRUE,FALSE,FALSE,FALSE,FALSE
P000544,2025/2026,1,vocational_school,NA,21,TRUE,FALSE,FALSE,FALSE,FALSE
P000548,2025/2026,1,school,A013375,16,TRUE,FALSE,FALSE,FALSE,FALSE
P000550,2025/2026,1,school,A000927,8,TRUE,FALSE,FALSE,FALSE,FALSE
P000563,2025/2026,1,university,A017988,30,TRUE,FALSE,FALSE,FALSE,FALSE
P000569,2025/2026,1,school,A006862,10,TRUE,FALSE,FALSE,FALSE,FALSE
P000573,2025/2026,1,school,A015928,17,TRUE,FALSE,FALSE,FALSE,FALSE
P000575,2025/2026,1,school,A004370,12,TRUE,FALSE,FALSE,FALSE,FALSE
P000583,2025/2026,1,school,A013451,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000586,2025/2026,1,university,A003483,21,TRUE,FALSE,FALSE,FALSE,FALSE
P000588,2025/2026,1,school,A008515,16,TRUE,FALSE,FALSE,FALSE,FALSE
P000590,2025/2026,1,school,A009650,7,TRUE,FALSE,FALSE,FALSE,FALSE
P000591,2025/2026,1,school,A009650,9,TRUE,FALSE,FALSE,FALSE,FALSE
P000603,2025/2026,1,school,A006736,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000607,2025/2026,1,school,A011552,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000608,2025/2026,1,school,A011552,14,TRUE,FALSE,FALSE,FALSE,FALSE
P000609,2025/2026,1,school,A011552,8,TRUE,FALSE,FALSE,FALSE,FALSE
P000610,2025/2026,1,school,A013139,13,TRUE,FALSE,FALSE,FALSE,FALSE
P000615,2025/2026,1,school,A004431,NA,FALSE,TRUE,FALSE,FALSE,FALSE
P000618,2025/2026,1,school,A013050,7,TRUE,FALSE,FALSE,FALSE,FALSE
P000619,2025/2026,1,vocational_school,A000174,11,TRUE,FALSE,FALSE,FALSE,FALSE
P000622,2025/2026,1,vocational_school,A013556,23,TRUE,FALSE,FALSE,FALSE,FALSE
P000623,2025/2026,1,school,A013556,15,TRUE,FALSE,FALSE,FALSE,FALSE
P000631,2025/2026,1,vocational_school,A002660,13,TRUE,FALSE,FALSE,FALSE,FALSE
P000632,2025/2026,1,university,A002660,21,TRUE,FALSE,FALSE,FALSE,FALSE
P000635,2025/2026,1,school,A001659,10,TRUE,FALSE,FALSE,FALSE,FALSE
P000636,2025/2026,1,vocational_school,A000425,15,TRUE,FALSE,FALSE,FALSE,FALSE
P000640,2025/2026,1,school,A001280,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000643,2025/2026,1,university,A007985,23,TRUE,FALSE,FALSE,FALSE,FALSE
P000648,2025/2026,1,university,A003601,24,TRUE,FALSE,FALSE,FALSE,FALSE
P000649,2025/2026,1,vocational_school,A003601,7,TRUE,FALSE,FALSE,FALSE,FALSE
P000656,2025/2026,1,university,A012163,21,TRUE,FALSE,FALSE,FALSE,FALSE
P000658,2025/2026,1,school,NA,16,TRUE,FALSE,FALSE,FALSE,FALSE
P000659,2025/2026,1,school,A015203,10,TRUE,FALSE,FALSE,FALSE,FALSE
P000664,2025/2026,1,school,A004642,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000669,2025/2026,1,NA,A006999,12,TRUE,FALSE,TRUE,FALSE,FALSE
P000671,2025/2026,1,school,A013470,16,TRUE,FALSE,FALSE,FALSE,FALSE
P000676,2025/2026,1,university,A016461,20,TRUE,FALSE,FALSE,FALSE,FALSE
P000681,2025/2026,1,school,A000351,17,TRUE,FALSE,FALSE,FALSE,FALSE
P000682,2025/2026,1,school,A007193,12,TRUE,FALSE,FALSE,FALSE,FALSE
P000688,2025/2026,1,school,A014638,10,TRUE,FALSE,FALSE,FALSE,FALSE
P000691,2025/2026,1,university,NA,30,TRUE,FALSE,FALSE,FALSE,FALSE
P000694,2025/2026,1,school,A014285,8,TRUE,FALSE,FALSE,FALSE,FALSE
P000696,2025/2026,1,school,A012763,7,TRUE,FALSE,FALSE,FALSE,FALSE
P000698,2025/2026,1,university,A007697,23,TRUE,FALSE,FALSE,FALSE,FALSE
P000703,2025/2026,1,school,A004026,10,TRUE,FALSE,FALSE,FALSE,FALSE
P000707,2025/2026,1,school,A004946,16,TRUE,FALSE,FALSE,FALSE,FALSE
P000711,2025/2026,1,university,A006674,20,TRUE,FALSE,FALSE,FALSE,FALSE
P000722,2025/2026,1,university,A011670,24,TRUE,FALSE,FALSE,FALSE,FALSE
P000723,2025/2026,1,university,A017002,22,TRUE,FALSE,FALSE,FALSE,FALSE
P000725,2025/2026,1,school,A009701,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000727,2025/2026,1,school,A013569,13,TRUE,FALSE,FALSE,FALSE,FALSE
P000739,2025/2026,1,vocational_school,A015124,20,TRUE,FALSE,FALSE,FALSE,FALSE
P000746,2025/2026,1,school,A010433,17,TRUE,FALSE,FALSE,FALSE,FALSE
P000748,2025/2026,1,university,A010433,19,TRUE,FALSE,FALSE,FALSE,FALSE
P000755,2025/2026,1,school,A004328,9,TRUE,FALSE,FALSE,FALSE,FALSE
P000764,2025/2026,1,school,A017903,7,TRUE,FALSE,FALSE,FALSE,FALSE
P000772,2025/2026,1,school,A008162,14,TRUE,FALSE,FALSE,FALSE,FALSE
P000783,2025/2026,1,school,A007727,12,TRUE,FALSE,FALSE,FALSE,FALSE
P000785,2025/2026,1,school,A007233,NA,FALSE,TRUE,FALSE,FALSE,FALSE
P000790,2025/2026,1,vocational_school,A007274,24,TRUE,FALSE,FALSE,FALSE,FALSE
P000794,2025/2026,1,school,A016388,12,TRUE,FALSE,FALSE,FALSE,FALSE
P000809,2025/2026,1,school,A012745,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000812,2025/2026,1,university,A007136,18,TRUE,FALSE,FALSE,FALSE,FALSE
P000817,2025/2026,1,university,A011274,23,TRUE,FALSE,FALSE,FALSE,FALSE
P000818,2025/2026,1,NA,A011274,91,TRUE,FALSE,TRUE,FALSE,TRUE
P000820,2025/2026,1,school,A005975,17,TRUE,FALSE,FALSE,FALSE,FALSE
P000821,2025/2026,1,university,A017991,21,TRUE,FALSE,FALSE,FALSE,FALSE
P000825,2025/2026,1,school,A016916,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000838,2025/2026,1,school,A014747,8,TRUE,FALSE,FALSE,FALSE,FALSE
P000853,2025/2026,1,school,A017706,NA,FALSE,TRUE,FALSE,FALSE,FALSE
P000859,2025/2026,1,vocational_school,A000053,NA,FALSE,TRUE,FALSE,FALSE,FALSE
P000860,2025/2026,1,school,A000053,14,TRUE,FALSE,FALSE,FALSE,FALSE
P000861,2025/2026,1,school,A000053,17,TRUE,FALSE,FALSE,FALSE,FALSE
P000866,2025/2026,1,school,A003232,14,TRUE,FALSE,FALSE,FALSE,FALSE
P000876,2025/2026,1,school,A004739,8,TRUE,FALSE,FALSE,FALSE,FALSE
P000887,2025/2026,1,school,A002439,7,TRUE,FALSE,FALSE,FALSE,FALSE
P000904,2025/2026,1,school,A004278,11,TRUE,FALSE,FALSE,FALSE,FALSE
P000908,2025/2026,1,school,A010325,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000912,2025/2026,1,school,A002953,17,TRUE,FALSE,FALSE,FALSE,FALSE
P000914,2025/2026,1,school,A008807,6,TRUE,FALSE,FALSE,FALSE,FALSE
P000919,2025/2026,1,school,A009678,16,TRUE,FALSE,FALSE,FALSE,FALSE
P000928,2025/2026,1,school,A014000,12,TRUE,FALSE,FALSE,FALSE,FALSE
P000933,2025/2026,1,NA,A011624,76,TRUE,FALSE,TRUE,FALSE,TRUE
P000939,2025/2026,1,school,A001152,11,TRUE,FALSE,FALSE,FALSE,FALSE
P000944,2025/2026,1,vocational_school,A014513,22,TRUE,FALSE,FALSE,FALSE,FALSE
P000974,2025/2026,1,university,A010057,28,TRUE,FALSE,FALSE,FALSE,FALSE
P000986,2025/2026,1,vocational_school,A017151,8,TRUE,FALSE,FALSE,FALSE,FALSE
P000999,2025/2026,1,vocational_school,A011177,23,TRUE,FALSE,FALSE,FALSE,FALSE
P001002,2025/2026,1,school,A010908,15,TRUE,FALSE,FALSE,FALSE,FALSE
P001004,2025/2026,1,school,A002251,17,TRUE,FALSE,FALSE,FALSE,FALSE
P001009,2025/2026,1,school,A011794,15,TRUE,FALSE,FALSE,FALSE,FALSE
P001011,2025/2026,1,university,A016047,21,TRUE,FALSE,FALSE,FALSE,FALSE
P001012,2025/2026,1,school,A016047,15,TRUE,FALSE,FALSE,FALSE,FALSE
P001015,2025/2026,1,school,A002291,9,TRUE,FALSE,FALSE,FALSE,FALSE
P001016,2025/2026,1,school,A013592,8,TRUE,FALSE,FALSE,FALSE,FALSE
P001020,2025/2026,1,university,A005297,27,TRUE,FALSE,FALSE,FALSE,FALSE
P001042,2025/2026,1,school,A016273,13,TRUE,FALSE,FALSE,FALSE,FALSE
P001046,2025/2026,1,school,A000521,9,TRUE,FALSE,FALSE,FALSE,FALSE
P001047,2025/2026,1,school,A000521,17,TRUE,FALSE,FALSE,FALSE,FALSE
P001052,2025/2026,1,university,A008641,28,TRUE,FALSE,FALSE,FALSE,FALSE
P001062,2025/2026,1,NA,A001403,60,TRUE,FALSE,TRUE,FALSE,TRUE
P001071,2025/2026,1,school,A006455,15,TRUE,FALSE,FALSE,FALSE,FALSE
P001083,2025/2026,1,school,A002742,14,TRUE,FALSE,FALSE,FALSE,FALSE
P001089,2025/2026,1,vocational_school,A009536,12,TRUE,FALSE,FALSE,FALSE,FALSE
P001090,2025/2026,1,school,A013619,16,TRUE,FALSE,FALSE,FALSE,FALSE
P001096,2025/2026,1,school,A001997,15,TRUE,FALSE,FALSE,FALSE,FALSE
P001099,2025/2026,1,NA,A005142,5,TRUE,FALSE,TRUE,FALSE,FALSE
P001111,2025/2026,1,school,A008902,7,TRUE,FALSE,FALSE,FALSE,FALSE
P001119,2025/2026,1,university,A014801,24,TRUE,FALSE,FALSE,FALSE,FALSE
P001125,2025/2026,1,school,A007121,14,TRUE,FALSE,FALSE,FALSE,FALSE
P001129,2025/2026,1,university,A014716,25,TRUE,FALSE,FALSE,FALSE,FALSE
P001133,2025/2026,1,school,A004845,9,TRUE,FALSE,FALSE,FALSE,FALSE
P001140,2025/2026,1,school,A013696,11,TRUE,FALSE,FALSE,FALSE,FALSE
P001144,2025/2026,1,school,A014258,NA,FALSE,TRUE,FALSE,FALSE,FALSE
P001150,2025/2026,1,NA,A001372,40,TRUE,FALSE,TRUE,FALSE,TRUE
P001156,2025/2026,1,school,A016094,8,TRUE,FALSE,FALSE,FALSE,FALSE
P001160,2025/2026,1,vocational_school,A002443,14,TRUE,FALSE,FALSE,FALSE,FALSE
P001170,2025/2026,1,university,A001005,19,TRUE,FALSE,FALSE,FALSE,FALSE
P001172,2025/2026,1,school,A001005,12,TRUE,FALSE,FALSE,FALSE,FALSE
P001173,2025/2026,1,school,A002314,10,TRUE,FALSE,FALSE,FALSE,FALSE
P001177,2025/2026,1,school,A007777,14,TRUE,FALSE,FALSE,FALSE,FALSE
P001178,2025/2026,1,university,A003591,29,TRUE,FALSE,FALSE,FALSE,FALSE
P001194,2025/2026,1,school,NA,6,TRUE,FALSE,FALSE,FALSE,FALSE
P001195,2025/2026,1,university,A012389,27,TRUE,FALSE,FALSE,FALSE,FALSE
P001196,2025/2026,1,vocational_school,A010662,19,TRUE,FALSE,FALSE,FALSE,FALSE
P001198,2025/2026,1,vocational_school,A010662,16,TRUE,FALSE,FALSE,FALSE,FALSE
P001199,2025/2026,1,university,A004970,23,TRUE,FALSE,FALSE,FALSE,FALSE
P001201,2025/2026,1,school,A015478,12,TRUE,FALSE,FALSE,FALSE,FALSE
P001204,2025/2026,1,school,A012666,6,TRUE,FALSE,FALSE,FALSE,FALSE
P001219,2025/2026,1,school,A008725,13,TRUE,FALSE,FALSE,FALSE,FALSE
P001223,2025/2026,1,school,NA,16,TRUE,FALSE,FALSE,FALSE,FALSE
P001258,2025/2026,1,school,A017550,6,TRUE,FALSE,FALSE,FALSE,FALSE
P001259,2025/2026,1,school,A017550,14,TRUE,FALSE,FALSE,FALSE,FALSE
P001267,2025/2026,1,NA,A001133,18,TRUE,FALSE,TRUE,FALSE,FALSE
P001269,2025/2026,1,school,A000699,6,TRUE,FALSE,FALSE,FALSE,FALSE
P001280,2025/2026,1,school,A006852,14,TRUE,FALSE,FALSE,FALSE,FALSE
P001281,2025/2026,1,vocational_school,A009088,8,TRUE,FALSE,FALSE,FALSE,FALSE
P001282,2025/2026,1,school,A009088,13,TRUE,FALSE,FALSE,FALSE,FALSE
P001298,2025/2026,1,school,A000672,17,TRUE,FALSE,FALSE,FALSE,FALSE
P001304,2025/2026,1,school,A004314,14,TRUE,FALSE,FALSE,FALSE,FALSE
P001324,2025/2026,1,school,A017194,8,TRUE,FALSE,FALSE,FALSE,FALSE
P001325,2025/2026,1,vocational_school,A012465,25,TRUE,FALSE,FALSE,FALSE,FALSE
P001330,2025/2026,1,vocational_school,A008212,16,TRUE,FALSE,FALSE,FALSE,FALSE
P001335,2025/2026,1,vocational_school,A005754,22,TRUE,FALSE,FALSE,FALSE,FALSE
P001340,2025/2026,1,school,A006301,6,TRUE,FALSE,FALSE,FALSE,FALSE
P001341,2025/2026,1,school,A015769,9,TRUE,FALSE,FALSE,FALSE,FALSE
P001344,2025/2026,1,school,A010850,16,TRUE,FALSE,FALSE,FALSE,FALSE
P001357,2025/2026,1,school,A004053,13,TRUE,FALSE,FALSE,FALSE,FALSE
P001359,2025/2026,1,school,A004651,6,TRUE,FALSE,FALSE,FALSE,FALSE
P001369,2025/2026,1,vocational_school,A002804,22,TRUE,FALSE,FALSE,FALSE,FALSE
P001386,2025/2026,1,school,A013908,14,TRUE,FALSE,FALSE,FALSE,FALSE
P001388,2025/2026,1,school,A013142,12,TRUE,FALSE,FALSE,FALSE,FALSE
P001396,2025/2026,1,school,A003981,9,TRUE,FALSE,FALSE,FALSE,FALSE
P001406,2025/2026,1,university,A001225,18,TRUE,FALSE,FALSE,FALSE,FALSE
P001415,2025/2026,1,vocational_school,A006881,NA,FALSE,TRUE,FALSE,FALSE,FALSE
P001421,2025/2026,1,school,A010780,10,TRUE,FALSE,FALSE,FALSE,FALSE
P001430,2025/2026,1,NA,A016299,42,TRUE,FALSE,TRUE,FALSE,TRUE
P001434,2025/2026,1,school,A000800,7,TRUE,FALSE,FALSE,FALSE,FALSE
P001444,2025/2026,1,school,A006115,8,TRUE,FALSE,FALSE,FALSE,FALSE
P001446,2025/2026,1,school,A013709,16,TRUE,FALSE,FALSE,FALSE,FALSE
P001452,2025/2026,1,school,A014505,7,TRUE,FALSE,FALSE,FALSE,FALSE
P001456,2025/2026,1,school,A008606,11,TRUE,FALSE,FALSE,FALSE,FALSE
P001457,2025/2026,1,university,A008606,18,TRUE,FALSE,FALSE,FALSE,FALSE
P001498,2025/2026,1,school,A002891,12,TRUE,FALSE,FALSE,FALSE,FALSE
P001500,2025/2026,1,school,A000710,6,TRUE,FALSE,FALSE,FALSE,FALSE
P001502,2025/2026,1,vocational_school,A000710,14,TRUE,FALSE,FALSE,FALSE,FALSE
P001506,2025/2026,1,school,NA,7,TRUE,FALSE,FALSE,FALSE,FALSE
P001512,2025/2026,1,school,A015457,8,TRUE,FALSE,FALSE,FALSE,FALSE
P001514,2025/2026,1,school,A011278,10,TRUE,FALSE,FALSE,FALSE,FALSE
P001518,2025/2026,1,school,A007216,7,TRUE,FALSE,FALSE,FALSE,FALSE
P001520,2025/2026,1,vocational_school,A002548,11,TRUE,FALSE,FALSE,FALSE,FALSE
P001525,2025/2026,1,school,A008069,16,TRUE,FALSE,FALSE,FALSE,FALSE
P001536,2025/2026,1,school,A005321,10,TRUE,FALSE,FALSE,FALSE,FALSE
P001537,2025/2026,1,vocational_school,A005321,18,TRUE,FALSE,FALSE,FALSE,FALSE
P001542,2025/2026,1,school,A001235,17,TRUE,FALSE,FALSE,FALSE,FALSE
P001544,2025/2026,1,school,A012596,6,TRUE,FALSE,FALSE,FALSE,FALSE
P001548,2025/2026,1,school,A001637,10,TRUE,FALSE,FALSE,FALSE,FALSE
P001551,2025/2026,1,school,A008405,13,TRUE,FALSE,FALSE,FALSE,FALSE
P001554,2025/2026,1,university,A016556,20,TRUE,FALSE,FALSE,FALSE,FALSE
P001555,2025/2026,1,school,A016556,12,TRUE,FALSE,FALSE,FALSE,FALSE
P001560,2025/2026,1,university,A013192,18,TRUE,FALSE,FALSE,FALSE,FALSE
P001563,2025/2026,1,school,A004047,16,TRUE,FALSE,FALSE,FALSE,FALSE
P001568,2025/2026,1,university,A010311,25,TRUE,FALSE,FALSE,FALSE,FALSE
P001575,2025/2026,1,school,A001404,15,TRUE,FALSE,FALSE,FALSE,FALSE
P001578,2025/2026,1,school,A003669,16,TRUE,FALSE,FALSE,FALSE,FALSE
P001591,2025/2026,1,university,A013925,20,TRUE,FALSE,FALSE,FALSE,FALSE
P001594,2025/2026,1,school,A017915,12,TRUE,FALSE,FALSE,FALSE,FALSE
P001597,2025/2026,1,school,NA,16,TRUE,FALSE,FALSE,FALSE,FALSE
P001601,2025/2026,1,school,A014214,16,TRUE,FALSE,FALSE,FALSE,FALSE
P001608,2025/2026,1,NA,A010460,26,TRUE,FALSE,TRUE,FALSE,FALSE
P001611,2025/2026,1,university,A013049,21,TRUE,FALSE,FALSE,FALSE,FALSE
P001613,2025/2026,1,school,A005393,12,TRUE,FALSE,FALSE,FALSE,FALSE
P001623,2025/2026,1,school,A006775,10,TRUE,FALSE,FALSE,FALSE,FALSE
P001625,2025/2026,1,school,A001096,10,TRUE,FALSE,FALSE,FALSE,FALSE
P001628,2025/2026,1,school,A012745,8,TRUE,FALSE,FALSE,FALSE,FALSE
P001642,2025/2026,1,school,A011194,6,TRUE,FALSE,FALSE,FALSE,FALSE
P001647,2025/2026,1,university,A014999,21,TRUE,FALSE,FALSE,FALSE,FALSE
P001665,2025/2026,1,school,A011791,7,TRUE,FALSE,FALSE,FALSE,FALSE
P001666,2025/2026,1,school,A007085,15,TRUE,FALSE,FALSE,FALSE,FALSE
P001667,2025/2026,1,school,A017369,14,TRUE,FALSE,FALSE,FALSE,FALSE
P001668,2025/2026,1,school,A017369,9,TRUE,FALSE,FALSE,FALSE,FALSE
P001670,2025/2026,1,school,A015022,17,TRUE,FALSE,FALSE,FALSE,FALSE
P001675,2025/2026,1,school,A015299,6,TRUE,FALSE,FALSE,FALSE,FALSE
P001676,2025/2026,1,vocational_school,A015299,12,TRUE,FALSE,FALSE,FALSE,FALSE
P001680,2025/2026,1,school,A003445,8,TRUE,FALSE,FALSE,FALSE,FALSE
P001684,2025/2026,1,school,A004621,16,TRUE,FALSE,FALSE,FALSE,FALSE
P001687,2025/2026,1,university,A012460,21,TRUE,FALSE,FALSE,FALSE,FALSE
P001698,2025/2026,1,vocational_school,A003041,9,TRUE,FALSE,FALSE,FALSE,FALSE
P001701,2025/2026,1,school,A003505,9,TRUE,FALSE,FALSE,FALSE,FALSE
P001714,2025/2026,1,school,A007471,8,TRUE,FALSE,FALSE,FALSE,FALSE
