person_id,ref_date,employment_status,days_employed_last_12m,annual_employment_income,contact_address_id,flag_invalid_employment_status,flag_negative_income,flag_invalid_days_employed,population_age,in_population_register,flag_age_check_unavailable,flag_employed_under_15
P000061,2025-12-31,self_employed,266,79842.53,A007893,FALSE,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000062,2025-12-31,employed,287,36263.02,A004085,FALSE,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000064,2025-12-31,employed,315,29492.91,A005370,FALSE,FALSE,FALSE,21,TRUE,FALSE,FALSE
P000065,2025-12-31,employed,303,18186.09,A016833,FALSE,FALSE,FALSE,30,TRUE,FALSE,FALSE
P000066,2025-12-31,employed,302,40463.66,A009676,FALSE,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000067,2025-12-31,employed,314,50650.71,A009676,FALSE,FALSE,FALSE,24,TRUE,FALSE,FALSE
P000068,2025-12-31,employed,365,21731.46,A003304,FALSE,FALSE,FALSE,51,TRUE,FALSE,FALSE
P000073,2025-12-31,marginal,80,NA,A017614,FALSE,FALSE,FALSE,67,TRUE,FALSE,FALSE
P000074,2025-12-31,self_employed,325,21195.95,A017614,FALSE,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000076,2025-12-31,employed,228,49154.55,A008265,FALSE,FALSE,FALSE,35,TRUE,FALSE,FALSE
P000078,2025-12-31,employed,265,16754.97,A009581,FALSE,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000080,2025-12-31,self_employed,364,19783.72,A009581,FALSE,FALSE,FALSE,23,TRUE,FALSE,FALSE
P000083,2025-12-31,self_employed,220,44973.49,A012823,FALSE,FALSE,FALSE,63,TRUE,FALSE,FALSE
P000084,2025-12-31,employed,294,17850.24,A012823,FALSE,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000085,2025-12-31,employed,133,11487.7,A007455,FALSE,FALSE,FALSE,22,TRUE,FALSE,FALSE
P000088,2025-12-31,self_employed,217,13612.49,A011329,FALSE,FALSE,FALSE,31,TRUE,FALSE,FALSE
P000090,2025-12-31,employed,304,16865.11,A012796,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000093,2025-12-31,self_employed,304,13120.01,A016558,FALSE,FALSE,FALSE,41,TRUE,FALSE,FALSE
P000095,2025-12-31,self_employed,315,101666.58,A003478,FALSE,FALSE,FALSE,67,TRUE,FALSE,FALSE
P000096,2025-12-31,employed,326,24171.43,A008904,FALSE,FALSE,FALSE,23,TRUE,FALSE,FALSE
P000099,2025-12-31,employed,272,41581.39,A010646,FALSE,FALSE,FALSE,48,TRUE,FALSE,FALSE
P000101,2025-12-31,employed,277,15575.28,A008918,FALSE,FALSE,FALSE,53,TRUE,FALSE,FALSE
P000102,2025-12-31,employed,219,16446.37,A017688,FALSE,FALSE,FALSE,43,TRUE,FALSE,FALSE
P000106,2025-12-31,no_record,0,0,A000477,FALSE,FALSE,FALSE,35,TRUE,FALSE,FALSE
P000108,2025-12-31,employed,365,16194.03,A001838,FALSE,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000109,2025-12-31,employed,258,22502.04,A001838,FALSE,FALSE,FALSE,25,TRUE,FALSE,FALSE
P000110,2025-12-31,employed,297,33323.98,A001838,FALSE,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000112,2025-12-31,marginal,125,6674.73,A000520,FALSE,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000119,2025-12-31,self_employed,216,87989.92,A013812,FALSE,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000121,2025-12-31,employed,356,13554.93,A013812,FALSE,FALSE,FALSE,51,TRUE,FALSE,FALSE
P000122,2025-12-31,employed,333,29881.12,A012040,FALSE,FALSE,FALSE,64,TRUE,FALSE,FALSE
P000123,2025-12-31,employed,204,37023.96,A012040,FALSE,FALSE,FALSE,32,TRUE,FALSE,FALSE
P000124,2025-12-31,employed,247,17874.18,A016533,FALSE,FALSE,FALSE,33,TRUE,FALSE,FALSE
P000126,2025-12-31,employed,336,15771.16,A017657,FALSE,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000127,2025-12-31,marginal,140,3246.15,A001174,FALSE,FALSE,FALSE,57,TRUE,FALSE,FALSE
P000128,2025-12-31,no_record,0,0,A001174,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000130,2025-12-31,employed,316,35746.27,NA,FALSE,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000133,2025-12-31,employed,170,43439.25,A015578,FALSE,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000134,2025-12-31,self_employed,218,11440.91,A015578,FALSE,FALSE,FALSE,18,TRUE,FALSE,FALSE
P000136,2025-12-31,employed,158,27283.68,A005839,FALSE,FALSE,FALSE,63,TRUE,FALSE,FALSE
P000140,2025-12-31,employed,262,19950.98,A014000,FALSE,FALSE,FALSE,52,TRUE,FALSE,FALSE
P000141,2025-12-31,self_employed,295,12662.22,A014000,FALSE,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000142,2025-12-31,employed,312,45405.93,A002204,FALSE,FALSE,FALSE,50,TRUE,FALSE,FALSE
P000144,2025-12-31,employed,299,79825.37,A011574,FALSE,FALSE,FALSE,20,TRUE,FALSE,FALSE
P000146,2025-12-31,employed,269,21530.12,A010840,FALSE,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000147,2025-12-31,employed,280,29375.87,A003267,FALSE,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000149,2025-12-31,employed,259,14086.39,A003267,FALSE,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000150,2025-12-31,employed,254,32038.57,A003267,FALSE,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000152,2025-12-31,employed,365,26673.64,A005363,FALSE,FALSE,FALSE,35,TRUE,FALSE,FALSE
P000153,2025-12-31,employed,319,34926.65,A009327,FALSE,FALSE,FALSE,64,TRUE,FALSE,FALSE
P000158,2025-12-31,no_record,0,0,A002347,FALSE,FALSE,FALSE,16,TRUE,FALSE,FALSE
P000161,2025-12-31,self_employed,365,50357.88,A016810,FALSE,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000163,2025-12-31,employed,241,25252.69,A000107,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000165,2025-12-31,marginal,198,5380.92,A003098,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000168,2025-12-31,employed,319,13320.52,A003098,FALSE,FALSE,FALSE,52,TRUE,FALSE,FALSE
P000170,2025-12-31,marginal,123,5687,A003098,FALSE,FALSE,FALSE,46,TRUE,FALSE,FALSE
P000171,2025-12-31,employed,314,23414.13,A010142,FALSE,FALSE,FALSE,35,TRUE,FALSE,FALSE
P000172,2025-12-31,employed,238,28357.43,A010142,FALSE,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000176,2025-12-31,marginal,119,3682.41,NA,FALSE,FALSE,FALSE,22,TRUE,FALSE,FALSE
P000177,2025-12-31,marginal,134,4576.57,A006769,FALSE,FALSE,FALSE,20,TRUE,FALSE,FALSE
P000179,2025-12-31,no_record,NA,0,A002934,FALSE,FALSE,FALSE,15,TRUE,FALSE,FALSE
P000180,2025-12-31,employed,170,32379.52,A002934,FALSE,FALSE,FALSE,18,TRUE,FALSE,FALSE
P000181,2025-12-31,employed,243,18727.13,A002934,FALSE,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000184,2025-12-31,employed,225,20992.84,A002560,FALSE,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000186,2025-12-31,employed,308,21635.11,A013125,FALSE,FALSE,FALSE,45,TRUE,FALSE,FALSE
P000187,2025-12-31,self_employed,222,3820.86,A010150,FALSE,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000190,2025-12-31,employed,365,35602.96,A001317,FALSE,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000191,2025-12-31,marginal,174,7143.55,A001317,FALSE,FALSE,FALSE,64,TRUE,FALSE,FALSE
P000193,2025-12-31,employed,250,22711.34,A013618,FALSE,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000194,2025-12-31,employed,157,12953.39,A013618,FALSE,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000198,2025-12-31,employed,307,62577.68,A006679,FALSE,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000199,2025-12-31,employed,313,37534.59,A000126,FALSE,FALSE,FALSE,53,TRUE,FALSE,FALSE
P000200,2025-12-31,employed,292,21850.35,A017322,FALSE,FALSE,FALSE,18,TRUE,FALSE,FALSE
P000204,2025-12-31,employed,290,30668.24,A013502,FALSE,FALSE,FALSE,30,TRUE,FALSE,FALSE
P000205,2025-12-31,marginal,124,3356.81,A013502,FALSE,FALSE,FALSE,50,TRUE,FALSE,FALSE
P000206,2025-12-31,employed,203,36181.71,A002525,FALSE,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000208,2025-12-31,no_record,0,0,A004133,FALSE,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000210,2025-12-31,employed,321,24592.8,NA,FALSE,FALSE,FALSE,64,TRUE,FALSE,FALSE
P000213,2025-12-31,employed,296,36131.35,A012184,FALSE,FALSE,FALSE,39,TRUE,FALSE,FALSE
P000217,2025-12-31,employed,344,32545.37,A009981,FALSE,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000220,2025-12-31,employed,280,35186.3,A009981,FALSE,FALSE,FALSE,34,TRUE,FALSE,FALSE
P000221,2025-12-31,employed,336,19433.86,A005528,FALSE,FALSE,FALSE,34,TRUE,FALSE,FALSE
P000222,2025-12-31,employed,307,15033.73,A005528,FALSE,FALSE,FALSE,35,TRUE,FALSE,FALSE
P000226,2025-12-31,employed,365,12243.41,A005910,FALSE,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000228,2025-12-31,employed,311,18328.19,A011621,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000229,2025-12-31,employed,246,91030.19,A011621,FALSE,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000230,2025-12-31,employed,365,39923.33,A002007,FALSE,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000231,2025-12-31,employed,365,25087.77,A002007,FALSE,FALSE,FALSE,24,TRUE,FALSE,FALSE
P000232,2025-12-31,marginal,96,3267.83,A001289,FALSE,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000234,2025-12-31,no_record,0,0,A014333,FALSE,FALSE,FALSE,31,TRUE,FALSE,FALSE
P000236,2025-12-31,employed,284,30087.71,A008903,FALSE,FALSE,FALSE,48,TRUE,FALSE,FALSE
P000237,2025-12-31,self_employed,351,40971.71,A010066,FALSE,FALSE,FALSE,45,TRUE,FALSE,FALSE
P000238,2025-12-31,marginal,96,5711.47,A006309,FALSE,FALSE,FALSE,40,TRUE,FALSE,FALSE
P000239,2025-12-31,marginal,152,4125.98,A011587,FALSE,FALSE,FALSE,18,TRUE,FALSE,FALSE
P000241,2025-12-31,employed,230,31721.48,A014606,FALSE,FALSE,FALSE,22,TRUE,FALSE,FALSE
P000246,2025-12-31,self_employed,165,15090.18,A004264,FALSE,FALSE,FALSE,48,TRUE,FALSE,FALSE
P000255,2025-12-31,marginal,87,5492.6,A016675,FALSE,FALSE,FALSE,45,TRUE,FALSE,FALSE
P000260,2025-12-31,employed,193,50954.52,A013469,FALSE,FALSE,FALSE,50,TRUE,FALSE,FALSE
P000261,2025-12-31,employed,292,46717.4,A013469,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000263,2025-12-31,employed,271,43208.67,A000355,FALSE,FALSE,FALSE,32,TRUE,FALSE,FALSE
P000267,2025-12-31,employed,323,18978.14,A013968,FALSE,FALSE,FALSE,66,TRUE,FALSE,FALSE
P000268,2025-12-31,self_employed,167,52485.41,A001567,FALSE,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000271,2025-12-31,marginal,161,5208.49,A006139,FALSE,FALSE,FALSE,33,TRUE,FALSE,FALSE
P000274,2025-12-31,employed,365,40300.36,A009485,FALSE,FALSE,FALSE,57,TRUE,FALSE,FALSE
P000275,2025-12-31,self_employed,285,10371.17,A007284,FALSE,FALSE,FALSE,35,TRUE,FALSE,FALSE
P000277,2025-12-31,employed,360,16819.67,A012089,FALSE,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000279,2025-12-31,employed,365,25522.11,A001680,FALSE,FALSE,FALSE,53,TRUE,FALSE,FALSE
P000283,2025-12-31,marginal,97,3333.94,A016112,FALSE,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000285,2025-12-31,self_employed,365,17926.24,A004390,FALSE,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000287,2025-12-31,marginal,138,4002.58,A013193,FALSE,FALSE,FALSE,42,TRUE,FALSE,FALSE
P000288,2025-12-31,employed,206,20140.54,A013614,FALSE,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000290,2025-12-31,self_employed,266,9079.45,A013077,FALSE,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000293,2025-12-31,employed,285,36842.42,A013077,FALSE,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000298,2025-12-31,employed,292,31248.3,NA,FALSE,FALSE,FALSE,58,TRUE,FALSE,FALSE
P000300,2025-12-31,employed,265,28145.5,A012422,FALSE,FALSE,FALSE,30,TRUE,FALSE,FALSE
P000307,2025-12-31,employed,365,26255.92,A017084,FALSE,FALSE,FALSE,23,TRUE,FALSE,FALSE
P000308,2025-12-31,employed,243,38955.6,A013738,FALSE,FALSE,FALSE,41,TRUE,FALSE,FALSE
P000309,2025-12-31,marginal,147,3511.39,A013738,FALSE,FALSE,FALSE,44,TRUE,FALSE,FALSE
P000310,2025-12-31,employed,198,17750.71,A013738,FALSE,FALSE,FALSE,29,TRUE,FALSE,FALSE
P000312,2025-12-31,self_employed,279,22617.31,A016080,FALSE,FALSE,FALSE,34,TRUE,FALSE,FALSE
P000313,2025-12-31,employed,277,30323.86,A011516,FALSE,FALSE,FALSE,44,TRUE,FALSE,FALSE
P000316,2025-12-31,marginal,5,3097,A012232,FALSE,FALSE,FALSE,62,TRUE,FALSE,FALSE
P000317,2025-12-31,employed,180,49025.53,A017526,FALSE,FALSE,FALSE,48,TRUE,FALSE,FALSE
P000321,2025-12-31,employed,182,10689.83,A008617,FALSE,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000322,2025-12-31,marginal,121,7635.86,A008255,FALSE,FALSE,FALSE,63,TRUE,FALSE,FALSE
P000323,2025-12-31,employed,352,19576.03,A013646,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000326,2025-12-31,marginal,44,6769.9,A008509,FALSE,FALSE,FALSE,22,TRUE,FALSE,FALSE
P000327,2025-12-31,employed,308,27970.55,A005980,FALSE,FALSE,FALSE,29,TRUE,FALSE,FALSE
P000329,2025-12-31,employed,187,68269.1,A008533,FALSE,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000330,2025-12-31,employed,338,19216.44,A008533,FALSE,FALSE,FALSE,25,TRUE,FALSE,FALSE
P000333,2025-12-31,employed,308,26223.37,A012219,FALSE,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000334,2025-12-31,employed,303,19416.75,A012219,FALSE,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000335,2025-12-31,employed,242,17979.89,A012219,FALSE,FALSE,FALSE,30,TRUE,FALSE,FALSE
P000340,2025-12-31,self_employed,247,15696.12,NA,FALSE,FALSE,FALSE,39,TRUE,FALSE,FALSE
P000344,2025-12-31,no_record,0,0,A005674,FALSE,FALSE,FALSE,74,TRUE,FALSE,FALSE
P000348,2025-12-31,self_employed,186,46730.32,A001840,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000350,2025-12-31,employed,254,37281.99,A004198,FALSE,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000352,2025-12-31,marginal,122,5507.52,A011510,FALSE,FALSE,FALSE,20,TRUE,FALSE,FALSE
P000353,2025-12-31,marginal,168,7730.09,A011510,FALSE,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000355,2025-12-31,employed,365,45311.61,NA,FALSE,FALSE,FALSE,32,TRUE,FALSE,FALSE
P000356,2025-12-31,employed,216,16619.83,A015339,FALSE,FALSE,FALSE,51,TRUE,FALSE,FALSE
P000360,2025-12-31,employed,217,12510,A001148,FALSE,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000361,2025-12-31,employed,363,27645.73,A011269,FALSE,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000362,2025-12-31,employed,365,41585.21,A007384,FALSE,FALSE,FALSE,51,TRUE,FALSE,FALSE
P000363,2025-12-31,marginal,93,4253.71,A007384,FALSE,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000366,2025-12-31,employed,365,28256.03,A012169,FALSE,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000368,2025-12-31,employed,268,22622.93,A000525,FALSE,FALSE,FALSE,42,TRUE,FALSE,FALSE
P000373,2025-12-31,self_employed,315,19417.37,A017621,FALSE,FALSE,FALSE,40,TRUE,FALSE,FALSE
P000374,2025-12-31,employed,259,11234.29,A017621,FALSE,FALSE,FALSE,19,TRUE,FALSE,FALSE
P000376,2025-12-31,employed,218,20326.95,A004561,FALSE,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000378,2025-12-31,employed,255,28129.92,A013295,FALSE,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000379,2025-12-31,employed,228,20022.22,A013295,FALSE,FALSE,FALSE,31,TRUE,FALSE,FALSE
P000380,2025-12-31,employed,243,19671.63,A008070,FALSE,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000381,2025-12-31,employed,365,43542.96,A001237,FALSE,FALSE,FALSE,42,TRUE,FALSE,FALSE
P000384,2025-12-31,employed,362,7186.65,A001237,FALSE,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000388,2025-12-31,marginal,112,6410.54,A006511,FALSE,FALSE,FALSE,63,TRUE,FALSE,FALSE
P000389,2025-12-31,marginal,110,6391.78,A006511,FALSE,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000392,2025-12-31,employed,291,35747.88,A014403,FALSE,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000394,2025-12-31,marginal,75,5328.99,A005853,FALSE,FALSE,FALSE,57,TRUE,FALSE,FALSE
P000399,2025-12-31,employed,280,20511.62,NA,FALSE,FALSE,FALSE,29,TRUE,FALSE,FALSE
P000401,2025-12-31,employed,277,30425,NA,FALSE,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000402,2025-12-31,self_employed,359,24588.28,A012176,FALSE,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000404,2025-12-31,self_employed,247,10198.62,A012176,FALSE,FALSE,FALSE,63,TRUE,FALSE,FALSE
P000408,2025-12-31,employed,315,19404.59,A012057,FALSE,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000410,2025-12-31,employed,322,39462.9,A012057,FALSE,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000411,2025-12-31,employed,301,12216.81,A012057,FALSE,FALSE,FALSE,62,TRUE,FALSE,FALSE
P000412,2025-12-31,self_employed,59,10657.41,A013088,FALSE,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000413,2025-12-31,marginal,132,3537.23,A013088,FALSE,FALSE,FALSE,42,TRUE,FALSE,FALSE
P000419,2025-12-31,employed,334,15197.24,A003264,FALSE,FALSE,FALSE,26,TRUE,FALSE,FALSE
P000420,2025-12-31,marginal,75,5798.23,A003264,FALSE,FALSE,FALSE,45,TRUE,FALSE,FALSE
P000422,2025-12-31,employed,220,22370.24,A013539,FALSE,FALSE,FALSE,39,TRUE,FALSE,FALSE
P000423,2025-12-31,employed,337,41772.62,A002343,FALSE,FALSE,FALSE,30,TRUE,FALSE,FALSE
P000428,2025-12-31,self_employed,30,25390.17,A014537,FALSE,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000431,2025-12-31,employed,365,19855.15,A014537,FALSE,FALSE,FALSE,31,TRUE,FALSE,FALSE
P000432,2025-12-31,employed,252,24041.53,A004136,FALSE,FALSE,FALSE,52,TRUE,FALSE,FALSE
P000435,2025-12-31,employed,313,28076.57,A004136,FALSE,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000436,2025-12-31,employed,295,26740.73,A002899,FALSE,FALSE,FALSE,58,TRUE,FALSE,FALSE
P000438,2025-12-31,marginal,104,9875.48,A002899,FALSE,FALSE,FALSE,34,TRUE,FALSE,FALSE
P000441,2025-12-31,employed,346,33276.82,A015217,FALSE,FALSE,FALSE,43,TRUE,FALSE,FALSE
P000442,2025-12-31,self_employed,294,21839.04,A015217,FALSE,FALSE,FALSE,18,TRUE,FALSE,FALSE
P000444,2025-12-31,employed,334,30471.41,A008346,FALSE,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000446,2025-12-31,employed,257,27448.04,A008346,FALSE,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000450,2025-12-31,self_employed,312,25760.66,A003050,FALSE,FALSE,FALSE,22,TRUE,FALSE,FALSE
P000451,2025-12-31,employed,237,18707.6,A003635,FALSE,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000452,2025-12-31,employed,302,22351.2,A003635,FALSE,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000453,2025-12-31,self_employed,180,111255.32,A010448,FALSE,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000454,2025-12-31,employed,365,20707.78,A010448,FALSE,FALSE,FALSE,32,TRUE,FALSE,FALSE
P000457,2025-12-31,employed,365,28434.39,A000105,FALSE,FALSE,FALSE,48,TRUE,FALSE,FALSE
P000462,2025-12-31,employed,339,45535.56,A007517,FALSE,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000463,2025-12-31,marginal,234,5378.96,A007517,FALSE,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000466,2025-12-31,employed,254,69024.7,A007661,FALSE,FALSE,FALSE,64,TRUE,FALSE,FALSE
P000467,2025-12-31,no_record,0,0,A009652,FALSE,FALSE,FALSE,33,TRUE,FALSE,FALSE
P000472,2025-12-31,employed,295,32172.27,A001433,FALSE,FALSE,FALSE,52,TRUE,FALSE,FALSE
P000473,2025-12-31,employed,365,36606.47,A001433,FALSE,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000474,2025-12-31,employed,227,30728.29,A000408,FALSE,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000475,2025-12-31,employed,336,34183.16,A000408,FALSE,FALSE,FALSE,57,TRUE,FALSE,FALSE
P000484,2025-12-31,self_employed,199,51020.7,A012036,FALSE,FALSE,FALSE,62,TRUE,FALSE,FALSE
P000485,2025-12-31,employed,283,31423.42,A015941,FALSE,FALSE,FALSE,57,TRUE,FALSE,FALSE
P000487,2025-12-31,marginal,128,7061.51,A013096,FALSE,FALSE,FALSE,32,TRUE,FALSE,FALSE
P000492,2025-12-31,employed,264,42231.06,A000456,FALSE,FALSE,FALSE,46,TRUE,FALSE,FALSE
P000498,2025-12-31,employed,253,31464.43,A011332,FALSE,FALSE,FALSE,19,TRUE,FALSE,FALSE
P000500,2025-12-31,employed,365,59207.3,A009711,FALSE,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000502,2025-12-31,employed,354,10411.51,A009711,FALSE,FALSE,FALSE,33,TRUE,FALSE,FALSE
P000503,2025-12-31,marginal,112,6538.58,A014385,FALSE,FALSE,FALSE,62,TRUE,FALSE,FALSE
P000504,2025-12-31,self_employed,299,42859.94,A014385,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000506,2025-12-31,employed,300,25227.29,A014385,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000508,2025-12-31,employed,258,12103.15,A014939,FALSE,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000511,2025-12-31,employed,338,26856.1,A009585,FALSE,FALSE,FALSE,22,TRUE,FALSE,FALSE
P000515,2025-12-31,employed,329,85122.26,A009585,FALSE,FALSE,FALSE,60,TRUE,FALSE,FALSE
P000516,2025-12-31,marginal,96,4844.36,A015740,FALSE,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000518,2025-12-31,employed,250,26348.21,A002011,FALSE,FALSE,FALSE,24,TRUE,FALSE,FALSE
