person_id,household_id,address_id,region_code,municipality_code,sex,age,age_group,citizenship_group,registration_status,in_population_register,in_employment_register,employment_signal,flag_employed_under_15,employment_contact_address_id,in_tax_register,tax_signal,flag_tax_under_14,tax_contact_address_id,in_education_register,education_signal,flag_implausible_enrolment_age,education_contact_address_id,n_auxiliary_sources,n_activity_signals,observed_source_status,flag_no_activity_signal,flag_registered_without_activity,flag_auxiliary_only,flag_auxiliary_only_with_activity,flag_any_cross_register_plausibility_issue,n_contact_addresses_available,n_distinct_contact_addresses,flag_auxiliary_address_conflict,consistent_auxiliary_address_id,n_contact_addresses_matching_population,flag_population_auxiliary_address_disagreement,consistent_auxiliary_region_code,consistent_auxiliary_municipality_code
P000011,H000004,A002290,R07,R07-M02,M,41,40-64,EU,main_residence,1,1,1,FALSE,A002290,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A002290,1,FALSE,R07,R07-M02
P000012,H000004,A002290,R07,R07-M02,F,11,6-17,DE,secondary_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A002290,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A002290,1,FALSE,R07,R07-M02
P000013,H000005,A017342,R03,R03-M01,F,61,40-64,DE,main_residence,1,0,0,FALSE,NA,1,1,FALSE,A017342,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A017342,1,FALSE,R03,R03-M01
P000014,H000006,A004368,R10,R10-M01,F,47,40-64,Non-EU,main_residence,1,1,1,FALSE,A004368,1,1,FALSE,A004368,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A004368,2,FALSE,R10,R10-M01
P000015,H000007,A012343,R09,R09-M01,M,5,0-5,EU,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000016,H000007,A012343,R09,R09-M01,M,2,0-5,EU,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000017,H000007,A012343,R09,R09-M01,F,75,65-79,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000018,H000007,A012343,R09,R09-M01,M,55,40-64,EU,main_residence,1,0,0,FALSE,NA,1,1,FALSE,A012343,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A012343,1,FALSE,R09,R09-M01
P000019,H000008,A004916,R02,R02-M01,F,46,40-64,EU,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000020,H000009,A006795,R09,R09-M04,F,55,40-64,DE,secondary_residence,1,1,1,FALSE,NA,1,1,FALSE,A006795,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A006795,1,FALSE,R09,R09-M04
P000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,FALSE,A006795,0,0,FALSE,NA,0,0,FALSE,NA,1,1,auxiliary_only_with_activity,FALSE,FALSE,TRUE,TRUE,FALSE,1,1,FALSE,A006795,NA,FALSE,R09,R09-M04
P000022,H000010,A009018,R05,R05-M03,F,63,40-64,DE,main_residence,1,0,0,FALSE,NA,1,1,FALSE,A009018,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A009018,1,FALSE,R05,R05-M03
P000023,H000011,A006352,R09,R09-M03,M,66,65-79,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000024,H000012,A007432,R02,R02-M04,F,54,40-64,Non-EU,main_residence,1,1,1,FALSE,A002416,1,1,FALSE,A007432,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,TRUE,NA,1,FALSE,NA,NA
P000025,H000012,A007432,R02,R02-M04,F,23,18-24,EU,NA,1,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A007432,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A007432,1,FALSE,R02,R02-M04
P000026,H000013,A008359,R05,R05-M04,M,56,40-64,DE,main_residence,1,1,1,FALSE,A008359,1,1,FALSE,A008359,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A008359,2,FALSE,R05,R05-M04
P000027,H000014,A012972,R07,R07-M02,F,30,25-39,DE,main_residence,1,1,1,FALSE,A012972,1,1,FALSE,A012972,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A012972,2,FALSE,R07,R07-M02
P000028,H000014,A012972,R07,R07-M02,F,26,25-39,DE,main_residence,1,1,1,FALSE,A012972,1,1,FALSE,A012972,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A012972,2,FALSE,R07,R07-M02
P000029,H000015,A005056,R12,R12-M04,M,72,65-79,Non-EU,main_residence,1,0,0,FALSE,NA,1,0,FALSE,A005056,0,0,FALSE,NA,1,0,registered_with_auxiliary_record,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,FALSE,A005056,1,FALSE,R12,R12-M04
P000030,H000015,A005056,R12,R12-M04,M,31,25-39,Non-EU,main_residence,1,1,1,FALSE,A005056,1,1,FALSE,A005056,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A005056,2,FALSE,R12,R12-M04
P000031,H000015,A005056,R12,R12-M04,M,3,0-5,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000032,H000015,A005056,R12,R12-M04,F,59,40-64,EU,main_residence,1,1,1,FALSE,A005056,1,1,FALSE,A005056,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A005056,2,FALSE,R12,R12-M04
P000033,H000015,A005056,R12,R12-M04,M,57,40-64,DE,secondary_residence,1,1,1,FALSE,A005056,1,1,FALSE,A005056,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A005056,2,FALSE,R12,R12-M04
P000034,H000016,A003866,R05,R05-M03,M,43,40-64,DE,main_residence,1,1,1,FALSE,A003866,1,1,FALSE,NA,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A003866,1,FALSE,R05,R05-M03
P000035,H000017,A017543,R09,R09-M02,F,60,40-64,DE,main_residence,1,1,1,FALSE,A017543,1,1,FALSE,A017543,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A017543,2,FALSE,R09,R09-M02
P000036,H000018,A016319,R12,R12-M04,F,10,6-17,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A016319,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A016319,1,FALSE,R12,R12-M04
P000037,H000018,A016319,R12,R12-M04,M,16,6-17,Non-EU,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A002436,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A002436,0,TRUE,R12,R12-M01
P000038,H000018,A016319,R12,R12-M04,F,28,25-39,DE,main_residence,1,1,1,FALSE,A016319,1,1,FALSE,A016319,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A016319,2,FALSE,R12,R12-M04
P000039,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A016319,1,1,auxiliary_only_with_activity,FALSE,FALSE,TRUE,TRUE,FALSE,1,1,FALSE,A016319,NA,FALSE,R12,R12-M04
P000040,H000019,A014319,R05,R05-M01,M,5,0-5,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000041,H000020,A004350,R07,R07-M04,F,37,25-39,DE,main_residence,1,1,1,FALSE,A004350,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A004350,1,FALSE,R07,R07-M04
P000042,H000020,A004350,R07,R07-M04,M,32,25-39,DE,main_residence,1,0,0,FALSE,NA,1,1,FALSE,A004350,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A004350,1,FALSE,R07,R07-M04
P000043,H000020,A004350,R07,R07-M04,F,55,40-64,Non-EU,main_residence,1,1,1,FALSE,A004350,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A004350,1,FALSE,R07,R07-M04
P000044,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A004350,1,1,auxiliary_only_with_activity,FALSE,FALSE,TRUE,TRUE,FALSE,1,1,FALSE,A004350,NA,FALSE,R07,R07-M04
P000045,H000021,A000332,R10,R10-M04,M,51,40-64,DE,main_residence,1,0,0,FALSE,NA,1,1,FALSE,A000332,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A000332,1,FALSE,R10,R10-M04
P000046,H000022,A002969,R12,R12-M02,M,35,25-39,DE,main_residence,1,1,1,FALSE,A002969,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A002969,1,FALSE,R12,R12-M02
P000047,H000023,A009096,R11,R11-M04,M,50,40-64,DE,main_residence,1,0,0,FALSE,NA,1,1,FALSE,A009096,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A009096,1,FALSE,R11,R11-M04
P000048,H000024,A014723,R12,R12-M01,F,63,40-64,Non-EU,main_residence,1,1,1,FALSE,A014723,1,1,FALSE,A014723,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A014723,2,FALSE,R12,R12-M01
P000049,H000024,A014723,R12,R12-M01,M,77,65-79,EU,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000050,H000025,A007451,R06,R06-M01,M,30,25-39,DE,main_residence,1,0,0,FALSE,NA,1,1,FALSE,A007451,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A007451,1,FALSE,R06,R06-M01
P000051,H000025,A007451,R06,R06-M01,F,64,40-64,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000052,H000025,A007451,R06,R06-M01,F,56,40-64,EU,main_residence,1,1,1,FALSE,A007451,1,1,FALSE,A007451,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A007451,2,FALSE,R06,R06-M01
P000053,H000026,A008803,R08,R08-M03,M,53,40-64,Non-EU,main_residence,1,1,1,FALSE,A008803,1,1,FALSE,A008803,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A008803,2,FALSE,R08,R08-M03
P000054,H000026,A008803,R08,R08-M03,F,42,40-64,DE,main_residence,1,1,1,FALSE,A008803,1,1,FALSE,A008803,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A008803,2,FALSE,R08,R08-M03
P000055,H000026,A008803,R08,R08-M03,M,43,40-64,Non-EU,main_residence,1,1,1,FALSE,A008803,1,1,FALSE,A008803,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A008803,2,FALSE,R08,R08-M03
P000056,H000027,A009274,R04,R04-M02,M,57,40-64,DE,main_residence,1,1,1,FALSE,A009274,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A009274,1,FALSE,R04,R04-M02
P000057,H000027,A009274,R04,R04-M02,M,55,40-64,EU,main_residence,1,1,1,FALSE,A009274,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A009274,1,FALSE,R04,R04-M02
P000058,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,FALSE,A009274,0,0,FALSE,NA,0,0,FALSE,NA,1,1,auxiliary_only_with_activity,FALSE,FALSE,TRUE,TRUE,FALSE,1,1,FALSE,A009274,NA,FALSE,R04,R04-M02
P000059,H000027,A009274,R04,R04-M02,M,45,40-64,DE,main_residence,1,1,1,FALSE,A009274,1,1,FALSE,A009274,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A009274,2,FALSE,R04,R04-M02
P000060,H000028,A007893,R05,R05-M04,M,18,18-24,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A007893,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A007893,1,FALSE,R05,R05-M04
P000061,H000028,A007893,R05,R05-M04,M,36,25-39,EU,main_residence,1,1,1,FALSE,A007893,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A007893,1,FALSE,R05,R05-M04
P000062,H000029,A004085,R02,R02-M02,F,36,25-39,DE,main_residence,1,1,1,FALSE,A004085,1,1,FALSE,A004085,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A004085,2,FALSE,R02,R02-M02
P000063,H000029,A004085,R02,R02-M02,M,12,6-17,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A004085,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A004085,1,FALSE,R02,R02-M02
P000064,H000030,A005370,R02,R02-M01,F,21,18-24,DE,main_residence,1,1,1,FALSE,A005370,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A005370,1,FALSE,R02,R02-M01
P000065,H000031,A016833,R09,R09-M04,F,30,25-39,DE,main_residence,1,1,1,FALSE,A016833,1,1,FALSE,A016833,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A016833,2,FALSE,R09,R09-M04
P000066,H000032,A009676,R03,R03-M03,M,47,40-64,DE,main_residence,1,1,1,FALSE,A009676,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A009676,1,FALSE,R03,R03-M03
P000067,H000032,A009676,R03,R03-M03,F,24,18-24,DE,main_residence,1,1,1,FALSE,A009676,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A009676,1,FALSE,R03,R03-M03
P000068,H000033,A003304,R03,R03-M01,F,51,40-64,Non-EU,main_residence,1,1,1,FALSE,A003304,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A003304,1,FALSE,R03,R03-M01
P000069,H000033,A003304,R03,R03-M01,M,1,0-5,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000070,H000033,A003304,R03,R03-M01,F,70,65-79,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000071,H000034,A003245,R09,R09-M01,F,13,6-17,DE,main_residence,1,0,0,FALSE,NA,1,1,TRUE,A003245,1,1,FALSE,A001417,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,TRUE,NA,1,FALSE,NA,NA
P000072,H000034,A003245,R09,R09-M01,M,0,0-5,Non-EU,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000073,H000035,A017614,R09,R09-M03,F,67,65-79,DE,main_residence,1,1,1,FALSE,A017614,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A017614,1,FALSE,R09,R09-M03
P000074,H000035,A017614,R09,R09-M03,M,61,40-64,DE,main_residence,1,1,1,FALSE,A017614,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A017614,1,FALSE,R09,R09-M03
P000075,H000036,A008265,R12,R12-M04,M,17,6-17,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A008265,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A008265,1,FALSE,R12,R12-M04
P000076,H000036,A008265,R12,R12-M04,M,35,25-39,Non-EU,main_residence,1,1,1,FALSE,A008265,1,1,FALSE,A008265,0,0,FALSE,NA,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A008265,2,FALSE,R12,R12-M04
P000077,H000036,A008265,R12,R12-M04,M,8,6-17,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A008265,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A008265,1,FALSE,R12,R12-M04
P000078,H000037,A009581,R02,R02-M01,M,27,25-39,DE,main_residence,1,1,1,FALSE,A009581,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A009581,1,FALSE,R02,R02-M01
P000079,H000037,A009581,R02,R02-M01,F,66,65-79,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000080,H000037,A009581,R02,R02-M01,M,23,18-24,DE,main_residence,1,1,1,FALSE,A009581,0,0,FALSE,NA,1,1,FALSE,A009581,2,2,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,FALSE,A009581,2,FALSE,R02,R02-M01
P000081,H000038,A017804,R12,R12-M01,M,79,65-79,DE,main_residence,1,0,0,FALSE,NA,1,1,FALSE,A017804,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A017804,1,FALSE,R12,R12-M01
P000082,H000038,A017804,R12,R12-M01,F,11,6-17,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A017804,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A017804,1,FALSE,R12,R12-M01
P000083,H000039,A012823,R10,R10-M04,M,63,40-64,DE,main_residence,1,1,1,FALSE,A012823,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A012823,1,FALSE,R10,R10-M04
P000084,H000039,A012823,R10,R10-M04,M,49,40-64,DE,main_residence,1,1,1,FALSE,A012823,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A012823,1,FALSE,R10,R10-M04
P000085,H000040,A007455,R04,R04-M02,M,22,18-24,DE,main_residence,1,1,1,FALSE,A007455,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A007455,1,FALSE,R04,R04-M02
P000086,H000040,A007455,R04,R04-M02,M,4,0-5,Non-EU,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000087,H000040,A007455,R04,R04-M02,M,68,65-79,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,0,0,FALSE,NA,0,0,registered_only,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,NA,0,FALSE,NA,NA
P000088,H000041,A011329,R01,R01-M03,M,31,25-39,EU,main_residence,1,1,1,FALSE,A011329,0,0,FALSE,NA,0,0,FALSE,NA,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A011329,1,FALSE,R01,R01-M03
P000089,H000041,A011329,R01,R01-M03,M,16,6-17,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A011329,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A011329,1,FALSE,R01,R01-M03
P000090,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,FALSE,A012796,0,0,FALSE,NA,0,0,FALSE,NA,1,1,auxiliary_only_with_activity,FALSE,FALSE,TRUE,TRUE,FALSE,1,1,FALSE,A012796,NA,FALSE,R11,R11-M03
P000091,H000042,A012796,R11,R11-M03,F,15,6-17,DE,main_residence,1,0,0,FALSE,NA,0,0,FALSE,NA,1,1,FALSE,A012796,1,1,registered_with_auxiliary_record,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,FALSE,A012796,1,FALSE,R11,R11-M03
