person_id,tax_year,tax_filing_flag,taxable_income,contact_address_id,flag_invalid_tax_year,flag_negative_taxable_income,population_age,in_population_register,flag_age_check_unavailable,flag_tax_under_14
P000112,2025,1,53489.67,A000520,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000113,2025,1,20555.72,A001877,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000121,2025,1,43985.71,A013812,FALSE,FALSE,51,TRUE,FALSE,FALSE
P000122,2025,1,24502.84,A012040,FALSE,FALSE,64,TRUE,FALSE,FALSE
P000123,2025,1,18844.11,A012040,FALSE,FALSE,32,TRUE,FALSE,FALSE
P000124,2025,1,44069.07,A016533,FALSE,FALSE,33,TRUE,FALSE,FALSE
P000126,2025,1,33973.51,A017657,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000127,2025,1,16346.86,A001174,FALSE,FALSE,57,TRUE,FALSE,FALSE
P000131,2025,0,0,A003052,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000133,2025,1,29683.1,A015578,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000141,2025,1,23554.02,A014000,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000142,2025,1,15533.25,A002204,FALSE,FALSE,50,TRUE,FALSE,FALSE
P000144,2025,0,0,A011574,FALSE,FALSE,20,TRUE,FALSE,FALSE
P000147,2025,1,20563.08,A003267,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000150,2025,1,26661.63,A013433,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000152,2025,0,0,A005363,FALSE,FALSE,35,TRUE,FALSE,FALSE
P000153,2025,1,46922.11,A009327,FALSE,FALSE,64,TRUE,FALSE,FALSE
P000160,2025,1,53652.99,A006243,FALSE,FALSE,26,TRUE,FALSE,FALSE
P000161,2025,1,33023.22,A016810,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000163,2025,1,16256.69,A000107,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000167,2025,1,14608.98,A003098,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000168,2025,1,28509.48,A003098,FALSE,FALSE,52,TRUE,FALSE,FALSE
P000169,2025,1,17562.06,A003098,FALSE,FALSE,74,TRUE,FALSE,FALSE
P000170,2025,1,49723.17,A003098,FALSE,FALSE,46,TRUE,FALSE,FALSE
P000171,2025,1,93348.6,A010142,FALSE,FALSE,35,TRUE,FALSE,FALSE
P000172,2025,1,31919.68,A010142,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000181,2025,1,39397.25,A002934,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000183,2025,1,13487,A012445,FALSE,FALSE,22,TRUE,FALSE,FALSE
P000184,2025,1,56711.01,A002560,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000186,2025,1,14436.06,A013125,FALSE,FALSE,45,TRUE,FALSE,FALSE
P000187,2025,1,114026.71,A013125,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000188,2025,1,53680.53,A013125,FALSE,FALSE,64,TRUE,FALSE,FALSE
P000190,2025,1,41553.21,A001317,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000191,2025,1,44598.56,A001317,FALSE,FALSE,64,TRUE,FALSE,FALSE
P000192,2025,1,24455.93,A001317,FALSE,FALSE,88,TRUE,FALSE,FALSE
P000193,2025,1,26272.7,NA,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000194,2025,1,31579.74,A013618,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000195,2025,1,20301.69,A000842,FALSE,FALSE,65,TRUE,FALSE,FALSE
P000198,2025,1,43714.22,A006679,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000199,2025,1,49733.65,A000126,FALSE,FALSE,53,TRUE,FALSE,FALSE
P000200,2025,1,10086.59,A008305,FALSE,FALSE,18,TRUE,FALSE,FALSE
P000204,2025,1,23516.74,A013502,FALSE,FALSE,30,TRUE,FALSE,FALSE
P000205,2025,1,34350.2,A013502,FALSE,FALSE,50,TRUE,FALSE,FALSE
P000208,2025,1,140555.53,A004133,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000210,2025,1,61035.27,A008534,FALSE,FALSE,64,TRUE,FALSE,FALSE
P000211,2025,1,10417.02,A008534,FALSE,FALSE,71,TRUE,FALSE,FALSE
P000213,2025,1,41911.33,A012184,FALSE,FALSE,39,TRUE,FALSE,FALSE
P000214,2025,1,38864.81,A012184,FALSE,FALSE,29,TRUE,FALSE,FALSE
P000215,2025,1,7847.45,A012960,FALSE,FALSE,73,TRUE,FALSE,FALSE
P000216,2025,1,47266.22,A012960,FALSE,FALSE,57,TRUE,FALSE,FALSE
P000218,2025,1,30778.52,A009981,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000220,2025,1,29144.72,A009981,FALSE,FALSE,34,TRUE,FALSE,FALSE
P000221,2025,1,31406.34,NA,FALSE,FALSE,34,TRUE,FALSE,FALSE
P000222,2025,1,28528.44,A005528,FALSE,FALSE,35,TRUE,FALSE,FALSE
P000224,2025,1,37122.75,A005528,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000228,2025,1,22174.44,A011621,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000229,2025,1,18523.41,A011621,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000230,2025,1,99613.66,A002007,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000232,2025,1,49807.52,A001289,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000235,2025,1,24593.74,A014333,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000236,2025,1,16445.39,A008903,FALSE,FALSE,48,TRUE,FALSE,FALSE
P000239,2025,1,10761.82,A011587,FALSE,FALSE,18,TRUE,FALSE,FALSE
P000241,2025,1,8709.13,A014606,FALSE,FALSE,22,TRUE,FALSE,FALSE
P000246,2025,1,30214.07,A004264,FALSE,FALSE,48,TRUE,FALSE,FALSE
P000250,2025,1,22927.24,A003307,FALSE,FALSE,52,TRUE,FALSE,FALSE
P000252,2025,1,57080.92,A003642,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000255,2025,1,43074.35,A016675,FALSE,FALSE,45,TRUE,FALSE,FALSE
P000258,2025,1,19286.06,A013469,FALSE,FALSE,53,TRUE,FALSE,FALSE
P000263,2025,1,23753.79,NA,FALSE,FALSE,32,TRUE,FALSE,FALSE
P000266,2025,1,21614.04,A008608,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000271,2025,1,32733.52,NA,FALSE,FALSE,33,TRUE,FALSE,FALSE
P000273,2025,1,33290.45,A009485,FALSE,FALSE,44,TRUE,FALSE,FALSE
P000274,2025,1,68733.88,A009485,FALSE,FALSE,57,TRUE,FALSE,FALSE
P000278,2025,1,15256.84,A001680,FALSE,FALSE,32,TRUE,FALSE,FALSE
P000279,2025,1,74974.29,A001680,FALSE,FALSE,53,TRUE,FALSE,FALSE
P000283,2025,1,15177.65,NA,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000285,2025,1,12648.4,A004390,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000286,2025,1,25046.1,A004390,FALSE,FALSE,67,TRUE,FALSE,FALSE
P000287,2025,1,30100.98,NA,FALSE,FALSE,42,TRUE,FALSE,FALSE
P000288,2025,1,17730.73,A013614,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000290,2025,1,16123.36,A013077,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000293,2025,1,44342.48,A013077,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000298,2025,1,49488.71,A011813,FALSE,FALSE,58,TRUE,FALSE,FALSE
P000299,2025,1,34963.02,A012422,FALSE,FALSE,51,TRUE,FALSE,FALSE
P000302,2025,1,37452.11,A008968,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000305,2025,1,17690.49,A008968,FALSE,FALSE,20,TRUE,FALSE,FALSE
P000308,2025,1,32679.05,A013738,FALSE,FALSE,41,TRUE,FALSE,FALSE
P000309,2025,1,101594.44,A013738,FALSE,FALSE,44,TRUE,FALSE,FALSE
P000312,2025,1,41754.56,A016080,FALSE,FALSE,34,TRUE,FALSE,FALSE
P000316,2025,1,12567.19,A012232,FALSE,FALSE,62,TRUE,FALSE,FALSE
P000319,2025,1,31198.48,A000089,FALSE,FALSE,51,TRUE,FALSE,FALSE
P000321,2025,1,20019.83,A008617,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000322,2025,1,36484.67,A008255,FALSE,FALSE,63,TRUE,FALSE,FALSE
P000323,2025,1,94094.1,A013646,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000326,2025,1,15226.5,A008509,FALSE,FALSE,22,TRUE,FALSE,FALSE
P000327,2025,1,52128.02,A005980,FALSE,FALSE,29,TRUE,FALSE,FALSE
P000329,2025,1,53579.4,A008533,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000333,2025,1,38316.08,A012219,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000334,2025,1,35392.54,A012219,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000337,2025,1,22946.79,A016403,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000339,2025,1,16050.59,A009942,FALSE,FALSE,52,TRUE,FALSE,FALSE
P000340,2025,1,139391.83,A013682,FALSE,FALSE,39,TRUE,FALSE,FALSE
P000344,2025,1,6414.34,A005674,FALSE,FALSE,74,TRUE,FALSE,FALSE
P000347,2025,1,11202.21,A001840,FALSE,FALSE,76,TRUE,FALSE,FALSE
P000348,2025,1,66757.34,A001840,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000349,2025,1,12180.03,A004198,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000353,2025,1,27993.04,A011510,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000355,2025,1,7280.4,A011510,FALSE,FALSE,32,TRUE,FALSE,FALSE
P000358,2025,1,26462.32,A006705,FALSE,FALSE,76,TRUE,FALSE,FALSE
P000360,2025,1,36398.79,A001148,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000361,2025,1,24360.78,A011269,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000362,2025,1,32817.41,A007384,FALSE,FALSE,51,TRUE,FALSE,FALSE
P000363,2025,1,20167.66,A007384,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000366,2025,1,27987.28,NA,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000372,2025,1,24350.43,A017621,FALSE,FALSE,43,TRUE,FALSE,FALSE
P000373,2025,1,15106.71,A017621,FALSE,FALSE,40,TRUE,FALSE,FALSE
P000376,2025,1,35533.32,A004561,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000378,2025,1,38292.52,A013295,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000380,2025,1,20247.6,A008070,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000381,2025,1,34048.45,A001237,FALSE,FALSE,42,TRUE,FALSE,FALSE
P000384,2025,1,22792.09,A001237,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000385,2025,1,10768.36,A001237,FALSE,FALSE,68,TRUE,FALSE,FALSE
P000388,2025,1,64401.35,A006511,FALSE,FALSE,63,TRUE,FALSE,FALSE
P000389,2025,1,29853.44,A006511,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000392,2025,1,33400.64,A014403,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000399,2025,1,53275.42,A016434,FALSE,FALSE,29,TRUE,FALSE,FALSE
P000400,2025,1,12251.97,A011655,FALSE,FALSE,19,TRUE,FALSE,FALSE
P000404,2025,1,69362.13,A012176,FALSE,FALSE,63,TRUE,FALSE,FALSE
P000406,2025,1,44782.52,A012057,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000407,2025,1,5092.74,A012057,FALSE,FALSE,21,TRUE,FALSE,FALSE
P000408,2025,1,34514.36,A005509,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000410,2025,1,42190.63,A012057,FALSE,FALSE,38,TRUE,FALSE,FALSE
P000412,2025,1,24959.48,A004074,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000413,2025,1,29903.12,A013088,FALSE,FALSE,42,TRUE,FALSE,FALSE
P000416,2025,1,85809.53,A011698,FALSE,FALSE,34,TRUE,FALSE,FALSE
P000420,2025,1,65841.59,A003264,FALSE,FALSE,45,TRUE,FALSE,FALSE
P000421,2025,1,39887.22,A003264,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000423,2025,1,60424.25,A002343,FALSE,FALSE,30,TRUE,FALSE,FALSE
P000425,2025,1,15322.59,A004095,FALSE,FALSE,72,TRUE,FALSE,FALSE
P000427,2025,1,34271.3,A004570,FALSE,FALSE,44,TRUE,FALSE,FALSE
P000428,2025,1,25491.81,A014537,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000436,2025,1,11326.08,A002899,FALSE,FALSE,58,TRUE,FALSE,FALSE
P000438,2025,1,21797.37,A002899,FALSE,FALSE,34,TRUE,FALSE,FALSE
P000441,2025,1,16077.73,A015217,FALSE,FALSE,43,TRUE,FALSE,FALSE
P000446,2025,1,28496.74,NA,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000447,2025,1,18844.6,A016014,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000448,2025,1,27989.02,A016014,FALSE,FALSE,39,TRUE,FALSE,FALSE
P000450,2025,1,17112.25,A003050,FALSE,FALSE,22,TRUE,FALSE,FALSE
P000452,2025,1,46109.14,A003635,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000453,2025,1,74828.5,A010448,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000454,2025,1,34200.73,A010448,FALSE,FALSE,32,TRUE,FALSE,FALSE
P000457,2025,1,44589.89,A008838,FALSE,FALSE,48,TRUE,FALSE,FALSE
P000462,2025,1,38204.48,A007517,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000467,2025,1,61231.94,A009652,FALSE,FALSE,33,TRUE,FALSE,FALSE
P000473,2025,1,12777.49,A001433,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000474,2025,1,26248.92,A000408,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000476,2025,1,37098.49,A000408,FALSE,FALSE,50,TRUE,FALSE,FALSE
P000483,2025,1,21615.66,A012036,FALSE,FALSE,46,TRUE,FALSE,FALSE
P000484,2025,1,61445.48,A012036,FALSE,FALSE,62,TRUE,FALSE,FALSE
P000488,2025,1,27147.23,A013675,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000492,2025,1,107760.27,A000456,FALSE,FALSE,46,TRUE,FALSE,FALSE
P000495,2025,1,20735.85,A001028,FALSE,FALSE,42,TRUE,FALSE,FALSE
P000499,2025,1,10228.1,A003157,FALSE,FALSE,81,TRUE,FALSE,FALSE
P000500,2025,1,78377.81,A009711,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000502,2025,1,NA,A009711,FALSE,FALSE,33,TRUE,FALSE,FALSE
P000505,2025,1,63297.33,A014385,FALSE,FALSE,47,TRUE,FALSE,FALSE
P000506,2025,1,27094.12,A014385,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000507,2025,1,43732.8,A014939,FALSE,FALSE,34,TRUE,FALSE,FALSE
P000508,2025,1,23558.49,A014939,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000515,2025,1,28274.03,A009585,FALSE,FALSE,60,TRUE,FALSE,FALSE
P000516,2025,1,21802.92,A015740,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000520,2025,1,29221.85,A002011,FALSE,FALSE,33,TRUE,FALSE,FALSE
P000521,2025,1,26318.74,A016229,FALSE,FALSE,62,TRUE,FALSE,FALSE
P000522,2025,1,31939.35,A016229,FALSE,FALSE,25,TRUE,FALSE,FALSE
P000523,2025,1,56491.12,A000761,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000524,2025,1,34779.13,A000761,FALSE,FALSE,29,TRUE,FALSE,FALSE
P000525,2025,1,7086.11,A014699,FALSE,FALSE,22,TRUE,FALSE,FALSE
P000530,2025,1,40852.8,A017159,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000531,2025,1,19651.55,A013093,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000533,2025,1,23422.81,A014974,FALSE,FALSE,30,TRUE,FALSE,FALSE
P000534,2025,1,36737.17,A005110,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000535,2025,1,29371.48,A005110,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000536,2025,1,14579.85,A005110,FALSE,FALSE,46,TRUE,FALSE,FALSE
P000538,2025,1,64216.2,A006594,FALSE,FALSE,48,TRUE,FALSE,FALSE
P000539,2025,1,18049.78,A006594,FALSE,FALSE,46,TRUE,FALSE,FALSE
P000541,2025,1,38437.12,A000325,FALSE,FALSE,58,TRUE,FALSE,FALSE
P000543,2025,1,27584.17,A012853,FALSE,FALSE,54,TRUE,FALSE,FALSE
P000544,2025,1,48087.37,A016260,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000550,2025,1,95341.47,A015305,FALSE,FALSE,58,TRUE,FALSE,FALSE
P000552,2025,1,76559.27,A011056,FALSE,FALSE,26,TRUE,FALSE,FALSE
P000554,2025,1,10187.95,NA,FALSE,FALSE,21,TRUE,FALSE,FALSE
P000556,2025,1,19906.88,NA,FALSE,FALSE,39,TRUE,FALSE,FALSE
P000557,2025,1,17572.44,A013573,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000563,2025,1,76201.2,A012651,FALSE,FALSE,60,TRUE,FALSE,FALSE
P000571,2025,1,27074.17,A006609,FALSE,FALSE,63,TRUE,FALSE,FALSE
P000573,2025,1,17465.32,A005354,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000575,2025,1,16603.58,A005354,FALSE,FALSE,70,TRUE,FALSE,FALSE
P000577,2025,1,14365.16,NA,FALSE,FALSE,20,TRUE,FALSE,FALSE
P000579,2025,1,27314.84,A012009,FALSE,FALSE,58,TRUE,FALSE,FALSE
P000580,2025,1,22418.34,A012009,FALSE,FALSE,56,TRUE,FALSE,FALSE
P000583,2025,1,33604.96,A012009,FALSE,FALSE,45,TRUE,FALSE,FALSE
P000585,2025,1,30700.57,A007380,FALSE,FALSE,26,TRUE,FALSE,FALSE
P000586,2025,1,17138.01,A008254,FALSE,FALSE,61,TRUE,FALSE,FALSE
P000587,2025,1,7403.27,A008254,FALSE,FALSE,23,TRUE,FALSE,FALSE
P000588,2025,1,31716.85,A012343,FALSE,FALSE,45,TRUE,FALSE,FALSE
P000594,2025,1,35904.31,A016152,FALSE,FALSE,26,TRUE,FALSE,FALSE
P000595,2025,1,62562.39,A016152,FALSE,FALSE,49,TRUE,FALSE,FALSE
P000600,2025,1,9599.08,A010107,FALSE,FALSE,78,TRUE,FALSE,FALSE
P000602,2025,1,27054,A000793,FALSE,FALSE,41,TRUE,FALSE,FALSE
P000603,2025,1,9663.13,A000153,FALSE,FALSE,31,TRUE,FALSE,FALSE
P000604,2025,1,30408.89,A000153,FALSE,FALSE,51,TRUE,FALSE,FALSE
P000605,2025,1,19170.59,A000153,FALSE,FALSE,39,TRUE,FALSE,FALSE
P000607,2025,1,8052.67,A009964,FALSE,FALSE,21,TRUE,FALSE,FALSE
P000608,2025,1,45307.58,NA,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000610,2025,1,41172.04,A017742,FALSE,FALSE,NA,FALSE,TRUE,FALSE
P000611,2025,1,18834.18,A017742,FALSE,FALSE,60,TRUE,FALSE,FALSE
P000613,2025,1,22603.66,A016726,FALSE,FALSE,62,TRUE,FALSE,FALSE
P000616,2025,1,24509.69,A005505,FALSE,FALSE,58,TRUE,FALSE,FALSE
P000619,2025,1,31374.92,A015582,FALSE,FALSE,78,TRUE,FALSE,FALSE
P000624,2025,1,73684.72,A001681,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000626,2025,1,10380.46,A001681,FALSE,FALSE,69,TRUE,FALSE,FALSE
P000628,2025,1,26317.44,A007996,FALSE,FALSE,67,TRUE,FALSE,FALSE
P000631,2025,1,12472.3,A006475,FALSE,FALSE,66,TRUE,FALSE,FALSE
P000632,2025,1,54262.87,A006475,FALSE,FALSE,64,TRUE,FALSE,FALSE
P000635,2025,1,0,A016631,FALSE,FALSE,8,TRUE,FALSE,TRUE
P000638,2025,1,17065.85,A001245,FALSE,FALSE,51,TRUE,FALSE,FALSE
P000641,2025,1,66050.17,A017626,FALSE,FALSE,44,TRUE,FALSE,FALSE
P000646,2025,1,20847.18,A015174,FALSE,FALSE,32,TRUE,FALSE,FALSE
P000647,2025,1,73029.8,A015174,FALSE,FALSE,58,TRUE,FALSE,FALSE
P000649,2025,1,12436.69,A008920,FALSE,FALSE,48,TRUE,FALSE,FALSE
P000651,2025,1,29390.28,A008920,FALSE,FALSE,62,TRUE,FALSE,FALSE
P000654,2025,1,28214.37,A015872,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000655,2025,1,7549.08,A015823,FALSE,FALSE,21,TRUE,FALSE,FALSE
P000656,2025,1,23812.34,A015823,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000658,2025,1,24006.63,A012171,FALSE,FALSE,67,TRUE,FALSE,FALSE
P000660,2025,1,11793.69,A004546,FALSE,FALSE,76,TRUE,FALSE,FALSE
P000661,2025,1,11286.62,A004546,FALSE,FALSE,39,TRUE,FALSE,FALSE
P000663,2025,1,18084.87,A004546,FALSE,FALSE,41,TRUE,FALSE,FALSE
P000664,2025,1,34994.13,A005612,FALSE,FALSE,46,TRUE,FALSE,FALSE
P000666,2025,1,46902.8,A007888,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000667,2025,1,16456.73,A017008,FALSE,FALSE,55,TRUE,FALSE,FALSE
P000670,2025,1,29699.22,A000320,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000671,2025,1,27445.24,A009042,FALSE,FALSE,60,TRUE,FALSE,FALSE
P000673,2025,1,4278.64,A008103,FALSE,FALSE,20,TRUE,FALSE,FALSE
P000675,2025,1,56358.33,A009586,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000676,2025,1,10942.25,A009586,FALSE,FALSE,72,TRUE,FALSE,FALSE
P000677,2025,1,52587.71,A001654,FALSE,FALSE,44,TRUE,FALSE,FALSE
P000678,2025,1,12975.17,A001654,FALSE,FALSE,27,TRUE,FALSE,FALSE
P000680,2025,1,57758.25,A012399,FALSE,FALSE,31,TRUE,FALSE,FALSE
P000683,2025,1,41546.77,A006478,FALSE,FALSE,59,TRUE,FALSE,FALSE
P000686,2025,1,41521.58,A004637,FALSE,FALSE,46,TRUE,FALSE,FALSE
P000689,2025,1,36353.29,A003833,FALSE,FALSE,62,TRUE,FALSE,FALSE
P000693,2025,1,39047.64,A017313,FALSE,FALSE,57,TRUE,FALSE,FALSE
P000694,2025,1,26115.54,A017313,FALSE,FALSE,46,TRUE,FALSE,FALSE
P000695,2025,1,30808.6,A005938,FALSE,FALSE,36,TRUE,FALSE,FALSE
P000700,2025,1,13131.49,A008566,FALSE,FALSE,78,TRUE,FALSE,FALSE
P000703,2025,1,30899.64,A001592,FALSE,FALSE,44,TRUE,FALSE,FALSE
P000708,2025,1,36587.07,A013527,FALSE,FALSE,50,TRUE,FALSE,FALSE
P000709,2025,1,25910.29,A013527,FALSE,FALSE,43,TRUE,FALSE,FALSE
P000710,2025,0,0,A013527,FALSE,FALSE,11,TRUE,FALSE,FALSE
P000711,2025,1,23644.29,A009697,FALSE,FALSE,37,TRUE,FALSE,FALSE
P000712,2025,1,40325.56,A014853,FALSE,FALSE,45,TRUE,FALSE,FALSE
P000713,2025,1,34457.22,A013076,FALSE,FALSE,74,TRUE,FALSE,FALSE
P000715,2025,1,48296.77,A013076,FALSE,FALSE,28,TRUE,FALSE,FALSE
P000717,2025,1,20216.54,A012602,FALSE,FALSE,64,TRUE,FALSE,FALSE
P000719,2025,1,12738.85,A001770,FALSE,FALSE,76,TRUE,FALSE,FALSE
P000720,2025,1,9027.68,A001770,FALSE,FALSE,88,TRUE,FALSE,FALSE
P000723,2025,0,0,A015263,FALSE,FALSE,35,TRUE,FALSE,FALSE
