analysis_address_id,analysis_region_code,analysis_municipality_code,observed_persons,registered_persons,auxiliary_only_persons,persons_with_positive_activity,persons_with_multiple_positive_signals,persons_with_address_conflict,clarification_cases
A003768,R01,R01-M01,3,3,0,3,2,0,0
A003769,R01,R01-M01,4,4,0,3,2,0,1
A003817,R01,R01-M01,2,2,0,0,0,0,0
A003887,R01,R01-M01,2,2,0,1,1,0,0
A003891,R01,R01-M01,6,5,1,4,3,0,1
A003922,R01,R01-M01,6,6,0,5,4,0,0
A003934,R01,R01-M01,5,5,0,5,3,0,0
A003953,R01,R01-M01,4,4,0,3,1,0,0
A004061,R01,R01-M01,1,1,0,1,1,0,0
A004175,R01,R01-M01,5,5,0,3,1,0,0
A004233,R01,R01-M01,1,1,0,1,0,0,0
A004298,R01,R01-M01,2,2,0,2,0,0,0
A004327,R01,R01-M01,5,5,0,3,2,0,0
A004432,R01,R01-M01,2,2,0,1,0,0,0
A004460,R01,R01-M01,3,3,0,2,1,0,0
A004567,R01,R01-M01,3,3,0,3,1,0,0
A004576,R01,R01-M01,3,3,0,3,1,0,0
A004622,R01,R01-M01,4,4,0,3,1,0,0
A004726,R01,R01-M01,2,2,0,1,0,0,0
A004781,R01,R01-M01,6,6,0,5,2,1,1
A004852,R01,R01-M01,8,7,1,5,2,0,1
A004871,R01,R01-M01,2,2,0,1,1,0,0
A005040,R01,R01-M01,4,4,0,2,1,0,0
A005241,R01,R01-M01,11,9,2,7,3,0,2
A005319,R01,R01-M01,17,17,0,10,5,0,0
A005323,R01,R01-M01,5,5,0,3,1,0,0
A005487,R01,R01-M01,3,3,0,2,1,0,0
A005533,R01,R01-M01,14,14,0,5,3,0,0
A005689,R01,R01-M01,9,9,0,5,2,0,0
A005692,R01,R01-M01,4,4,0,3,0,0,0
A005733,R01,R01-M01,1,1,0,1,1,0,0
A005746,R01,R01-M01,3,3,0,3,2,0,0
A005962,R01,R01-M01,7,7,0,4,3,1,1
A006045,R01,R01-M01,3,3,0,0,0,0,0
A006063,R01,R01-M01,1,1,0,1,0,0,0
A006065,R01,R01-M01,2,2,0,1,1,0,0
A006104,R01,R01-M01,4,4,0,4,1,0,0
A006126,R01,R01-M01,5,5,0,4,1,0,0
A006242,R01,R01-M01,4,4,0,2,0,0,0
A006264,R01,R01-M01,5,5,0,3,1,0,0
A006340,R01,R01-M01,2,2,0,2,1,0,0
A006446,R01,R01-M01,4,4,0,2,0,0,0
A006548,R01,R01-M01,4,4,0,2,1,0,0
A006589,R01,R01-M01,7,7,0,3,2,0,0
A006698,R01,R01-M01,4,4,0,4,3,0,0
A006701,R01,R01-M01,3,3,0,3,2,0,0
A006718,R01,R01-M01,8,8,0,5,2,0,0
A006794,R01,R01-M01,1,1,0,1,1,0,0
A006810,R01,R01-M01,9,9,0,7,2,1,1
A006906,R01,R01-M01,1,1,0,1,0,0,0
A006915,R01,R01-M01,7,7,0,6,2,0,0
A006938,R01,R01-M01,5,5,0,4,3,1,1
A007223,R01,R01-M01,7,7,0,7,3,1,3
A007290,R01,R01-M01,8,8,0,7,3,0,1
A007310,R01,R01-M01,7,7,0,5,1,0,0
A007362,R01,R01-M01,4,4,0,4,1,0,1
A007590,R01,R01-M01,5,5,0,3,2,1,1
A007681,R01,R01-M01,1,1,0,0,0,0,0
A007738,R01,R01-M01,9,9,0,7,2,0,0
A007751,R01,R01-M01,1,1,0,1,0,0,0
A007875,R01,R01-M01,12,12,0,6,0,0,1
A007961,R01,R01-M01,2,2,0,2,0,0,0
A007995,R01,R01-M01,7,7,0,5,4,0,0
A008069,R01,R01-M01,5,5,0,2,0,0,0
A008152,R01,R01-M01,6,6,0,5,2,0,0
A008178,R01,R01-M01,2,2,0,1,0,0,0
A008234,R01,R01-M01,7,7,0,4,0,0,0
A008249,R01,R01-M01,12,12,0,6,2,0,1
A008250,R01,R01-M01,6,6,0,3,2,0,1
A008297,R01,R01-M01,4,4,0,3,2,0,0
A008343,R01,R01-M01,2,2,0,1,0,0,0
A008365,R01,R01-M01,3,3,0,2,2,0,0
A008405,R01,R01-M01,5,5,0,1,0,0,0
A008416,R01,R01-M01,9,9,0,8,1,0,0
A008500,R01,R01-M01,2,2,0,0,0,0,0
A008775,R01,R01-M01,3,3,0,3,1,0,0
A008797,R01,R01-M01,4,4,0,2,1,0,0
A008830,R01,R01-M01,2,2,0,1,0,0,0
A008841,R01,R01-M01,3,3,0,2,1,0,0
A009026,R01,R01-M01,1,1,0,1,1,1,1
A009114,R01,R01-M01,5,5,0,3,1,0,0
A009174,R01,R01-M01,3,3,0,2,1,0,0
A009211,R01,R01-M01,2,2,0,2,0,0,0
A009245,R01,R01-M01,5,5,0,4,0,0,0
A009271,R01,R01-M01,5,5,0,3,1,1,1
A009382,R01,R01-M01,5,5,0,5,2,0,0
A009389,R01,R01-M01,5,5,0,4,2,0,0
A009430,R01,R01-M01,3,3,0,2,1,0,0
A009451,R01,R01-M01,1,0,1,1,0,0,1
A009457,R01,R01-M01,3,2,1,3,1,0,1
A009483,R01,R01-M01,1,1,0,1,1,1,1
A009719,R01,R01-M01,1,1,0,1,1,0,0
A009757,R01,R01-M01,2,2,0,2,1,0,0
A009828,R01,R01-M01,7,6,1,4,1,0,1
A009868,R01,R01-M01,2,2,0,1,0,0,0
A009906,R01,R01-M01,1,1,0,0,0,0,0
A009996,R01,R01-M01,7,7,0,5,4,0,0
A010043,R01,R01-M01,15,15,0,13,8,0,0
A010054,R01,R01-M01,2,2,0,1,1,0,0
A010077,R01,R01-M01,5,5,0,4,3,1,1
A010124,R01,R01-M01,2,2,0,2,1,0,0
A010191,R01,R01-M01,4,4,0,3,1,0,0
A010243,R01,R01-M01,9,9,0,9,2,1,1
A010247,R01,R01-M01,3,3,0,2,0,0,0
A010284,R01,R01-M01,1,1,0,1,0,0,0
A010358,R01,R01-M01,2,2,0,2,1,0,0
A010549,R01,R01-M01,9,8,1,6,2,0,2
A010703,R01,R01-M01,5,5,0,3,2,0,0
A010735,R01,R01-M01,3,3,0,1,0,0,0
A010787,R01,R01-M01,8,8,0,7,2,0,1
A010872,R01,R01-M01,1,1,0,0,0,0,0
A010884,R01,R01-M01,4,4,0,4,1,0,0
A011153,R01,R01-M01,12,11,1,9,3,1,3
A011215,R01,R01-M01,2,2,0,2,1,0,0
A011231,R01,R01-M01,12,12,0,4,2,1,1
A011233,R01,R01-M01,10,10,0,8,3,1,1
A011284,R01,R01-M01,6,5,1,5,4,0,1
A011428,R01,R01-M01,1,1,0,1,0,0,0
A011483,R01,R01-M01,5,4,1,3,2,0,1
A011563,R01,R01-M01,10,9,1,9,2,0,1
A011680,R01,R01-M01,14,14,0,8,2,0,0
A011755,R01,R01-M01,1,1,0,1,0,0,0
A011761,R01,R01-M01,8,8,0,5,2,0,0
A011788,R01,R01-M01,2,2,0,2,0,0,0
A011830,R01,R01-M01,7,7,0,4,1,0,0
A011864,R01,R01-M01,13,13,0,9,5,0,0
A011979,R01,R01-M01,2,2,0,2,2,0,0
A012008,R01,R01-M01,2,2,0,2,0,0,0
A012015,R01,R01-M01,4,4,0,2,1,0,0
A012048,R01,R01-M01,5,5,0,4,2,0,0
A012092,R01,R01-M01,5,5,0,3,1,0,0
A012094,R01,R01-M01,2,2,0,1,0,0,0
A012112,R01,R01-M01,3,3,0,1,0,0,0
A012166,R01,R01-M01,2,2,0,1,1,0,0
A012252,R01,R01-M01,2,2,0,1,1,0,0
A012258,R01,R01-M01,7,6,1,6,4,0,1
A012275,R01,R01-M01,2,2,0,1,0,0,0
A012276,R01,R01-M01,6,6,0,3,0,0,0
A012325,R01,R01-M01,2,2,0,2,1,0,0
A012346,R01,R01-M01,5,5,0,3,1,1,1
A012508,R01,R01-M01,6,6,0,6,4,1,1
A012646,R01,R01-M01,9,9,0,7,1,0,1
A012674,R01,R01-M01,1,1,0,1,1,0,0
A012723,R01,R01-M01,8,8,0,6,3,0,0
A012734,R01,R01-M01,2,2,0,1,0,0,0
A012747,R01,R01-M01,7,7,0,5,1,0,0
A012774,R01,R01-M01,3,3,0,2,1,0,0
A012943,R01,R01-M01,5,5,0,3,2,0,0
A013090,R01,R01-M01,7,7,0,4,2,0,0
A013211,R01,R01-M01,4,3,1,4,0,0,1
A013328,R01,R01-M01,1,1,0,1,1,0,0
A013369,R01,R01-M01,9,8,1,8,2,0,1
A013392,R01,R01-M01,1,1,0,1,0,0,0
A013422,R01,R01-M01,1,1,0,0,0,0,0
A013440,R01,R01-M01,7,7,0,5,1,0,0
A013447,R01,R01-M01,1,1,0,0,0,0,0
A013575,R01,R01-M01,6,6,0,3,0,0,0
A013601,R01,R01-M01,2,2,0,2,2,0,0
A013627,R01,R01-M01,10,10,0,5,2,1,1
A013628,R01,R01-M01,9,8,1,7,2,0,1
A013646,R01,R01-M01,6,6,0,4,1,0,0
A013711,R01,R01-M01,8,8,0,3,2,0,0
A013738,R01,R01-M01,3,3,0,2,0,0,0
A013750,R01,R01-M01,1,1,0,1,0,0,0
A013912,R01,R01-M01,1,1,0,1,0,0,0
A014090,R01,R01-M01,5,5,0,2,2,0,0
A014103,R01,R01-M01,6,6,0,4,1,0,0
A014142,R01,R01-M01,7,7,0,4,1,0,0
A014171,R01,R01-M01,3,3,0,2,2,0,0
A014269,R01,R01-M01,11,9,2,8,5,2,4
A014327,R01,R01-M01,1,1,0,1,0,0,0
A014380,R01,R01-M01,4,4,0,4,2,0,0
A014463,R01,R01-M01,11,11,0,6,4,1,1
A014489,R01,R01-M01,1,1,0,1,0,0,0
A014505,R01,R01-M01,13,13,0,8,3,0,0
A014511,R01,R01-M01,4,4,0,3,0,0,0
A014617,R01,R01-M01,2,2,0,1,0,0,0
A014625,R01,R01-M01,3,3,0,3,1,0,0
A014714,R01,R01-M01,6,6,0,4,2,0,0
A014739,R01,R01-M01,4,4,0,4,1,0,0
A014939,R01,R01-M01,3,3,0,1,0,0,0
A014988,R01,R01-M01,3,3,0,3,0,0,0
A015012,R01,R01-M01,3,3,0,2,2,0,0
A015022,R01,R01-M01,12,12,0,8,3,0,0
A015047,R01,R01-M01,1,1,0,0,0,0,0
A015062,R01,R01-M01,9,9,0,6,0,0,1
A015080,R01,R01-M01,5,5,0,4,3,0,0
A015118,R01,R01-M01,4,3,1,4,1,0,1
A015130,R01,R01-M01,7,7,0,7,2,0,0
A015168,R01,R01-M01,9,9,0,7,4,0,0
A015184,R01,R01-M01,4,4,0,2,0,0,0
A015209,R01,R01-M01,6,5,1,3,1,0,1
A015233,R01,R01-M01,2,2,0,0,0,0,0
A015354,R01,R01-M01,5,5,0,5,3,1,1
A015435,R01,R01-M01,6,6,0,5,3,0,0
A015481,R01,R01-M01,7,7,0,7,3,0,0
A015671,R01,R01-M01,15,15,0,8,3,0,0
A015805,R01,R01-M01,7,7,0,5,3,0,0
A015811,R01,R01-M01,11,11,0,4,1,0,0
A015919,R01,R01-M01,8,8,0,8,4,1,2
A015920,R01,R01-M01,12,11,1,8,2,0,1
A015940,R01,R01-M01,2,2,0,2,1,0,0
A015972,R01,R01-M01,1,1,0,1,0,0,0
A016059,R01,R01-M01,5,5,0,4,3,0,0
A016173,R01,R01-M01,1,1,0,1,0,0,0
A016296,R01,R01-M01,8,8,0,3,1,0,0
A016349,R01,R01-M01,5,5,0,5,2,0,0
A016387,R01,R01-M01,3,3,0,2,2,0,0
A016567,R01,R01-M01,1,1,0,1,0,0,0
A016598,R01,R01-M01,11,11,0,6,0,0,0
A016608,R01,R01-M01,3,3,0,2,0,0,0
A016657,R01,R01-M01,4,4,0,3,3,0,0
A016662,R01,R01-M01,1,1,0,1,1,0,0
A016680,R01,R01-M01,5,5,0,3,1,0,0
A016810,R01,R01-M01,3,3,0,3,1,0,1
A016844,R01,R01-M01,7,7,0,6,2,0,0
A016860,R01,R01-M01,5,5,0,4,2,0,0
A016871,R01,R01-M01,4,4,0,3,1,0,0
A016922,R01,R01-M01,1,1,0,1,0,0,0
A016942,R01,R01-M01,1,1,0,0,0,0,0
A017106,R01,R01-M01,2,2,0,1,1,0,0
A017148,R01,R01-M01,5,5,0,3,0,0,0
A017257,R01,R01-M01,1,1,0,1,1,0,0
A017282,R01,R01-M01,7,7,0,5,2,0,0
A017315,R01,R01-M01,4,4,0,2,0,0,0
A017318,R01,R01-M01,1,1,0,1,0,0,0
A017319,R01,R01-M01,4,4,0,2,0,0,0
A017382,R01,R01-M01,2,2,0,2,1,0,0
A017384,R01,R01-M01,3,3,0,1,0,0,0
A017465,R01,R01-M01,9,9,0,4,1,0,0
A017509,R01,R01-M01,1,1,0,1,0,0,0
A017520,R01,R01-M01,7,7,0,4,1,0,0
A017587,R01,R01-M01,1,1,0,1,0,0,0
A017611,R01,R01-M01,5,5,0,3,1,0,0
A017629,R01,R01-M01,8,8,0,7,6,0,0
A017630,R01,R01-M01,2,2,0,1,1,0,0
A017715,R01,R01-M01,5,5,0,4,2,0,1
A017786,R01,R01-M01,1,1,0,0,0,0,0
A017819,R01,R01-M01,2,2,0,2,1,0,0
A017868,R01,R01-M01,1,1,0,1,0,0,0
A017927,R01,R01-M01,1,1,0,0,0,0,0
A017969,R01,R01-M01,1,1,0,1,1,1,1
A000070,R01,R01-M02,5,5,0,3,2,0,0
A000128,R01,R01-M02,4,4,0,3,2,0,0
A000311,R01,R01-M02,4,4,0,3,1,0,0
A000323,R01,R01-M02,2,2,0,2,2,0,0
A000387,R01,R01-M02,1,1,0,1,1,0,0
A000536,R01,R01-M02,1,1,0,1,0,0,0
A000594,R01,R01-M02,5,5,0,3,2,1,1
A000683,R01,R01-M02,2,2,0,1,1,0,0
A000715,R01,R01-M02,1,1,0,1,0,0,0
A000742,R01,R01-M02,4,4,0,4,0,0,0
A000774,R01,R01-M02,1,1,0,0,0,0,0
A000862,R01,R01-M02,6,6,0,5,2,0,0
A000914,R01,R01-M02,1,1,0,1,0,0,0
A000957,R01,R01-M02,2,2,0,1,1,1,1
A000991,R01,R01-M02,5,5,0,5,0,0,0
A001022,R01,R01-M02,5,5,0,4,4,0,0
A001024,R01,R01-M02,6,6,0,5,0,0,1
A001044,R01,R01-M02,4,4,0,2,1,0,0
A001059,R01,R01-M02,2,2,0,2,0,0,0
A001069,R01,R01-M02,4,4,0,3,2,0,0
A001079,R01,R01-M02,14,13,1,11,6,1,2
A001236,R01,R01-M02,10,10,0,8,2,0,1
A001323,R01,R01-M02,1,1,0,1,1,0,0
A001408,R01,R01-M02,3,3,0,0,0,0,0
A001461,R01,R01-M02,1,1,0,1,0,0,0
A001473,R01,R01-M02,14,14,0,10,2,0,0
A001555,R01,R01-M02,5,5,0,5,0,0,0
A001602,R01,R01-M02,2,2,0,1,0,0,0
A001710,R01,R01-M02,3,3,0,3,1,1,1
A001765,R01,R01-M02,2,2,0,2,0,0,0
A001811,R01,R01-M02,6,6,0,5,2,0,0
A001942,R01,R01-M02,1,1,0,0,0,0,0
A001956,R01,R01-M02,3,3,0,2,1,0,0
A002026,R01,R01-M02,7,7,0,4,2,0,1
A002046,R01,R01-M02,1,1,0,1,0,0,0
A002162,R01,R01-M02,4,4,0,2,1,0,0
A002210,R01,R01-M02,5,5,0,4,3,0,0
A002261,R01,R01-M02,5,5,0,4,2,0,0
A002265,R01,R01-M02,4,4,0,3,0,0,1
A002270,R01,R01-M02,4,3,1,2,1,0,1
A002410,R01,R01-M02,7,7,0,4,1,0,0
A002443,R01,R01-M02,5,5,0,5,2,0,0
A002462,R01,R01-M02,4,4,0,2,0,0,1
A002539,R01,R01-M02,2,2,0,2,0,0,0
A002553,R01,R01-M02,9,9,0,9,2,0,0
A002737,R01,R01-M02,9,9,0,6,1,0,0
A002879,R01,R01-M02,17,17,0,12,5,0,0
A002902,R01,R01-M02,3,3,0,1,1,0,0
A002935,R01,R01-M02,5,5,0,4,0,0,0
A002992,R01,R01-M02,2,2,0,1,0,0,0
A003004,R01,R01-M02,11,11,0,9,5,0,0
A003036,R01,R01-M02,9,9,0,7,2,0,0
A003037,R01,R01-M02,2,2,0,2,1,0,0
A003063,R01,R01-M02,4,4,0,2,1,0,0
A003153,R01,R01-M02,1,1,0,1,0,0,0
A003164,R01,R01-M02,6,6,0,4,1,0,0
A003228,R01,R01-M02,1,1,0,0,0,0,0
A003353,R01,R01-M02,1,1,0,0,0,0,0
A003398,R01,R01-M02,1,1,0,1,0,0,0
A003426,R01,R01-M02,5,5,0,2,1,0,0
A003430,R01,R01-M02,2,2,0,1,0,0,0
A003447,R01,R01-M02,11,11,0,6,3,0,0
A003461,R01,R01-M02,2,2,0,2,0,0,0
A003649,R01,R01-M02,1,1,0,1,0,0,0
A003670,R01,R01-M02,1,1,0,0,0,0,0
A003716,R01,R01-M02,2,2,0,2,1,0,0
A003758,R01,R01-M02,6,6,0,3,0,0,1
A003772,R01,R01-M02,4,4,0,4,2,0,0
A003853,R01,R01-M02,14,14,0,9,6,1,1
A003910,R01,R01-M02,13,13,0,10,4,0,1
A003914,R01,R01-M02,1,1,0,1,1,0,0
A003939,R01,R01-M02,2,2,0,1,1,0,0
A003944,R01,R01-M02,2,2,0,1,0,0,0
A004034,R01,R01-M02,11,11,0,6,4,0,0
A004053,R01,R01-M02,3,3,0,3,1,0,0
A004056,R01,R01-M02,4,4,0,3,0,0,0
A004064,R01,R01-M02,2,2,0,1,1,0,0
A004116,R01,R01-M02,2,2,0,2,1,0,0
A004134,R01,R01-M02,7,7,0,2,1,0,0
A004189,R01,R01-M02,3,3,0,3,2,1,1
A004269,R01,R01-M02,1,1,0,0,0,0,0
A004362,R01,R01-M02,12,12,0,8,2,0,1
A004372,R01,R01-M02,1,1,0,1,0,0,0
A004407,R01,R01-M02,6,6,0,5,4,0,0
A004499,R01,R01-M02,2,2,0,2,1,0,0
A004505,R01,R01-M02,6,6,0,5,2,0,0
A004560,R01,R01-M02,4,4,0,2,1,0,0
A004592,R01,R01-M02,6,6,0,4,3,0,0
A004673,R01,R01-M02,10,10,0,7,4,1,1
A004729,R01,R01-M02,1,1,0,1,0,0,0
A004862,R01,R01-M02,4,4,0,2,0,0,0
A004931,R01,R01-M02,1,1,0,1,0,0,0
A005024,R01,R01-M02,6,6,0,6,2,0,0
A005026,R01,R01-M02,1,1,0,1,1,0,0
A005060,R01,R01-M02,1,1,0,1,0,0,0
A005189,R01,R01-M02,3,3,0,3,2,0,0
A005201,R01,R01-M02,4,4,0,3,1,0,0
A005204,R01,R01-M02,1,1,0,1,1,0,0
A005407,R01,R01-M02,1,1,0,1,0,0,0
A005410,R01,R01-M02,3,3,0,1,0,0,0
A005545,R01,R01-M02,9,9,0,5,1,1,1
A005611,R01,R01-M02,2,2,0,1,1,0,0
A005612,R01,R01-M02,1,1,0,1,1,0,0
A005672,R01,R01-M02,9,9,0,3,3,0,0
A005677,R01,R01-M02,15,15,0,12,6,1,1
A005726,R01,R01-M02,1,1,0,1,0,0,0
A005782,R01,R01-M02,4,4,0,2,1,0,0
A005834,R01,R01-M02,12,12,0,11,5,0,0
A005889,R01,R01-M02,8,8,0,5,1,0,0
A005890,R01,R01-M02,8,8,0,6,3,0,0
A005912,R01,R01-M02,1,1,0,0,0,0,0
A005929,R01,R01-M02,6,6,0,4,1,0,0
A005986,R01,R01-M02,5,5,0,4,2,0,0
A005988,R01,R01-M02,4,4,0,2,2,0,0
A006025,R01,R01-M02,6,6,0,6,3,0,0
A006040,R01,R01-M02,3,3,0,2,0,0,0
A006066,R01,R01-M02,7,7,0,6,2,1,1
A006071,R01,R01-M02,2,2,0,2,2,0,0
A006106,R01,R01-M02,7,7,0,5,2,0,0
A006150,R01,R01-M02,14,14,0,11,5,1,1
A006175,R01,R01-M02,1,1,0,1,0,0,0
A006300,R01,R01-M02,6,6,0,5,2,0,0
A006317,R01,R01-M02,9,8,1,9,4,0,2
A006380,R01,R01-M02,3,3,0,1,1,0,0
A006503,R01,R01-M02,4,4,0,2,1,0,0
A006601,R01,R01-M02,5,4,1,4,1,0,2
A006699,R01,R01-M02,10,10,0,8,4,0,0
A006819,R01,R01-M02,4,4,0,4,1,0,1
A006824,R01,R01-M02,4,4,0,4,2,0,0
A006827,R01,R01-M02,6,6,0,5,3,1,1
A006984,R01,R01-M02,15,15,0,11,4,1,1
A007160,R01,R01-M02,4,4,0,3,2,0,0
A007206,R01,R01-M02,11,11,0,7,2,0,0
A007207,R01,R01-M02,4,4,0,4,2,0,0
A007233,R01,R01-M02,11,10,1,9,5,0,1
A007259,R01,R01-M02,9,9,0,5,2,0,0
A007288,R01,R01-M02,4,4,0,2,1,0,0
A007313,R01,R01-M02,12,12,0,10,2,0,0
A007415,R01,R01-M02,4,4,0,2,0,0,0
A007439,R01,R01-M02,2,2,0,2,0,0,0
A007443,R01,R01-M02,5,5,0,3,1,0,0
A007568,R01,R01-M02,3,3,0,1,0,0,0
A007662,R01,R01-M02,1,1,0,1,0,0,0
A007663,R01,R01-M02,9,8,1,8,4,0,1
A007729,R01,R01-M02,17,17,0,12,1,0,0
A007764,R01,R01-M02,4,4,0,3,3,0,0
A007774,R01,R01-M02,1,1,0,0,0,0,0
A007800,R01,R01-M02,1,1,0,0,0,0,0
A007833,R01,R01-M02,5,5,0,3,3,0,0
A007846,R01,R01-M02,6,6,0,5,2,0,0
A007861,R01,R01-M02,3,3,0,3,1,0,0
A007959,R01,R01-M02,2,2,0,0,0,0,0
A008035,R01,R01-M02,7,7,0,6,3,0,0
A008129,R01,R01-M02,8,8,0,6,1,0,1
A008142,R01,R01-M02,3,3,0,2,0,0,0
A008143,R01,R01-M02,1,1,0,1,0,0,0
A008204,R01,R01-M02,1,1,0,1,1,0,0
A008393,R01,R01-M02,5,5,0,4,2,0,0
A008403,R01,R01-M02,1,1,0,1,0,0,0
A008414,R01,R01-M02,2,2,0,1,1,0,0
A008505,R01,R01-M02,3,3,0,1,1,0,0
A008513,R01,R01-M02,4,4,0,3,2,0,0
A008542,R01,R01-M02,7,7,0,6,3,0,0
A008563,R01,R01-M02,8,8,0,5,1,0,0
A008645,R01,R01-M02,4,4,0,1,0,0,0
A008668,R01,R01-M02,2,2,0,1,0,0,0
A008737,R01,R01-M02,4,4,0,3,2,1,1
A008868,R01,R01-M02,4,4,0,3,1,1,1
A008932,R01,R01-M02,2,2,0,1,0,0,0
A009021,R01,R01-M02,3,3,0,3,1,1,1
A009597,R01,R01-M02,10,10,0,8,3,1,1
A009652,R01,R01-M02,2,2,0,1,0,0,0
A009692,R01,R01-M02,7,6,1,7,2,0,1
A009725,R01,R01-M02,2,2,0,1,0,0,0
A009777,R01,R01-M02,6,6,0,5,2,0,0
A009854,R01,R01-M02,4,4,0,2,1,0,0
A009862,R01,R01-M02,5,5,0,5,2,0,0
A009894,R01,R01-M02,3,3,0,3,1,0,0
A009924,R01,R01-M02,6,6,0,4,2,0,1
A009979,R01,R01-M02,3,3,0,2,1,1,1
A010101,R01,R01-M02,3,3,0,2,0,0,0
A010115,R01,R01-M02,13,13,0,8,3,0,0
A010125,R01,R01-M02,2,2,0,2,0,0,0
A010145,R01,R01-M02,2,2,0,2,0,0,0
A010193,R01,R01-M02,7,7,0,5,3,1,1
A010223,R01,R01-M02,1,1,0,0,0,0,0
A010226,R01,R01-M02,5,5,0,2,1,0,0
A010249,R01,R01-M02,3,3,0,2,1,0,1
A010287,R01,R01-M02,2,2,0,2,2,0,0
A010323,R01,R01-M02,6,6,0,4,0,0,0
A010332,R01,R01-M02,2,2,0,2,0,0,0
